"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,130
"eff.mon.final",1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,130
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
"ss.initial",92,76,76,80,82,88,100,90,100,88,100,80,100,84,76,86,80,82,100,82,82,82,70,100,90,100,100,80,100,100,100,100,80,80,74,80,100,76,76,88,82,100,96,80,98,82,100,74,86,100,100,82,92,100,88,72,86,84,86,100,74,84,84,130
"ss.final",95,79,79,83,85,91,100,93,100,91,100,83,100,87,79,89,83,85,100,85,85,85,73,100,93,100,100,83,100,100,100,100,83,83,77,83,100,79,79,91,85,100,99,83,100,85,100,77,89,100,100,85,95,100,91,75,89,87,89,100,77,87,87,130
"mle.initial.IP",0.568627450980392,0.695652173913043,0.681818181818182,0.652173913043478,0.638297872340426,0.58,0.637931034482759,0.62962962962963,0.586206896551724,0.58,0.586206896551724,0.666666666666667,0.568965517241379,0.615384615384615,0.714285714285714,0.607843137254902,0.645833333333333,0.653061224489796,0.620689655172414,0.653846153846154,0.617021276595745,0.625,0.761904761904762,0.5,0.563636363636364,0.551724137931034,0.689655172413793,0.653061224489796,0.551724137931034,0.672413793103448,0.637931034482759,0.482758620689655,0.645833333333333,0.66,0.714285714285714,0.666666666666667,0.551724137931034,0.688888888888889,0.714285714285714,0.634615384615385,0.634615384615385,0.53448275862069,0.589285714285714,0.68,0.586206896551724,0.62,0.568965517241379,0.695652173913043,0.693877551020408,0.637931034482759,0.672413793103448,0.695652173913043,0.60377358490566,0.655172413793103,0.714285714285714,0.720930232558139,0.673076923076923,0.627450980392157,0.673076923076923,0.586206896551724,0.711111111111111,0.76,0.604166666666667,130
"mle.final.IP",0.584905660377358,0.6875,0.673913043478261,0.63265306122449,0.645833333333333,0.576923076923077,0.637931034482759,0.636363636363636,0.586206896551724,0.596153846153846,0.586206896551724,0.673469387755102,0.568965517241379,0.622641509433962,0.705882352941177,0.615384615384615,0.63265306122449,0.647058823529412,0.620689655172414,0.653846153846154,0.612244897959184,0.64,0.75,0.5,0.578947368421053,0.551724137931034,0.689655172413793,0.66,0.551724137931034,0.672413793103448,0.637931034482759,0.482758620689655,0.645833333333333,0.653846153846154,0.720930232558139,0.686274509803922,0.551724137931034,0.680851063829787,0.72,0.636363636363636,0.641509433962264,0.53448275862069,0.578947368421053,0.686274509803922,0.586206896551724,0.607843137254902,0.568965517241379,0.708333333333333,0.68,0.637931034482759,0.672413793103448,0.6875,0.607142857142857,0.655172413793103,0.705882352941177,0.727272727272727,0.666666666666667,0.615384615384615,0.685185185185185,0.586206896551724,0.702127659574468,0.75,0.58,130
"mle.initial.PC",0.341463414634146,0.333333333333333,0.3125,0.323529411764706,0.228571428571429,0.315789473684211,0.476190476190476,0.416666666666667,0.404761904761905,0.342105263157895,0.452380952380952,0.375,0.5,0.34375,0.259259259259259,0.342857142857143,0.21875,0.393939393939394,0.571428571428571,0.3,0.257142857142857,0.323529411764706,0.25,0.333333333333333,0.285714285714286,0.404761904761905,0.547619047619048,0.258064516129032,0.452380952380952,0.5,0.452380952380952,0.452380952380952,0.3125,0.366666666666667,0.3125,0.375,0.476190476190476,0.354838709677419,0.37037037037037,0.388888888888889,0.3,0.452380952380952,0.375,0.4,0.375,0.34375,0.523809523809524,0.214285714285714,0.459459459459459,0.619047619047619,0.5,0.416666666666667,0.384615384615385,0.523809523809524,0.487179487179487,0.275862068965517,0.441176470588235,0.363636363636364,0.441176470588235,0.452380952380952,0.310344827586207,0.5,0.25,130
"mle.final.PC",0.357142857142857,0.32258064516129,0.303030303030303,0.323529411764706,0.216216216216216,0.307692307692308,0.476190476190476,0.421052631578947,0.404761904761905,0.333333333333333,0.452380952380952,0.352941176470588,0.5,0.323529411764706,0.285714285714286,0.351351351351351,0.235294117647059,0.411764705882353,0.571428571428571,0.303030303030303,0.25,0.314285714285714,0.241379310344828,0.333333333333333,0.277777777777778,0.404761904761905,0.547619047619048,0.303030303030303,0.452380952380952,0.5,0.452380952380952,0.452380952380952,0.285714285714286,0.354838709677419,0.323529411764706,0.375,0.476190476190476,0.375,0.413793103448276,0.388888888888889,0.3125,0.452380952380952,0.380952380952381,0.40625,0.380952380952381,0.352941176470588,0.523809523809524,0.241379310344828,0.435897435897436,0.619047619047619,0.5,0.405405405405405,0.384615384615385,0.523809523809524,0.5,0.290322580645161,0.457142857142857,0.371428571428571,0.428571428571429,0.452380952380952,0.3,0.514285714285714,0.243243243243243,130
"post.mean.initial.IP",0.394634114750267,0.443518258949682,0.423233337667793,0.416423375109633,0.359450127976574,0.385628623517133,0.491599062251955,0.458377930473607,0.436554835475501,0.400421345299995,0.463952851714072,0.451168719163717,0.487146570400122,0.419192042535679,0.425956351625957,0.412553391811367,0.364256607404439,0.455245960608874,0.542153769466188,0.414857393040087,0.367763980266768,0.408111415030439,0.432427661446259,0.371902194875642,0.368655946416072,0.427361903415483,0.546755632299771,0.390301256299112,0.455093754401082,0.51490768456879,0.478165549983444,0.437568553306424,0.412556303879797,0.448042380108426,0.433750417348531,0.451168719163717,0.468931188263833,0.449091785211061,0.474983101948453,0.44484629573316,0.407455901632087,0.450747839154303,0.42134398226698,0.471244663252217,0.420790021367182,0.420099111179852,0.500969363453603,0.391228271467453,0.499522440477785,0.574781660203031,0.51490768456879,0.477339769134276,0.431030634481023,0.523522491674138,0.519801657775817,0.425759790390518,0.48599942106402,0.431918794831919,0.48599942106402,0.463952851714072,0.439925185183421,0.545487766763031,0.358244936996747,130
"post.mean.final.IP",0.407987669364977,0.434749686175165,0.415153486569762,0.411143935530041,0.351814626407725,0.379656281765579,0.491599062251955,0.461821751188379,0.436554835475501,0.399987821077552,0.463952851714072,0.440556586874149,0.487146570400122,0.409278677909398,0.433208175763827,0.417807905885609,0.364478299964736,0.462079279187461,0.542153769466188,0.411184837252266,0.361552319152084,0.407955920854291,0.422591101894342,0.371902194875642,0.36872194337439,0.427361903415483,0.546755632299771,0.41241975857406,0.455093754401082,0.51490768456879,0.478165549983444,0.437568553306424,0.393889282358144,0.439613543827712,0.439105838526094,0.459691796367664,0.468931188263833,0.455775892858432,0.494226876204096,0.446242227232794,0.413348808250785,0.450747839154303,0.420745530577603,0.474775364792046,0.422938714040755,0.418885572032411,0.500969363453603,0.408747075578852,0.481614442625128,0.574781660203031,0.51490768456879,0.468696199891735,0.432660858231995,0.523522491674138,0.524219855552347,0.431673791918699,0.49190556385119,0.430333200184364,0.483697054313184,0.463952851714072,0.430887652680743,0.548970167356648,0.345647402567364,130
"post.mean.initial.PC",0.130153888240161,0.169212689910249,0.170160902229826,0.160421650116932,0.182350070763026,0.141251965433636,0.115626044161785,0.129592867657706,0.117938285156576,0.132713229042498,0.0997689905786468,0.151547476426904,0.0723472158100876,0.143142902898004,0.189976306042072,0.14213237387598,0.184581096771434,0.142391033984214,0.0694118218957547,0.166774096178656,0.167976928659077,0.152026591494734,0.201993723291519,0.104929174421993,0.144557892783412,0.101562459873634,0.113596798578936,0.176439320633244,0.0827247305678217,0.123122290237425,0.124368368539436,0.0488835342844063,0.160696214930416,0.150894374078956,0.178976612033086,0.151547476426904,0.0732539371342808,0.162059439995335,0.165803875967989,0.139607029437805,0.160332182734995,0.0741506108172482,0.128676747318399,0.149428616276522,0.127976384724189,0.144015519975188,0.0629108187904628,0.193679367107237,0.141179923554767,0.0585138493717592,0.123122290237425,0.152188098379282,0.130114344470775,0.105832910813682,0.141799997699439,0.186820098567877,0.138321523291268,0.142211205979885,0.138321523291268,0.0997689905786468,0.177783156730217,0.155321342089551,0.167222404237073,130
"post.mean.final.PC",0.132810269866178,0.171164553775479,0.172065778425621,0.155261765124711,0.190539035840919,0.144165155884379,0.115626044161785,0.13218139274126,0.117938285156576,0.143395459401665,0.0997689905786468,0.16171002865309,0.0723472158100876,0.153538148220483,0.184094129025545,0.144097332565306,0.179053606578623,0.13624039761406,0.0694118218957547,0.168785088271504,0.170432021548781,0.161654016164982,0.203246122981063,0.104929174421993,0.154363050413468,0.101562459873634,0.113596798578936,0.169816893226213,0.0827247305678217,0.123122290237425,0.124368368539436,0.0488835342844063,0.170247388887943,0.153469669019535,0.180971617212463,0.160069956336065,0.0732539371342808,0.156095777177867,0.15971001239956,0.141493583980413,0.161673780192585,0.0741506108172482,0.123107091314839,0.151828983652922,0.126677017485717,0.13845892538402,0.0629108187904628,0.194035448864631,0.143925971580406,0.0585138493717592,0.123122290237425,0.153852372438019,0.13262201013853,0.105832910813682,0.135323905089322,0.18846130247568,0.131948030540088,0.136780525567182,0.148146052968889,0.0997689905786468,0.179580380553263,0.148544390471749,0.163067936167961,130
