"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,164
"eff.mon.final",1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,164
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
"ss.initial",88,100,88,100,90,84,100,100,100,100,100,82,80,100,90,100,96,100,100,100,100,100,78,100,82,96,100,100,94,100,100,100,88,100,78,96,100,100,88,100,88,100,100,88,100,88,100,100,100,88,100,96,100,100,100,100,74,82,94,96,100,78,100,164
"ss.final",91,100,91,100,93,87,100,100,100,100,100,85,83,100,93,100,99,100,100,100,100,100,81,100,85,99,100,100,97,100,100,100,91,100,81,99,100,100,91,100,91,100,100,91,100,91,100,100,100,91,100,99,100,100,100,100,77,85,97,99,100,81,100,164
"mle.initial.IP",0.576923076923077,0.448275862068966,0.627450980392157,0.517241379310345,0.576923076923077,0.627450980392157,0.5,0.551724137931034,0.482758620689655,0.396551724137931,0.482758620689655,0.692307692307692,0.645833333333333,0.551724137931034,0.615384615384615,0.551724137931034,0.589285714285714,0.517241379310345,0.620689655172414,0.517241379310345,0.53448275862069,0.53448275862069,0.714285714285714,0.5,0.660377358490566,0.553571428571429,0.5,0.568965517241379,0.625,0.517241379310345,0.53448275862069,0.53448275862069,0.574074074074074,0.5,0.673913043478261,0.545454545454545,0.620689655172414,0.46551724137931,0.58,0.5,0.627450980392157,0.568965517241379,0.603448275862069,0.607843137254902,0.586206896551724,0.576923076923077,0.53448275862069,0.5,0.53448275862069,0.58,0.396551724137931,0.56140350877193,0.53448275862069,0.5,0.551724137931034,0.482758620689655,0.720930232558139,0.64,0.553571428571429,0.578947368421053,0.568965517241379,0.673913043478261,0.568965517241379,164
"mle.final.IP",0.584905660377358,0.448275862068966,0.60377358490566,0.517241379310345,0.584905660377358,0.634615384615385,0.5,0.551724137931034,0.482758620689655,0.396551724137931,0.482758620689655,0.692307692307692,0.647058823529412,0.551724137931034,0.60377358490566,0.551724137931034,0.596491228070175,0.517241379310345,0.620689655172414,0.517241379310345,0.53448275862069,0.53448275862069,0.714285714285714,0.5,0.660377358490566,0.543859649122807,0.5,0.568965517241379,0.631578947368421,0.517241379310345,0.53448275862069,0.53448275862069,0.581818181818182,0.5,0.673913043478261,0.543859649122807,0.620689655172414,0.46551724137931,0.596153846153846,0.5,0.622641509433962,0.568965517241379,0.603448275862069,0.622641509433962,0.586206896551724,0.592592592592593,0.53448275862069,0.5,0.53448275862069,0.584905660377358,0.396551724137931,0.568965517241379,0.53448275862069,0.5,0.551724137931034,0.482758620689655,0.711111111111111,0.647058823529412,0.56140350877193,0.578947368421053,0.568965517241379,0.680851063829787,0.568965517241379,164
"mle.initial.PC",0.25,0.380952380952381,0.405405405405405,0.5,0.342105263157895,0.242424242424242,0.404761904761905,0.428571428571429,0.261904761904762,0.452380952380952,0.428571428571429,0.433333333333333,0.25,0.523809523809524,0.394736842105263,0.428571428571429,0.375,0.380952380952381,0.452380952380952,0.285714285714286,0.428571428571429,0.428571428571429,0.413793103448276,0.476190476190476,0.379310344827586,0.325,0.5,0.571428571428571,0.421052631578947,0.30952380952381,0.404761904761905,0.357142857142857,0.294117647058824,0.380952380952381,0.28125,0.317073170731707,0.452380952380952,0.285714285714286,0.342105263157895,0.214285714285714,0.405405405405405,0.452380952380952,0.476190476190476,0.351351351351351,0.452380952380952,0.305555555555556,0.5,0.452380952380952,0.428571428571429,0.342105263157895,0.428571428571429,0.333333333333333,0.380952380952381,0.476190476190476,0.452380952380952,0.452380952380952,0.290322580645161,0.28125,0.263157894736842,0.358974358974359,0.452380952380952,0.375,0.476190476190476,164
"mle.final.PC",0.263157894736842,0.380952380952381,0.394736842105263,0.5,0.325,0.285714285714286,0.404761904761905,0.428571428571429,0.261904761904762,0.452380952380952,0.428571428571429,0.454545454545455,0.25,0.523809523809524,0.375,0.428571428571429,0.357142857142857,0.380952380952381,0.452380952380952,0.285714285714286,0.428571428571429,0.428571428571429,0.375,0.476190476190476,0.375,0.333333333333333,0.5,0.571428571428571,0.425,0.30952380952381,0.404761904761905,0.357142857142857,0.277777777777778,0.380952380952381,0.285714285714286,0.30952380952381,0.452380952380952,0.285714285714286,0.358974358974359,0.214285714285714,0.421052631578947,0.452380952380952,0.476190476190476,0.368421052631579,0.452380952380952,0.297297297297297,0.5,0.452380952380952,0.428571428571429,0.342105263157895,0.428571428571429,0.317073170731707,0.380952380952381,0.476190476190476,0.452380952380952,0.452380952380952,0.3125,0.294117647058824,0.275,0.357142857142857,0.452380952380952,0.382352941176471,0.476190476190476,164
