"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,310
"eff.mon.final",1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,310
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310
"ss.initial",100,88,100,86,84,80,72,76,100,86,100,76,100,80,86,84,70,78,88,84,100,86,88,92,100,80,70,76,80,70,100,94,88,92,74,100,76,78,100,90,100,96,84,72,100,78,78,88,88,80,98,90,100,100,100,100,100,88,84,78,80,100,84,310
"ss.final",100,91,100,89,87,83,75,79,100,89,100,79,100,83,89,87,73,81,91,87,100,89,91,95,100,83,73,79,83,73,100,97,91,95,77,100,79,81,100,93,100,99,87,75,100,81,81,91,91,83,100,93,100,100,100,100,100,91,87,81,83,100,87,310
"mle.initial.IP",0.689655172413793,0.568627450980392,0.517241379310345,0.60377358490566,0.666666666666667,0.66,0.829268292682927,0.702127659574468,0.551724137931034,0.608695652173913,0.568965517241379,0.704545454545455,0.53448275862069,0.645833333333333,0.7,0.62,0.744186046511628,0.673913043478261,0.596153846153846,0.62,0.672413793103448,0.64,0.622641509433962,0.60377358490566,0.603448275862069,0.645833333333333,0.760869565217391,0.723404255319149,0.666666666666667,0.772727272727273,0.620689655172414,0.563636363636364,0.584905660377358,0.64,0.711111111111111,0.603448275862069,0.720930232558139,0.681818181818182,0.586206896551724,0.568627450980392,0.5,0.625,0.62,0.727272727272727,0.603448275862069,0.6875,0.659574468085106,0.58,0.647058823529412,0.653061224489796,0.701754385964912,0.596153846153846,0.53448275862069,0.396551724137931,0.586206896551724,0.5,0.551724137931034,0.615384615384615,0.69811320754717,0.708333333333333,0.638297872340426,0.586206896551724,0.692307692307692,310
"mle.final.IP",0.689655172413793,0.557692307692308,0.517241379310345,0.592592592592593,0.673076923076923,0.666666666666667,0.837209302325581,0.7,0.551724137931034,0.591836734693878,0.568965517241379,0.711111111111111,0.53448275862069,0.64,0.705882352941177,0.627450980392157,0.75,0.6875,0.60377358490566,0.62,0.672413793103448,0.647058823529412,0.636363636363636,0.618181818181818,0.603448275862069,0.653061224489796,0.760869565217391,0.693877551020408,0.68,0.782608695652174,0.620689655172414,0.553571428571429,0.592592592592593,0.641509433962264,0.711111111111111,0.603448275862069,0.733333333333333,0.673913043478261,0.586206896551724,0.566037735849057,0.5,0.631578947368421,0.607843137254902,0.717391304347826,0.603448275862069,0.68,0.659574468085106,0.588235294117647,0.660377358490566,0.647058823529412,0.706896551724138,0.592592592592593,0.53448275862069,0.396551724137931,0.586206896551724,0.5,0.551724137931034,0.615384615384615,0.703703703703704,0.7,0.653061224489796,0.586206896551724,0.69811320754717,310
"mle.initial.PC",0.476190476190476,0.297297297297297,0.333333333333333,0.333333333333333,0.424242424242424,0.333333333333333,0.483870967741935,0.379310344827586,0.452380952380952,0.375,0.380952380952381,0.40625,0.452380952380952,0.25,0.444444444444444,0.294117647058824,0.296296296296296,0.3125,0.361111111111111,0.323529411764706,0.476190476190476,0.388888888888889,0.4,0.384615384615385,0.523809523809524,0.375,0.333333333333333,0.379310344827586,0.25,0.269230769230769,0.523809523809524,0.307692307692308,0.285714285714286,0.428571428571429,0.344827586206897,0.476190476190476,0.363636363636364,0.352941176470588,0.5,0.307692307692308,0.380952380952381,0.425,0.352941176470588,0.25,0.476190476190476,0.366666666666667,0.290322580645161,0.289473684210526,0.405405405405405,0.354838709677419,0.48780487804878,0.342105263157895,0.380952380952381,0.404761904761905,0.452380952380952,0.261904761904762,0.404761904761905,0.361111111111111,0.451612903225806,0.4,0.333333333333333,0.595238095238095,0.4375,310
"mle.final.PC",0.476190476190476,0.333333333333333,0.333333333333333,0.314285714285714,0.4,0.34375,0.46875,0.379310344827586,0.452380952380952,0.375,0.380952380952381,0.411764705882353,0.452380952380952,0.272727272727273,0.421052631578947,0.305555555555556,0.310344827586207,0.333333333333333,0.368421052631579,0.351351351351351,0.476190476190476,0.368421052631579,0.388888888888889,0.375,0.523809523809524,0.382352941176471,0.37037037037037,0.366666666666667,0.272727272727273,0.296296296296296,0.523809523809524,0.317073170731707,0.27027027027027,0.428571428571429,0.375,0.476190476190476,0.352941176470588,0.342857142857143,0.5,0.3,0.380952380952381,0.404761904761905,0.361111111111111,0.241379310344828,0.476190476190476,0.354838709677419,0.294117647058824,0.275,0.394736842105263,0.34375,0.5,0.358974358974359,0.380952380952381,0.404761904761905,0.452380952380952,0.261904761904762,0.404761904761905,0.333333333333333,0.484848484848485,0.419354838709677,0.352941176470588,0.595238095238095,0.411764705882353,310
