"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
"eff.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
"ss.initial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,256
"ss.final",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,256
"mle.initial.IP",0.448275862068966,0.327586206896552,0.5,0.293103448275862,0.344827586206897,0.379310344827586,0.241379310344828,0.517241379310345,0.344827586206897,0.258620689655172,0.396551724137931,0.396551724137931,0.327586206896552,0.362068965517241,0.448275862068966,0.46551724137931,0.517241379310345,0.413793103448276,0.431034482758621,0.293103448275862,0.431034482758621,0.258620689655172,0.396551724137931,0.448275862068966,0.413793103448276,0.448275862068966,0.362068965517241,0.327586206896552,0.431034482758621,0.362068965517241,0.413793103448276,0.379310344827586,0.431034482758621,0.258620689655172,0.327586206896552,0.396551724137931,0.379310344827586,0.482758620689655,0.362068965517241,0.448275862068966,0.327586206896552,0.344827586206897,0.396551724137931,0.431034482758621,0.396551724137931,0.413793103448276,0.275862068965517,0.413793103448276,0.431034482758621,0.379310344827586,0.413793103448276,0.396551724137931,0.431034482758621,0.293103448275862,0.396551724137931,0.413793103448276,0.362068965517241,0.258620689655172,0.482758620689655,0.413793103448276,0.362068965517241,0.379310344827586,0.413793103448276,256
"mle.final.IP",0.448275862068966,0.327586206896552,0.5,0.293103448275862,0.344827586206897,0.379310344827586,0.241379310344828,0.517241379310345,0.344827586206897,0.258620689655172,0.396551724137931,0.396551724137931,0.327586206896552,0.362068965517241,0.448275862068966,0.46551724137931,0.517241379310345,0.413793103448276,0.431034482758621,0.293103448275862,0.431034482758621,0.258620689655172,0.396551724137931,0.448275862068966,0.413793103448276,0.448275862068966,0.362068965517241,0.327586206896552,0.431034482758621,0.362068965517241,0.413793103448276,0.379310344827586,0.431034482758621,0.258620689655172,0.327586206896552,0.396551724137931,0.379310344827586,0.482758620689655,0.362068965517241,0.448275862068966,0.327586206896552,0.344827586206897,0.396551724137931,0.431034482758621,0.396551724137931,0.413793103448276,0.275862068965517,0.413793103448276,0.431034482758621,0.379310344827586,0.413793103448276,0.396551724137931,0.431034482758621,0.293103448275862,0.396551724137931,0.413793103448276,0.362068965517241,0.258620689655172,0.482758620689655,0.413793103448276,0.362068965517241,0.379310344827586,0.413793103448276,256
"mle.initial.PC",0.428571428571429,0.333333333333333,0.380952380952381,0.30952380952381,0.357142857142857,0.285714285714286,0.238095238095238,0.476190476190476,0.428571428571429,0.333333333333333,0.428571428571429,0.357142857142857,0.404761904761905,0.404761904761905,0.380952380952381,0.428571428571429,0.404761904761905,0.285714285714286,0.428571428571429,0.428571428571429,0.285714285714286,0.333333333333333,0.428571428571429,0.357142857142857,0.428571428571429,0.404761904761905,0.261904761904762,0.428571428571429,0.452380952380952,0.30952380952381,0.285714285714286,0.380952380952381,0.428571428571429,0.30952380952381,0.380952380952381,0.285714285714286,0.5,0.30952380952381,0.452380952380952,0.30952380952381,0.428571428571429,0.523809523809524,0.523809523809524,0.357142857142857,0.380952380952381,0.30952380952381,0.428571428571429,0.476190476190476,0.261904761904762,0.428571428571429,0.428571428571429,0.357142857142857,0.476190476190476,0.30952380952381,0.452380952380952,0.452380952380952,0.333333333333333,0.404761904761905,0.238095238095238,0.261904761904762,0.428571428571429,0.380952380952381,0.333333333333333,256
"mle.final.PC",0.428571428571429,0.333333333333333,0.380952380952381,0.30952380952381,0.357142857142857,0.285714285714286,0.238095238095238,0.476190476190476,0.428571428571429,0.333333333333333,0.428571428571429,0.357142857142857,0.404761904761905,0.404761904761905,0.380952380952381,0.428571428571429,0.404761904761905,0.285714285714286,0.428571428571429,0.428571428571429,0.285714285714286,0.333333333333333,0.428571428571429,0.357142857142857,0.428571428571429,0.404761904761905,0.261904761904762,0.428571428571429,0.452380952380952,0.30952380952381,0.285714285714286,0.380952380952381,0.428571428571429,0.30952380952381,0.380952380952381,0.285714285714286,0.5,0.30952380952381,0.452380952380952,0.30952380952381,0.428571428571429,0.523809523809524,0.523809523809524,0.357142857142857,0.380952380952381,0.30952380952381,0.428571428571429,0.476190476190476,0.261904761904762,0.428571428571429,0.428571428571429,0.357142857142857,0.476190476190476,0.30952380952381,0.452380952380952,0.452380952380952,0.333333333333333,0.404761904761905,0.238095238095238,0.261904761904762,0.428571428571429,0.380952380952381,0.333333333333333,256
"post.mean.initial.IP",0.415023691579297,0.328542249612772,0.400333942407283,0.305250436023548,0.346762810149703,0.313360126018671,0.24894032488037,0.460131603915542,0.385344185091316,0.307990313579379,0.400734173897156,0.360685559886178,0.367466694027116,0.377841338225152,0.387600435775302,0.419518729943092,0.41864098993241,0.321492579443763,0.410394366321837,0.369102253374072,0.325593827999121,0.307990313579379,0.400734173897156,0.373529218950516,0.40561474255661,0.401457737142749,0.294213551545281,0.379970123068533,0.423580702426767,0.323775778850684,0.321492579443763,0.369677307388167,0.410394366321837,0.294965062848247,0.354759746073868,0.317443004856419,0.433380995333348,0.353086179056743,0.403113197743709,0.344599597085219,0.379970123068533,0.434812622622481,0.451266619736941,0.369308671558678,0.374357956993295,0.336369015219256,0.363648051671605,0.431456839265386,0.310406380508726,0.395709263723221,0.40561474255661,0.360685559886178,0.436557544915453,0.305250436023548,0.413575647911819,0.4186646230986,0.337894395586381,0.345788094255793,0.308617567148688,0.30628372259243,0.390573252031521,0.369677307388167,0.35088587368308,256
"post.mean.final.IP",0.415023691579297,0.328542249612772,0.400333942407283,0.305250436023548,0.346762810149703,0.313360126018671,0.24894032488037,0.460131603915542,0.385344185091316,0.307990313579379,0.400734173897156,0.360685559886178,0.367466694027116,0.377841338225152,0.387600435775302,0.419518729943092,0.41864098993241,0.321492579443763,0.410394366321837,0.369102253374072,0.325593827999121,0.307990313579379,0.400734173897156,0.373529218950516,0.40561474255661,0.401457737142749,0.294213551545281,0.379970123068533,0.423580702426767,0.323775778850684,0.321492579443763,0.369677307388167,0.410394366321837,0.294965062848247,0.354759746073868,0.317443004856419,0.433380995333348,0.353086179056743,0.403113197743709,0.344599597085219,0.379970123068533,0.434812622622481,0.451266619736941,0.369308671558678,0.374357956993295,0.336369015219256,0.363648051671605,0.431456839265386,0.310406380508726,0.395709263723221,0.40561474255661,0.360685559886178,0.436557544915453,0.305250436023548,0.413575647911819,0.4186646230986,0.337894395586381,0.345788094255793,0.308617567148688,0.30628372259243,0.390573252031521,0.369677307388167,0.35088587368308,256
"post.mean.initial.PC",0.0415112222021874,0.0204791134196312,0.08562379498378,0.0133111913506109,0.0198347153187169,0.064851367240161,0.0157235795424535,0.0563314161844472,-0.0033263473413707,-0.00980604059415453,0.0182420045605251,0.0439233098244317,-0.00310138892583457,0.0113138016608925,0.0598425559990182,0.0496818833340557,0.0845938650055431,0.0824623212564753,0.0335398929639683,-0.0243762015197934,0.0911539494364927,-0.00980604059415453,0.0182420045605251,0.0694886181217082,0.0257826282770258,0.0505050465004435,0.0665968126674338,-0.0103152162224039,0.0251984643566754,0.0460214544647747,0.0824623212564753,0.0269918120573115,0.0335398929639683,-0.00205333587428347,0.00437312699402042,0.0736759202330267,-0.0109486383307446,0.106360010545299,-0.00357398321646112,0.0894795355102118,-0.0103152162224039,-0.0314339592584295,-0.011300694133813,0.0608641084914279,0.0349166626236592,0.0720792134783909,-0.0316129434002603,0.0100321447614331,0.1016233236646,0.0109011102250249,0.0257826282770258,0.0439233098244317,0.0172109972259241,0.0133111913506109,0.0104800331175779,0.0177392665541714,0.0365700123168886,-0.0318383488485898,0.135269636466633,0.0930955711846858,0.00372704166893139,0.0269918120573115,0.0620101377776009,256
