"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,304
"eff.mon.final",1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,304
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304
"ss.initial",80,90,80,100,100,100,100,100,70,100,86,100,90,86,100,100,100,88,100,100,100,100,88,100,100,100,90,100,100,84,100,100,100,100,100,100,100,98,84,100,100,100,80,100,100,88,100,92,100,100,100,98,86,90,100,100,100,100,100,100,100,100,100,304
"ss.final",83,93,83,100,100,100,100,100,73,100,89,100,93,89,100,100,100,91,100,100,100,100,91,100,100,100,93,100,100,87,100,100,100,100,100,100,100,100,87,100,100,100,83,100,100,91,100,95,100,100,100,100,89,93,100,100,100,100,100,100,100,100,100,304
"mle.initial.IP",0.638297872340426,0.60377358490566,0.645833333333333,0.568965517241379,0.620689655172414,0.517241379310345,0.568965517241379,0.568965517241379,0.75609756097561,0.586206896551724,0.607843137254902,0.603448275862069,0.636363636363636,0.6,0.482758620689655,0.517241379310345,0.586206896551724,0.604166666666667,0.551724137931034,0.568965517241379,0.46551724137931,0.603448275862069,0.68,0.568965517241379,0.655172413793103,0.5,0.576923076923077,0.517241379310345,0.517241379310345,0.615384615384615,0.551724137931034,0.53448275862069,0.53448275862069,0.431034482758621,0.53448275862069,0.53448275862069,0.586206896551724,0.578947368421053,0.604166666666667,0.551724137931034,0.603448275862069,0.5,0.659090909090909,0.620689655172414,0.53448275862069,0.574074074074074,0.603448275862069,0.555555555555556,0.482758620689655,0.603448275862069,0.517241379310345,0.568965517241379,0.653846153846154,0.596153846153846,0.53448275862069,0.53448275862069,0.655172413793103,0.672413793103448,0.517241379310345,0.603448275862069,0.586206896551724,0.517241379310345,0.482758620689655,304
"mle.final.IP",0.64,0.6,0.62,0.568965517241379,0.620689655172414,0.517241379310345,0.568965517241379,0.568965517241379,0.767441860465116,0.586206896551724,0.60377358490566,0.603448275862069,0.631578947368421,0.607843137254902,0.482758620689655,0.517241379310345,0.586206896551724,0.612244897959184,0.551724137931034,0.568965517241379,0.46551724137931,0.603448275862069,0.673076923076923,0.568965517241379,0.655172413793103,0.5,0.584905660377358,0.517241379310345,0.517241379310345,0.611111111111111,0.551724137931034,0.53448275862069,0.53448275862069,0.431034482758621,0.53448275862069,0.53448275862069,0.586206896551724,0.568965517241379,0.6,0.551724137931034,0.603448275862069,0.5,0.652173913043478,0.620689655172414,0.53448275862069,0.563636363636364,0.603448275862069,0.553571428571429,0.482758620689655,0.603448275862069,0.517241379310345,0.568965517241379,0.641509433962264,0.584905660377358,0.53448275862069,0.53448275862069,0.655172413793103,0.672413793103448,0.517241379310345,0.603448275862069,0.586206896551724,0.517241379310345,0.482758620689655,304
"mle.initial.PC",0.363636363636364,0.378378378378378,0.28125,0.404761904761905,0.452380952380952,0.404761904761905,0.404761904761905,0.404761904761905,0.172413793103448,0.476190476190476,0.342857142857143,0.547619047619048,0.4,0.25,0.357142857142857,0.357142857142857,0.380952380952381,0.35,0.428571428571429,0.404761904761905,0.30952380952381,0.428571428571429,0.447368421052632,0.452380952380952,0.476190476190476,0.333333333333333,0.342105263157895,0.357142857142857,0.476190476190476,0.28125,0.428571428571429,0.380952380952381,0.357142857142857,0.238095238095238,0.452380952380952,0.30952380952381,0.380952380952381,0.365853658536585,0.333333333333333,0.380952380952381,0.619047619047619,0.285714285714286,0.361111111111111,0.428571428571429,0.476190476190476,0.294117647058824,0.5,0.315789473684211,0.5,0.452380952380952,0.380952380952381,0.35,0.411764705882353,0.342105263157895,0.428571428571429,0.452380952380952,0.452380952380952,0.5,0.30952380952381,0.619047619047619,0.428571428571429,0.404761904761905,0.285714285714286,304
"mle.final.PC",0.363636363636364,0.368421052631579,0.272727272727273,0.404761904761905,0.452380952380952,0.404761904761905,0.404761904761905,0.404761904761905,0.166666666666667,0.476190476190476,0.333333333333333,0.547619047619048,0.388888888888889,0.289473684210526,0.357142857142857,0.357142857142857,0.380952380952381,0.380952380952381,0.428571428571429,0.404761904761905,0.30952380952381,0.428571428571429,0.461538461538462,0.452380952380952,0.476190476190476,0.333333333333333,0.325,0.357142857142857,0.476190476190476,0.272727272727273,0.428571428571429,0.380952380952381,0.357142857142857,0.238095238095238,0.452380952380952,0.30952380952381,0.380952380952381,0.357142857142857,0.324324324324324,0.380952380952381,0.619047619047619,0.285714285714286,0.378378378378378,0.428571428571429,0.476190476190476,0.333333333333333,0.5,0.307692307692308,0.5,0.452380952380952,0.380952380952381,0.357142857142857,0.388888888888889,0.35,0.428571428571429,0.452380952380952,0.452380952380952,0.5,0.30952380952381,0.619047619047619,0.428571428571429,0.404761904761905,0.285714285714286,304
