"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,328
"eff.mon.final",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,328
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328
"ss.initial",100,92,80,100,100,100,100,78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,92,84,100,100,100,100,100,80,100,100,100,100,100,100,82,100,100,100,100,100,100,328
"ss.final",100,95,83,100,100,100,100,81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93,100,95,87,100,100,100,100,100,83,100,100,100,100,100,100,85,100,100,100,100,100,100,328
"mle.initial.IP",0.551724137931034,0.557692307692308,0.652173913043478,0.517241379310345,0.551724137931034,0.46551724137931,0.517241379310345,0.638297872340426,0.5,0.396551724137931,0.482758620689655,0.5,0.551724137931034,0.46551724137931,0.517241379310345,0.586206896551724,0.46551724137931,0.53448275862069,0.46551724137931,0.517241379310345,0.413793103448276,0.46551724137931,0.603448275862069,0.396551724137931,0.448275862068966,0.482758620689655,0.517241379310345,0.568965517241379,0.586206896551724,0.5,0.448275862068966,0.482758620689655,0.5,0.620689655172414,0.517241379310345,0.46551724137931,0.482758620689655,0.482758620689655,0.53448275862069,0.517241379310345,0.574074074074074,0.448275862068966,0.555555555555556,0.63265306122449,0.517241379310345,0.517241379310345,0.396551724137931,0.517241379310345,0.344827586206897,0.645833333333333,0.46551724137931,0.53448275862069,0.603448275862069,0.551724137931034,0.482758620689655,0.431034482758621,0.63265306122449,0.5,0.482758620689655,0.46551724137931,0.551724137931034,0.448275862068966,0.482758620689655,328
"mle.final.IP",0.551724137931034,0.545454545454545,0.666666666666667,0.517241379310345,0.551724137931034,0.46551724137931,0.517241379310345,0.638297872340426,0.5,0.396551724137931,0.482758620689655,0.5,0.551724137931034,0.46551724137931,0.517241379310345,0.586206896551724,0.46551724137931,0.53448275862069,0.46551724137931,0.517241379310345,0.413793103448276,0.46551724137931,0.603448275862069,0.396551724137931,0.448275862068966,0.482758620689655,0.517241379310345,0.568965517241379,0.586206896551724,0.5,0.448275862068966,0.482758620689655,0.5,0.620689655172414,0.517241379310345,0.46551724137931,0.482758620689655,0.482758620689655,0.53448275862069,0.517241379310345,0.563636363636364,0.448275862068966,0.553571428571429,0.647058823529412,0.517241379310345,0.517241379310345,0.396551724137931,0.517241379310345,0.344827586206897,0.64,0.46551724137931,0.53448275862069,0.603448275862069,0.551724137931034,0.482758620689655,0.431034482758621,0.596153846153846,0.5,0.482758620689655,0.46551724137931,0.551724137931034,0.448275862068966,0.482758620689655,328
"mle.initial.PC",0.380952380952381,0.25,0.264705882352941,0.380952380952381,0.452380952380952,0.380952380952381,0.380952380952381,0.193548387096774,0.404761904761905,0.333333333333333,0.523809523809524,0.333333333333333,0.476190476190476,0.476190476190476,0.30952380952381,0.5,0.452380952380952,0.333333333333333,0.428571428571429,0.333333333333333,0.380952380952381,0.452380952380952,0.547619047619048,0.30952380952381,0.333333333333333,0.380952380952381,0.428571428571429,0.428571428571429,0.380952380952381,0.571428571428571,0.357142857142857,0.380952380952381,0.30952380952381,0.523809523809524,0.380952380952381,0.428571428571429,0.452380952380952,0.452380952380952,0.333333333333333,0.357142857142857,0.25,0.357142857142857,0.289473684210526,0.371428571428571,0.476190476190476,0.404761904761905,0.5,0.380952380952381,0.547619047619048,0.375,0.404761904761905,0.333333333333333,0.452380952380952,0.428571428571429,0.476190476190476,0.428571428571429,0.363636363636364,0.30952380952381,0.380952380952381,0.357142857142857,0.380952380952381,0.380952380952381,0.285714285714286,328
"mle.final.PC",0.380952380952381,0.25,0.257142857142857,0.380952380952381,0.452380952380952,0.380952380952381,0.380952380952381,0.205882352941176,0.404761904761905,0.333333333333333,0.523809523809524,0.333333333333333,0.476190476190476,0.476190476190476,0.30952380952381,0.5,0.452380952380952,0.333333333333333,0.428571428571429,0.333333333333333,0.380952380952381,0.452380952380952,0.547619047619048,0.30952380952381,0.333333333333333,0.380952380952381,0.428571428571429,0.428571428571429,0.380952380952381,0.571428571428571,0.357142857142857,0.380952380952381,0.30952380952381,0.523809523809524,0.380952380952381,0.428571428571429,0.452380952380952,0.452380952380952,0.333333333333333,0.357142857142857,0.236842105263158,0.357142857142857,0.282051282051282,0.388888888888889,0.476190476190476,0.404761904761905,0.5,0.380952380952381,0.547619047619048,0.393939393939394,0.404761904761905,0.333333333333333,0.452380952380952,0.428571428571429,0.476190476190476,0.428571428571429,0.363636363636364,0.30952380952381,0.380952380952381,0.357142857142857,0.380952380952381,0.380952380952381,0.285714285714286,328
