"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,40
"eff.mon.final",1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,40
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"ss.initial",82,80,100,76,78,80,82,76,100,100,78,70,80,88,84,100,78,80,74,80,76,100,76,76,100,100,94,80,100,100,78,94,76,88,72,82,100,94,100,100,100,100,100,72,80,92,100,74,100,100,80,84,92,90,90,84,74,80,80,80,76,78,92,40
"ss.final",85,83,100,79,81,83,85,79,100,100,81,73,83,91,87,100,81,83,77,83,79,100,79,79,100,100,97,83,100,100,81,97,79,91,75,85,100,97,100,100,100,100,100,75,83,95,100,77,100,100,83,87,95,93,93,87,77,83,83,83,79,81,95,40
"mle.initial.IP",0.708333333333333,0.607843137254902,0.620689655172414,0.688888888888889,0.688888888888889,0.693877551020408,0.680851063829787,0.695652173913043,0.637931034482759,0.620689655172414,0.711111111111111,0.717948717948718,0.645833333333333,0.627450980392157,0.604166666666667,0.53448275862069,0.680851063829787,0.673469387755102,0.711111111111111,0.66,0.723404255319149,0.586206896551724,0.723404255319149,0.681818181818182,0.551724137931034,0.637931034482759,0.62962962962963,0.638297872340426,0.637931034482759,0.53448275862069,0.659090909090909,0.611111111111111,0.695652173913043,0.636363636363636,0.744186046511628,0.653061224489796,0.568965517241379,0.642857142857143,0.620689655172414,0.551724137931034,0.551724137931034,0.568965517241379,0.655172413793103,0.739130434782609,0.645833333333333,0.611111111111111,0.53448275862069,0.738095238095238,0.5,0.620689655172414,0.659574468085106,0.604166666666667,0.611111111111111,0.673076923076923,0.68,0.622641509433962,0.711111111111111,0.659574468085106,0.638297872340426,0.638297872340426,0.688888888888889,0.638297872340426,0.6,40
"mle.final.IP",0.708333333333333,0.607843137254902,0.620689655172414,0.695652173913043,0.680851063829787,0.692307692307692,0.673469387755102,0.6875,0.637931034482759,0.620689655172414,0.717391304347826,0.731707317073171,0.653061224489796,0.62962962962963,0.62,0.53448275862069,0.673469387755102,0.686274509803922,0.717391304347826,0.673076923076923,0.708333333333333,0.586206896551724,0.708333333333333,0.695652173913043,0.551724137931034,0.637931034482759,0.607142857142857,0.645833333333333,0.637931034482759,0.53448275862069,0.659574468085106,0.607142857142857,0.708333333333333,0.636363636363636,0.733333333333333,0.634615384615385,0.568965517241379,0.631578947368421,0.620689655172414,0.551724137931034,0.551724137931034,0.568965517241379,0.655172413793103,0.74468085106383,0.653061224489796,0.618181818181818,0.53448275862069,0.744186046511628,0.5,0.620689655172414,0.63265306122449,0.6,0.618181818181818,0.685185185185185,0.666666666666667,0.618181818181818,0.723404255319149,0.659574468085106,0.6,0.63265306122449,0.680851063829787,0.638297872340426,0.589285714285714,40
"mle.initial.PC",0.441176470588235,0.137931034482759,0.5,0.32258064516129,0.333333333333333,0.419354838709677,0.428571428571429,0.3,0.452380952380952,0.428571428571429,0.424242424242424,0.225806451612903,0.34375,0.405405405405405,0.333333333333333,0.404761904761905,0.32258064516129,0.387096774193548,0.344827586206897,0.333333333333333,0.413793103448276,0.428571428571429,0.413793103448276,0.3125,0.428571428571429,0.5,0.4,0.363636363636364,0.5,0.476190476190476,0.323529411764706,0.4,0.3,0.393939393939394,0.379310344827586,0.393939393939394,0.380952380952381,0.421052631578947,0.5,0.404761904761905,0.404761904761905,0.5,0.452380952380952,0.269230769230769,0.28125,0.394736842105263,0.404761904761905,0.34375,0.5,0.452380952380952,0.393939393939394,0.25,0.394736842105263,0.447368421052632,0.45,0.32258064516129,0.241379310344828,0.393939393939394,0.363636363636364,0.363636363636364,0.354838709677419,0.161290322580645,0.378378378378378,40
"mle.final.PC",0.405405405405405,0.15625,0.5,0.333333333333333,0.323529411764706,0.419354838709677,0.444444444444444,0.32258064516129,0.452380952380952,0.428571428571429,0.4,0.21875,0.323529411764706,0.405405405405405,0.351351351351351,0.404761904761905,0.34375,0.375,0.32258064516129,0.354838709677419,0.419354838709677,0.428571428571429,0.419354838709677,0.303030303030303,0.428571428571429,0.5,0.414634146341463,0.371428571428571,0.5,0.476190476190476,0.323529411764706,0.390243902439024,0.32258064516129,0.388888888888889,0.366666666666667,0.393939393939394,0.380952380952381,0.425,0.5,0.404761904761905,0.404761904761905,0.5,0.452380952380952,0.25,0.264705882352941,0.375,0.404761904761905,0.323529411764706,0.5,0.452380952380952,0.382352941176471,0.27027027027027,0.375,0.435897435897436,0.452380952380952,0.3125,0.233333333333333,0.388888888888889,0.363636363636364,0.352941176470588,0.34375,0.205882352941176,0.358974358974359,40
"post.mean.initial.IP",0.496792330949509,0.315999222013581,0.500529101480121,0.433312681645116,0.435384879023765,0.484080639509412,0.479799469625877,0.427546258631731,0.478165549983444,0.459793051134159,0.488858968243896,0.389591576945108,0.428261474211517,0.450370833979623,0.404233957693355,0.422958300506939,0.431574765546132,0.461129197677637,0.456069712193387,0.432142782951349,0.494008958418937,0.450213654071676,0.494008958418937,0.423233337667793,0.441231583239176,0.505165469878078,0.446842662164249,0.434132517936513,0.505165469878078,0.464547364045539,0.417682616289331,0.441315253470426,0.427546258631731,0.451395285269191,0.483780477328655,0.455245960608874,0.418130656270412,0.464077045672476,0.500529101480121,0.427361903415483,0.427361903415483,0.487146570400122,0.483258574260113,0.441518698169598,0.39671100840385,0.439645355164851,0.422958300506939,0.458420989073048,0.469099630815135,0.473264075081753,0.456709410137499,0.358244936996747,0.439645355164851,0.486724722408239,0.488661334509375,0.412870121381389,0.40704607697065,0.456709410137499,0.434132517936513,0.434132517936513,0.449091785211061,0.331833237629054,0.428294099408959,40
"post.mean.final.IP",0.475852810716277,0.317201339984665,0.500529101480121,0.438536140453774,0.427186979828144,0.484697430244599,0.485629726699768,0.434749686175165,0.478165549983444,0.459793051134159,0.477364747828392,0.391047764458741,0.418269692424703,0.451762029618665,0.418646986583611,0.422958300506939,0.438721855310132,0.459691796367664,0.445091526700019,0.446826539267648,0.488988641349308,0.450213654071676,0.488988641349308,0.423279567975627,0.441231583239176,0.505165469878078,0.448195953755222,0.438950868297782,0.505165469878078,0.464547364045539,0.419546828547604,0.434487224989763,0.442942454694842,0.446242227232794,0.473404701817326,0.449985731157115,0.418130656270412,0.461793658785405,0.500529101480121,0.427361903415483,0.427361903415483,0.487146570400122,0.483258574260113,0.430601630906061,0.387751316787272,0.429805307680086,0.422958300506939,0.447947388041044,0.469099630815135,0.473264075081753,0.441624622025065,0.367652755398862,0.429805307680086,0.484532438201634,0.485215412181349,0.405556550704369,0.407609042988665,0.451273092243982,0.422620124377617,0.426402176421277,0.440371349678804,0.348926210605611,0.413131825682641,40
"post.mean.initial.PC",0.150335267796813,0.192389441348752,0.0981072917819819,0.16981407295336,0.16886766529551,0.14962998801659,0.143273585249341,0.176928866450202,0.124368368539436,0.125064588270073,0.153741156869591,0.195534818197078,0.15243577011674,0.131595805552759,0.142873558297235,0.0931315699622099,0.168408589691426,0.150633543813395,0.170085702317562,0.159483569197567,0.159380550024806,0.108960222267508,0.159380550024806,0.170160902229826,0.0921826777059605,0.106588394443642,0.136696623723061,0.144435236599056,0.106588394443642,0.0647359863009544,0.16154710918189,0.128822646351324,0.176928866450202,0.138321667653334,0.17188618607925,0.142391033984214,0.118851627522114,0.13529438323379,0.0981072917819819,0.101562459873634,0.101562459873634,0.0723472158100876,0.132187417003007,0.192034178080426,0.168761072966273,0.129778918376058,0.0931315699622099,0.179473036230566,0.0392542833170441,0.116346071247802,0.143901346759096,0.167222404237073,0.129778918376058,0.138031828067206,0.13992407150209,0.151429717821429,0.192802510311561,0.143901346759096,0.144435236599056,0.144435236599056,0.162059439995335,0.195159572224359,0.130401524172415,40
"post.mean.final.PC",0.161591238217611,0.191856770091263,0.0981072917819819,0.171732681969095,0.170664392225872,0.150405874340855,0.137054940188734,0.171164553775479,0.124368368539436,0.125064588270073,0.163979092576793,0.203887245745427,0.162391745617738,0.133647973914286,0.144989780745615,0.0931315699622099,0.162602470454587,0.160069956336065,0.17959207133586,0.160314911978648,0.154454467233154,0.108960222267508,0.154454467233154,0.17902682087946,0.0921826777059605,0.106588394443642,0.122993793241859,0.146745324111327,0.106588394443642,0.0647359863009544,0.163520331898616,0.131555311072265,0.177934015860928,0.141493583980413,0.173276253656428,0.136496093573138,0.118851627522114,0.130214504927402,0.0981072917819819,0.101562459873634,0.101562459873634,0.0723472158100876,0.132187417003007,0.200889701360388,0.177764908102437,0.140531150778052,0.0931315699622099,0.188332080252625,0.0392542833170441,0.116346071247802,0.138454024782831,0.161841334386057,0.140531150778052,0.147794355478401,0.134608736834031,0.154297432132498,0.200786742152543,0.146968625164238,0.131132059648154,0.146989819478731,0.164028393564251,0.187285964301189,0.133711834827727,40
"cov.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"cov.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"eff.mix.prob",0.747240876375913,0.986221181126409,0.532588662646238,0.865589024558106,0.858268043054968,0.6458038026884,0.521633422973355,0.865151111869272,0.417861405843843,0.407268905678668,0.779398058076134,0.995084789704082,0.78174318561689,0.454428305735071,0.577327453655504,0.463632954926324,0.779849235784486,0.741099166673515,0.923314823443208,0.755640360801295,0.70072645640848,0.385189812783463,0.70072645640848,0.920785297801219,0.487886320430485,0.497608301879397,0.392333701569051,0.611109843329066,0.497608301879397,0.877852952054193,0.799681572694552,0.421155929550402,0.908141696772263,0.520534838831737,0.882248285489177,0.492876669903533,0.365401036648643,0.432470797564267,0.532588662646238,0.400602730511954,0.400602730511954,0.784573020080364,0.459578905681202,0.991490437224284,0.919282611765516,0.500098171236433,0.463632954926324,0.957721746931672,1,0.399750405074585,0.524592712092005,0.79941013915058,0.500098171236433,0.59293602218061,0.488436581069944,0.69973946539828,0.991455691677705,0.601558035751246,0.455214891808035,0.609915347460021,0.798407382564608,0.971699414719089,0.457704455194775,40
