"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,219
"eff.mon.final",0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,219
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
"ss.initial",100,86,100,90,100,100,100,98,78,74,80,80,100,100,100,100,100,90,100,100,82,82,80,100,100,100,100,100,100,80,100,100,100,100,100,100,100,82,100,100,98,100,100,100,100,96,84,100,100,100,90,100,100,100,86,100,100,100,100,90,82,100,100,219
"ss.final",100,89,100,93,100,100,100,100,81,77,83,83,100,100,100,100,100,93,100,100,85,85,83,100,100,100,100,100,100,83,100,100,100,100,100,100,100,85,100,100,100,100,100,100,100,99,87,100,100,100,93,100,100,100,89,100,100,100,100,93,85,100,100,219
"mle.initial.IP",0.517241379310345,0.648148148148148,0.637931034482759,0.574074074074074,0.448275862068966,0.5,0.586206896551724,0.535714285714286,0.680851063829787,0.717391304347826,0.653061224489796,0.666666666666667,0.5,0.551724137931034,0.46551724137931,0.46551724137931,0.46551724137931,0.581818181818182,0.551724137931034,0.568965517241379,0.62,0.714285714285714,0.644444444444444,0.568965517241379,0.551724137931034,0.551724137931034,0.517241379310345,0.5,0.551724137931034,0.666666666666667,0.517241379310345,0.53448275862069,0.586206896551724,0.5,0.551724137931034,0.448275862068966,0.482758620689655,0.630434782608696,0.620689655172414,0.448275862068966,0.655172413793103,0.53448275862069,0.53448275862069,0.53448275862069,0.637931034482759,0.6,0.64,0.517241379310345,0.672413793103448,0.517241379310345,0.641509433962264,0.53448275862069,0.551724137931034,0.568965517241379,0.596153846153846,0.46551724137931,0.448275862068966,0.517241379310345,0.482758620689655,0.566037735849057,0.634615384615385,0.53448275862069,0.568965517241379,219
"mle.final.IP",0.517241379310345,0.636363636363636,0.637931034482759,0.581818181818182,0.448275862068966,0.5,0.586206896551724,0.53448275862069,0.693877551020408,0.723404255319149,0.66,0.666666666666667,0.5,0.551724137931034,0.46551724137931,0.46551724137931,0.46551724137931,0.581818181818182,0.551724137931034,0.568965517241379,0.627450980392157,0.705882352941177,0.659574468085106,0.568965517241379,0.551724137931034,0.551724137931034,0.517241379310345,0.5,0.551724137931034,0.673469387755102,0.517241379310345,0.53448275862069,0.586206896551724,0.5,0.551724137931034,0.448275862068966,0.482758620689655,0.625,0.620689655172414,0.448275862068966,0.655172413793103,0.53448275862069,0.53448275862069,0.53448275862069,0.637931034482759,0.568965517241379,0.647058823529412,0.517241379310345,0.672413793103448,0.517241379310345,0.648148148148148,0.53448275862069,0.551724137931034,0.568965517241379,0.596153846153846,0.46551724137931,0.448275862068966,0.517241379310345,0.482758620689655,0.574074074074074,0.634615384615385,0.53448275862069,0.568965517241379,219
"mle.initial.PC",0.404761904761905,0.40625,0.428571428571429,0.277777777777778,0.380952380952381,0.214285714285714,0.571428571428571,0.30952380952381,0.290322580645161,0.321428571428571,0.290322580645161,0.34375,0.238095238095238,0.404761904761905,0.357142857142857,0.428571428571429,0.357142857142857,0.342857142857143,0.476190476190476,0.428571428571429,0.3125,0.454545454545455,0.285714285714286,0.404761904761905,0.404761904761905,0.380952380952381,0.333333333333333,0.357142857142857,0.404761904761905,0.34375,0.30952380952381,0.333333333333333,0.452380952380952,0.404761904761905,0.380952380952381,0.380952380952381,0.476190476190476,0.277777777777778,0.5,0.357142857142857,0.45,0.452380952380952,0.404761904761905,0.452380952380952,0.5,0.390243902439024,0.382352941176471,0.404761904761905,0.5,0.404761904761905,0.405405405405405,0.380952380952381,0.357142857142857,0.404761904761905,0.323529411764706,0.380952380952381,0.404761904761905,0.428571428571429,0.428571428571429,0.243243243243243,0.333333333333333,0.452380952380952,0.380952380952381,219
"mle.final.PC",0.404761904761905,0.382352941176471,0.428571428571429,0.315789473684211,0.380952380952381,0.214285714285714,0.571428571428571,0.30952380952381,0.3125,0.333333333333333,0.303030303030303,0.34375,0.238095238095238,0.404761904761905,0.357142857142857,0.428571428571429,0.357142857142857,0.368421052631579,0.476190476190476,0.428571428571429,0.294117647058824,0.441176470588235,0.305555555555556,0.404761904761905,0.404761904761905,0.380952380952381,0.333333333333333,0.357142857142857,0.404761904761905,0.323529411764706,0.30952380952381,0.333333333333333,0.452380952380952,0.404761904761905,0.380952380952381,0.380952380952381,0.476190476190476,0.297297297297297,0.5,0.357142857142857,0.452380952380952,0.452380952380952,0.404761904761905,0.452380952380952,0.5,0.390243902439024,0.388888888888889,0.404761904761905,0.5,0.404761904761905,0.384615384615385,0.380952380952381,0.357142857142857,0.404761904761905,0.324324324324324,0.380952380952381,0.404761904761905,0.428571428571429,0.428571428571429,0.282051282051282,0.363636363636364,0.452380952380952,0.380952380952381,219
"post.mean.initial.IP",0.41864098993241,0.462167658107151,0.464851585559094,0.366134642960599,0.387600435775302,0.29843993822054,0.533088352155765,0.366862137475143,0.415762697214588,0.450503588118239,0.406383406432226,0.435708424865657,0.313519065433151,0.427361903415483,0.377705683174484,0.419518729943092,0.377705683174484,0.405264216373479,0.468931188263833,0.445669174941245,0.404271533478002,0.506756083999783,0.391616150344852,0.431884813530669,0.427361903415483,0.413484748154013,0.376354579822035,0.386177303115259,0.427361903415483,0.435708424865657,0.362097917129716,0.380954456817582,0.463952851714072,0.414369046525657,0.413484748154013,0.387600435775302,0.45106342732591,0.381521744300772,0.500529101480121,0.373529218950516,0.482842216382557,0.450747839154303,0.422958300506939,0.450747839154303,0.505165469878078,0.432227640493342,0.444363337650266,0.41864098993241,0.51490768456879,0.41864098993241,0.455280040435155,0.408995383280416,0.399613273874583,0.431884813530669,0.399948235787849,0.391861568391514,0.401457737142749,0.432568725029397,0.4239347823565,0.342247341788914,0.423533333849093,0.450747839154303,0.418130656270412,219
