"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,235
"eff.mon.final",1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,235
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235
"ss.initial",78,80,84,74,80,100,86,92,100,100,100,100,88,72,82,100,84,74,72,78,76,82,82,76,76,100,100,92,76,96,84,82,94,76,74,100,74,82,100,88,100,100,72,100,100,80,82,90,72,76,92,100,82,80,84,90,82,100,88,100,78,82,100,235
"ss.final",81,83,87,77,83,100,89,95,100,100,100,100,91,75,85,100,87,77,75,81,79,85,85,79,79,100,100,95,79,99,87,85,97,79,77,100,77,85,100,91,100,100,75,100,100,83,85,93,75,79,95,100,85,83,87,93,85,100,91,100,81,85,100,235
"mle.initial.IP",0.659090909090909,0.681818181818182,0.612244897959184,0.704545454545455,0.708333333333333,0.551724137931034,0.64,0.555555555555556,0.551724137931034,0.620689655172414,0.637931034482759,0.551724137931034,0.641509433962264,0.733333333333333,0.612244897959184,0.5,0.634615384615385,0.727272727272727,0.75,0.659574468085106,0.729166666666667,0.617021276595745,0.64,0.688888888888889,0.695652173913043,0.568965517241379,0.551724137931034,0.666666666666667,0.707317073170732,0.6,0.595744680851064,0.612244897959184,0.543859649122807,0.714285714285714,0.711111111111111,0.568965517241379,0.731707317073171,0.62,0.586206896551724,0.6,0.672413793103448,0.517241379310345,0.673913043478261,0.637931034482759,0.637931034482759,0.645833333333333,0.641509433962264,0.636363636363636,0.645833333333333,0.708333333333333,0.592592592592593,0.603448275862069,0.652173913043478,0.7,0.64,0.576923076923077,0.64,0.637931034482759,0.653846153846154,0.551724137931034,0.739130434782609,0.654545454545455,0.568965517241379,235
"mle.final.IP",0.680851063829787,0.638297872340426,0.607843137254902,0.717391304347826,0.708333333333333,0.551724137931034,0.64,0.563636363636364,0.551724137931034,0.620689655172414,0.637931034482759,0.551724137931034,0.648148148148148,0.74468085106383,0.627450980392157,0.5,0.622641509433962,0.733333333333333,0.760869565217391,0.659574468085106,0.729166666666667,0.625,0.64,0.680851063829787,0.702127659574468,0.568965517241379,0.551724137931034,0.678571428571429,0.697674418604651,0.596491228070175,0.583333333333333,0.607843137254902,0.551724137931034,0.714285714285714,0.717391304347826,0.568965517241379,0.731707317073171,0.622641509433962,0.586206896551724,0.607142857142857,0.672413793103448,0.517241379310345,0.673913043478261,0.637931034482759,0.637931034482759,0.627450980392157,0.641509433962264,0.642857142857143,0.653061224489796,0.693877551020408,0.589285714285714,0.603448275862069,0.645833333333333,0.711538461538462,0.64,0.581818181818182,0.634615384615385,0.637931034482759,0.648148148148148,0.551724137931034,0.729166666666667,0.654545454545455,0.568965517241379,235
"mle.initial.PC",0.352941176470588,0.388888888888889,0.314285714285714,0.266666666666667,0.4375,0.523809523809524,0.388888888888889,0.184210526315789,0.380952380952381,0.476190476190476,0.452380952380952,0.452380952380952,0.4,0.296296296296296,0.333333333333333,0.476190476190476,0.375,0.4,0.392857142857143,0.290322580645161,0.428571428571429,0.257142857142857,0.34375,0.258064516129032,0.366666666666667,0.404761904761905,0.357142857142857,0.447368421052632,0.4,0.390243902439024,0.297297297297297,0.333333333333333,0.243243243243243,0.37037037037037,0.344827586206897,0.357142857142857,0.333333333333333,0.34375,0.476190476190476,0.333333333333333,0.523809523809524,0.452380952380952,0.153846153846154,0.5,0.523809523809524,0.375,0.344827586206897,0.4,0.0833333333333333,0.392857142857143,0.368421052631579,0.452380952380952,0.388888888888889,0.433333333333333,0.382352941176471,0.315789473684211,0.375,0.523809523809524,0.416666666666667,0.428571428571429,0.4375,0.296296296296296,0.452380952380952,235
"mle.final.PC",0.352941176470588,0.388888888888889,0.305555555555556,0.258064516129032,0.485714285714286,0.523809523809524,0.358974358974359,0.2,0.380952380952381,0.476190476190476,0.452380952380952,0.452380952380952,0.432432432432432,0.285714285714286,0.323529411764706,0.476190476190476,0.352941176470588,0.40625,0.379310344827586,0.264705882352941,0.419354838709677,0.243243243243243,0.371428571428571,0.25,0.375,0.404761904761905,0.357142857142857,0.461538461538462,0.388888888888889,0.380952380952381,0.333333333333333,0.323529411764706,0.230769230769231,0.366666666666667,0.32258064516129,0.357142857142857,0.361111111111111,0.34375,0.476190476190476,0.342857142857143,0.523809523809524,0.452380952380952,0.172413793103448,0.5,0.523809523809524,0.375,0.375,0.378378378378378,0.153846153846154,0.4,0.384615384615385,0.452380952380952,0.405405405405405,0.451612903225806,0.432432432432432,0.315789473684211,0.363636363636364,0.523809523809524,0.405405405405405,0.428571428571429,0.424242424242424,0.366666666666667,0.452380952380952,235
