"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,124
"eff.mon.final",1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,124
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
"ss.initial",80,100,84,100,92,100,98,78,100,80,100,80,86,100,100,100,82,82,100,90,100,100,84,100,100,80,100,100,100,100,100,76,90,100,80,92,100,96,88,100,82,80,100,100,100,100,100,100,100,100,100,92,88,98,82,100,100,94,100,100,100,84,76,124
"ss.final",83,100,87,100,95,100,100,81,100,83,100,83,89,100,100,100,85,85,100,93,100,100,87,100,100,83,100,100,100,100,100,79,93,100,83,95,100,99,91,100,85,83,100,100,100,100,100,100,100,100,100,95,91,100,85,100,100,97,100,100,100,87,79,124
"mle.initial.IP",0.644444444444444,0.568965517241379,0.69811320754717,0.517241379310345,0.581818181818182,0.5,0.535714285714286,0.673913043478261,0.482758620689655,0.6875,0.586206896551724,0.645833333333333,0.666666666666667,0.517241379310345,0.637931034482759,0.413793103448276,0.612244897959184,0.653061224489796,0.551724137931034,0.555555555555556,0.53448275862069,0.53448275862069,0.62,0.53448275862069,0.517241379310345,0.66,0.517241379310345,0.5,0.586206896551724,0.448275862068966,0.517241379310345,0.702127659574468,0.576923076923077,0.53448275862069,0.66,0.549019607843137,0.620689655172414,0.543859649122807,0.58,0.482758620689655,0.625,0.652173913043478,0.5,0.517241379310345,0.448275862068966,0.448275862068966,0.53448275862069,0.448275862068966,0.517241379310345,0.568965517241379,0.551724137931034,0.566037735849057,0.666666666666667,0.578947368421053,0.64,0.46551724137931,0.517241379310345,0.571428571428571,0.5,0.53448275862069,0.655172413793103,0.604166666666667,0.697674418604651,124
"mle.final.IP",0.652173913043478,0.568965517241379,0.685185185185185,0.517241379310345,0.581818181818182,0.5,0.517241379310345,0.680851063829787,0.482758620689655,0.693877551020408,0.586206896551724,0.627450980392157,0.673076923076923,0.517241379310345,0.637931034482759,0.413793103448276,0.6,0.647058823529412,0.551724137931034,0.545454545454545,0.53448275862069,0.53448275862069,0.62,0.53448275862069,0.517241379310345,0.66,0.517241379310345,0.5,0.586206896551724,0.448275862068966,0.517241379310345,0.6875,0.592592592592593,0.53448275862069,0.66,0.547169811320755,0.620689655172414,0.543859649122807,0.576923076923077,0.482758620689655,0.64,0.652173913043478,0.5,0.517241379310345,0.448275862068966,0.448275862068966,0.53448275862069,0.448275862068966,0.517241379310345,0.568965517241379,0.551724137931034,0.563636363636364,0.666666666666667,0.586206896551724,0.647058823529412,0.46551724137931,0.517241379310345,0.571428571428571,0.5,0.53448275862069,0.655172413793103,0.607843137254902,0.666666666666667,124
"mle.initial.PC",0.314285714285714,0.523809523809524,0.451612903225806,0.357142857142857,0.351351351351351,0.333333333333333,0.30952380952381,0.375,0.452380952380952,0.40625,0.452380952380952,0.375,0.428571428571429,0.428571428571429,0.523809523809524,0.380952380952381,0.333333333333333,0.272727272727273,0.404761904761905,0.222222222222222,0.571428571428571,0.404761904761905,0.294117647058824,0.476190476190476,0.357142857142857,0.366666666666667,0.428571428571429,0.30952380952381,0.404761904761905,0.333333333333333,0.523809523809524,0.344827586206897,0.342105263157895,0.452380952380952,0.333333333333333,0.292682926829268,0.476190476190476,0.307692307692308,0.342105263157895,0.5,0.205882352941176,0.294117647058824,0.452380952380952,0.30952380952381,0.333333333333333,0.380952380952381,0.428571428571429,0.357142857142857,0.333333333333333,0.428571428571429,0.357142857142857,0.307692307692308,0.432432432432432,0.365853658536585,0.375,0.357142857142857,0.285714285714286,0.342105263157895,0.357142857142857,0.428571428571429,0.476190476190476,0.194444444444444,0.333333333333333,124
"mle.final.PC",0.297297297297297,0.523809523809524,0.484848484848485,0.357142857142857,0.35,0.333333333333333,0.30952380952381,0.382352941176471,0.452380952380952,0.411764705882353,0.452380952380952,0.375,0.459459459459459,0.428571428571429,0.523809523809524,0.380952380952381,0.314285714285714,0.264705882352941,0.404761904761905,0.236842105263158,0.571428571428571,0.404761904761905,0.297297297297297,0.476190476190476,0.357142857142857,0.333333333333333,0.428571428571429,0.30952380952381,0.404761904761905,0.333333333333333,0.523809523809524,0.354838709677419,0.333333333333333,0.452380952380952,0.303030303030303,0.30952380952381,0.476190476190476,0.333333333333333,0.333333333333333,0.5,0.2,0.297297297297297,0.452380952380952,0.30952380952381,0.333333333333333,0.380952380952381,0.428571428571429,0.357142857142857,0.333333333333333,0.428571428571429,0.357142857142857,0.325,0.432432432432432,0.357142857142857,0.382352941176471,0.357142857142857,0.285714285714286,0.365853658536585,0.357142857142857,0.428571428571429,0.476190476190476,0.194444444444444,0.323529411764706,124
