"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,149
"eff.mon.final",0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,149
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
"ss.initial",100,98,74,78,100,100,76,90,100,84,84,100,88,100,90,100,84,88,92,94,100,100,100,100,88,94,100,100,100,100,80,100,100,100,100,100,100,100,100,96,84,82,94,92,78,84,100,82,80,100,88,100,100,100,82,100,92,100,100,78,100,100,86,149
"ss.final",100,100,77,81,100,100,79,93,100,87,87,100,91,100,93,100,87,91,95,97,100,100,100,100,91,97,100,100,100,100,83,100,100,100,100,100,100,100,100,99,87,85,97,95,81,87,100,85,83,100,91,100,100,100,85,100,95,100,100,81,100,100,89,149
"mle.initial.IP",0.637931034482759,0.578947368421053,0.720930232558139,0.723404255319149,0.448275862068966,0.517241379310345,0.704545454545455,0.566037735849057,0.551724137931034,0.673469387755102,0.591836734693878,0.620689655172414,0.622641509433962,0.586206896551724,0.576923076923077,0.517241379310345,0.68,0.6,0.611111111111111,0.553571428571429,0.5,0.603448275862069,0.53448275862069,0.517241379310345,0.568627450980392,0.553571428571429,0.551724137931034,0.568965517241379,0.517241379310345,0.53448275862069,0.638297872340426,0.586206896551724,0.603448275862069,0.5,0.603448275862069,0.431034482758621,0.5,0.448275862068966,0.517241379310345,0.545454545454545,0.625,0.62,0.547169811320755,0.596153846153846,0.673913043478261,0.673469387755102,0.53448275862069,0.625,0.644444444444444,0.53448275862069,0.7,0.637931034482759,0.586206896551724,0.431034482758621,0.625,0.603448275862069,0.618181818181818,0.53448275862069,0.5,0.659090909090909,0.586206896551724,0.53448275862069,0.618181818181818,149
"mle.final.IP",0.637931034482759,0.586206896551724,0.711111111111111,0.729166666666667,0.448275862068966,0.517241379310345,0.695652173913043,0.555555555555556,0.551724137931034,0.68,0.6,0.620689655172414,0.62962962962963,0.586206896551724,0.555555555555556,0.517241379310345,0.666666666666667,0.6,0.625,0.543859649122807,0.5,0.603448275862069,0.53448275862069,0.517241379310345,0.566037735849057,0.543859649122807,0.551724137931034,0.568965517241379,0.517241379310345,0.53448275862069,0.653061224489796,0.586206896551724,0.603448275862069,0.5,0.603448275862069,0.431034482758621,0.5,0.448275862068966,0.517241379310345,0.568965517241379,0.63265306122449,0.607843137254902,0.545454545454545,0.611111111111111,0.659574468085106,0.666666666666667,0.53448275862069,0.625,0.652173913043478,0.53448275862069,0.679245283018868,0.637931034482759,0.586206896551724,0.431034482758621,0.62,0.603448275862069,0.625,0.53448275862069,0.5,0.652173913043478,0.586206896551724,0.53448275862069,0.618181818181818,149
"mle.initial.PC",0.476190476190476,0.365853658536585,0.354838709677419,0.419354838709677,0.357142857142857,0.404761904761905,0.375,0.297297297297297,0.357142857142857,0.428571428571429,0.285714285714286,0.452380952380952,0.4,0.428571428571429,0.342105263157895,0.333333333333333,0.411764705882353,0.272727272727273,0.394736842105263,0.289473684210526,0.30952380952381,0.476190476190476,0.452380952380952,0.357142857142857,0.189189189189189,0.315789473684211,0.452380952380952,0.428571428571429,0.380952380952381,0.357142857142857,0.303030303030303,0.428571428571429,0.452380952380952,0.404761904761905,0.428571428571429,0.30952380952381,0.333333333333333,0.476190476190476,0.428571428571429,0.317073170731707,0.361111111111111,0.34375,0.268292682926829,0.375,0.25,0.428571428571429,0.357142857142857,0.264705882352941,0.371428571428571,0.357142857142857,0.473684210526316,0.523809523809524,0.5,0.5,0.352941176470588,0.452380952380952,0.405405405405405,0.404761904761905,0.30952380952381,0.294117647058824,0.5,0.357142857142857,0.354838709677419,149
"mle.final.PC",0.476190476190476,0.357142857142857,0.34375,0.424242424242424,0.357142857142857,0.404761904761905,0.393939393939394,0.307692307692308,0.357142857142857,0.432432432432432,0.324324324324324,0.452380952380952,0.378378378378378,0.428571428571429,0.333333333333333,0.333333333333333,0.388888888888889,0.277777777777778,0.41025641025641,0.3,0.30952380952381,0.476190476190476,0.452380952380952,0.357142857142857,0.210526315789474,0.325,0.452380952380952,0.428571428571429,0.380952380952381,0.357142857142857,0.323529411764706,0.428571428571429,0.452380952380952,0.404761904761905,0.428571428571429,0.30952380952381,0.333333333333333,0.476190476190476,0.428571428571429,0.317073170731707,0.342105263157895,0.352941176470588,0.285714285714286,0.365853658536585,0.294117647058824,0.416666666666667,0.357142857142857,0.324324324324324,0.351351351351351,0.357142857142857,0.473684210526316,0.523809523809524,0.5,0.5,0.342857142857143,0.452380952380952,0.384615384615385,0.404761904761905,0.30952380952381,0.314285714285714,0.5,0.357142857142857,0.352941176470588,149
