"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,45
"eff.mon.final",1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,45
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"ss.initial",86,100,100,90,84,76,74,92,88,82,96,86,76,100,78,100,84,100,100,88,70,76,84,70,100,88,86,84,88,72,88,100,76,84,78,100,100,76,88,88,82,82,78,100,84,82,82,100,100,94,94,80,70,100,78,90,100,92,86,82,92,100,100,45
"ss.final",89,100,100,93,87,79,77,95,91,85,99,89,79,100,81,100,87,100,100,91,73,79,87,73,100,91,89,87,91,75,91,100,79,87,81,100,100,79,91,91,85,85,81,100,87,85,85,100,100,97,97,83,73,100,81,93,100,95,89,85,95,100,100,45
"mle.initial.IP",0.666666666666667,0.568965517241379,0.672413793103448,0.618181818181818,0.62962962962963,0.711111111111111,0.711111111111111,0.566037735849057,0.612244897959184,0.680851063829787,0.607142857142857,0.612244897959184,0.681818181818182,0.586206896551724,0.658536585365854,0.482758620689655,0.604166666666667,0.568965517241379,0.551724137931034,0.615384615384615,0.731707317073171,0.739130434782609,0.647058823529412,0.813953488372093,0.568965517241379,0.568627450980392,0.634615384615385,0.634615384615385,0.7,0.708333333333333,0.592592592592593,0.551724137931034,0.723404255319149,0.604166666666667,0.6875,0.448275862068966,0.551724137931034,0.711111111111111,0.6,0.576923076923077,0.63265306122449,0.645833333333333,0.717391304347826,0.517241379310345,0.673469387755102,0.645833333333333,0.617021276595745,0.517241379310345,0.620689655172414,0.555555555555556,0.581818181818182,0.652173913043478,0.680851063829787,0.568965517241379,0.727272727272727,0.588235294117647,0.586206896551724,0.60377358490566,0.596153846153846,0.62,0.555555555555556,0.620689655172414,0.620689655172414,45
"mle.final.IP",0.666666666666667,0.568965517241379,0.672413793103448,0.625,0.636363636363636,0.717391304347826,0.717391304347826,0.563636363636364,0.607843137254902,0.673469387755102,0.603448275862069,0.615384615384615,0.680851063829787,0.586206896551724,0.666666666666667,0.482758620689655,0.6,0.568965517241379,0.551724137931034,0.60377358490566,0.738095238095238,0.708333333333333,0.660377358490566,0.795454545454545,0.568965517241379,0.576923076923077,0.634615384615385,0.622641509433962,0.692307692307692,0.693877551020408,0.607142857142857,0.551724137931034,0.714285714285714,0.6,0.68,0.448275862068966,0.551724137931034,0.723404255319149,0.6,0.566037735849057,0.63265306122449,0.64,0.708333333333333,0.517241379310345,0.68,0.63265306122449,0.612244897959184,0.517241379310345,0.620689655172414,0.563636363636364,0.578947368421053,0.645833333333333,0.666666666666667,0.568965517241379,0.702127659574468,0.588235294117647,0.586206896551724,0.581818181818182,0.60377358490566,0.634615384615385,0.563636363636364,0.620689655172414,0.620689655172414,45
"mle.initial.PC",0.428571428571429,0.595238095238095,0.5,0.4,0.366666666666667,0.32258064516129,0.344827586206897,0.333333333333333,0.384615384615385,0.4,0.4,0.351351351351351,0.3125,0.452380952380952,0.297297297297297,0.452380952380952,0.277777777777778,0.476190476190476,0.404761904761905,0.388888888888889,0.275862068965517,0.4,0.393939393939394,0.481481481481481,0.428571428571429,0.243243243243243,0.382352941176471,0.375,0.473684210526316,0.208333333333333,0.323529411764706,0.380952380952381,0.379310344827586,0.305555555555556,0.366666666666667,0.30952380952381,0.428571428571429,0.354838709677419,0.363636363636364,0.277777777777778,0.333333333333333,0.294117647058824,0.4375,0.333333333333333,0.428571428571429,0.382352941176471,0.285714285714286,0.30952380952381,0.5,0.3,0.358974358974359,0.294117647058824,0.130434782608696,0.404761904761905,0.441176470588235,0.358974358974359,0.547619047619048,0.384615384615385,0.323529411764706,0.34375,0.236842105263158,0.5,0.452380952380952,45
"mle.final.PC",0.421052631578947,0.595238095238095,0.5,0.405405405405405,0.34375,0.333333333333333,0.354838709677419,0.35,0.375,0.416666666666667,0.414634146341463,0.351351351351351,0.3125,0.452380952380952,0.333333333333333,0.452380952380952,0.297297297297297,0.476190476190476,0.404761904761905,0.368421052631579,0.32258064516129,0.387096774193548,0.411764705882353,0.448275862068966,0.428571428571429,0.282051282051282,0.378378378378378,0.382352941176471,0.487179487179487,0.192307692307692,0.342857142857143,0.380952380952381,0.4,0.324324324324324,0.354838709677419,0.30952380952381,0.428571428571429,0.34375,0.388888888888889,0.289473684210526,0.361111111111111,0.314285714285714,0.454545454545455,0.333333333333333,0.432432432432432,0.416666666666667,0.277777777777778,0.30952380952381,0.5,0.285714285714286,0.35,0.285714285714286,0.2,0.404761904761905,0.441176470588235,0.380952380952381,0.547619047619048,0.375,0.305555555555556,0.333333333333333,0.225,0.5,0.452380952380952,45
