"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","idx"
"eff.mon.initial",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72
"eff.mon.final",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
"ss.initial",100,100,100,94,100,100,100,100,100,100,100,90,100,100,100,94,100,100,100,100,100,100,100,94,100,100,100,100,100,100,100,100,100,100,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,100,100,100,100,100,100,100,100,100,100,100,100,100,72
"ss.final",100,100,100,97,100,100,100,100,100,100,100,93,100,100,100,97,100,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,72
"mle.initial.IP",0.379310344827586,0.5,0.448275862068966,0.574074074074074,0.344827586206897,0.5,0.327586206896552,0.413793103448276,0.46551724137931,0.5,0.551724137931034,0.615384615384615,0.362068965517241,0.362068965517241,0.379310344827586,0.571428571428571,0.396551724137931,0.448275862068966,0.517241379310345,0.413793103448276,0.482758620689655,0.517241379310345,0.5,0.578947368421053,0.362068965517241,0.396551724137931,0.448275862068966,0.396551724137931,0.327586206896552,0.413793103448276,0.431034482758621,0.517241379310345,0.258620689655172,0.379310344827586,0.58,0.396551724137931,0.413793103448276,0.482758620689655,0.53448275862069,0.396551724137931,0.431034482758621,0.482758620689655,0.431034482758621,0.379310344827586,0.482758620689655,0.413793103448276,0.46551724137931,0.448275862068966,0.5,0.545454545454545,0.396551724137931,0.344827586206897,0.5,0.431034482758621,0.53448275862069,0.482758620689655,0.431034482758621,0.413793103448276,0.396551724137931,0.53448275862069,0.448275862068966,0.431034482758621,0.396551724137931,72
"mle.final.IP",0.379310344827586,0.5,0.448275862068966,0.553571428571429,0.344827586206897,0.5,0.327586206896552,0.413793103448276,0.46551724137931,0.5,0.551724137931034,0.6,0.362068965517241,0.362068965517241,0.379310344827586,0.571428571428571,0.396551724137931,0.448275862068966,0.517241379310345,0.413793103448276,0.482758620689655,0.517241379310345,0.5,0.586206896551724,0.362068965517241,0.396551724137931,0.448275862068966,0.396551724137931,0.327586206896552,0.413793103448276,0.431034482758621,0.517241379310345,0.258620689655172,0.379310344827586,0.576923076923077,0.396551724137931,0.413793103448276,0.482758620689655,0.53448275862069,0.396551724137931,0.431034482758621,0.482758620689655,0.431034482758621,0.379310344827586,0.482758620689655,0.413793103448276,0.46551724137931,0.448275862068966,0.5,0.526315789473684,0.396551724137931,0.344827586206897,0.5,0.431034482758621,0.53448275862069,0.482758620689655,0.431034482758621,0.413793103448276,0.396551724137931,0.53448275862069,0.448275862068966,0.431034482758621,0.396551724137931,72
"mle.initial.PC",0.357142857142857,0.333333333333333,0.428571428571429,0.325,0.428571428571429,0.523809523809524,0.357142857142857,0.428571428571429,0.333333333333333,0.476190476190476,0.380952380952381,0.394736842105263,0.380952380952381,0.333333333333333,0.380952380952381,0.342105263157895,0.30952380952381,0.428571428571429,0.357142857142857,0.380952380952381,0.333333333333333,0.285714285714286,0.357142857142857,0.351351351351351,0.5,0.333333333333333,0.357142857142857,0.476190476190476,0.333333333333333,0.261904761904762,0.285714285714286,0.404761904761905,0.380952380952381,0.428571428571429,0.315789473684211,0.476190476190476,0.452380952380952,0.380952380952381,0.404761904761905,0.357142857142857,0.404761904761905,0.357142857142857,0.404761904761905,0.261904761904762,0.357142857142857,0.333333333333333,0.452380952380952,0.380952380952381,0.523809523809524,0.317073170731707,0.404761904761905,0.404761904761905,0.404761904761905,0.452380952380952,0.404761904761905,0.571428571428571,0.357142857142857,0.261904761904762,0.357142857142857,0.357142857142857,0.380952380952381,0.357142857142857,0.404761904761905,72
"mle.final.PC",0.357142857142857,0.333333333333333,0.428571428571429,0.317073170731707,0.428571428571429,0.523809523809524,0.357142857142857,0.428571428571429,0.333333333333333,0.476190476190476,0.380952380952381,0.394736842105263,0.380952380952381,0.333333333333333,0.380952380952381,0.365853658536585,0.30952380952381,0.428571428571429,0.357142857142857,0.380952380952381,0.333333333333333,0.285714285714286,0.357142857142857,0.333333333333333,0.5,0.333333333333333,0.357142857142857,0.476190476190476,0.333333333333333,0.261904761904762,0.285714285714286,0.404761904761905,0.380952380952381,0.428571428571429,0.307692307692308,0.476190476190476,0.452380952380952,0.380952380952381,0.404761904761905,0.357142857142857,0.404761904761905,0.357142857142857,0.404761904761905,0.261904761904762,0.357142857142857,0.333333333333333,0.452380952380952,0.380952380952381,0.523809523809524,0.30952380952381,0.404761904761905,0.404761904761905,0.404761904761905,0.452380952380952,0.404761904761905,0.571428571428571,0.357142857142857,0.261904761904762,0.357142857142857,0.357142857142857,0.380952380952381,0.357142857142857,0.404761904761905,72
