"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",0,0,0,0,0,12
"eff.mon.final",0,0,0,0,0,12
"fut.mon.initial",0,0,0,0,0,12
"fut.mon.final",0,0,0,0,0,12
"ss.initial",100,100,100,100,100,12
"ss.final",100,100,100,100,100,12
"mle.initial.IP",0.448275862068966,0.53448275862069,0.517241379310345,0.53448275862069,0.413793103448276,12
"mle.final.IP",0.448275862068966,0.53448275862069,0.517241379310345,0.53448275862069,0.413793103448276,12
"mle.initial.PC",0.476190476190476,0.452380952380952,0.333333333333333,0.333333333333333,0.5,12
"mle.final.PC",0.476190476190476,0.452380952380952,0.333333333333333,0.333333333333333,0.5,12
"post.mean.initial.IP",0.441520722667454,0.450747839154303,0.376354579822035,0.380954456817581,0.444122983246226,12
"post.mean.final.IP",0.441520722667454,0.450747839154303,0.376354579822035,0.380954456817581,0.444122983246226,12
"post.mean.initial.PC",0.0245914672252924,0.0741506108172482,0.11309872053285,0.121041984873995,0.00259144189315062,12
"post.mean.final.PC",0.0245914672252924,0.0741506108172482,0.11309872053285,0.121041984873995,0.00259144189315062,12
"cov.initial",1,1,1,1,1,12
"cov.final",1,1,1,1,1,12
"eff.mix.prob",1,0.719064944382874,0.372338470099733,0.383621781398767,1,12
