"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",1,1,1,0,1,25
"eff.mon.final",1,1,1,0,1,25
"fut.mon.initial",0,0,0,0,0,25
"fut.mon.final",0,0,0,0,0,25
"ss.initial",85,100,85,100,85,25
"ss.final",88,100,88,100,88,25
"mle.initial.IP",0.659574468085106,0.586206896551724,0.791666666666667,0.603448275862069,0.627450980392157,25
"mle.final.IP",0.653061224489796,0.586206896551724,0.78,0.603448275862069,0.634615384615385,25
"mle.initial.PC",0.289473684210526,0.285714285714286,0.405405405405405,0.428571428571429,0.264705882352941,25
"mle.final.PC",0.282051282051282,0.285714285714286,0.421052631578947,0.428571428571429,0.277777777777778,25
"post.mean.initial.IP",0.395425025961443,0.368478065324044,0.507399809547894,0.454923701362007,0.37948413067844,25
"post.mean.final.IP",0.388746311878546,0.368478065324044,0.510628400828517,0.454923701362007,0.386201659726602,25
"post.mean.initial.PC",0.175532899050906,0.159315099314242,0.191456850720226,0.11711262138115,0.170607266484539,25
"post.mean.final.PC",0.177377799202381,0.159315099314242,0.185400119852406,0.11711262138115,0.171688242486357,25
"cov.initial",0,0,0,0,0,25
"cov.final",0,0,0,0,0,25
"eff.mix.prob",0.902503950057349,0.732622442632358,0.91886324938994,0.379853426379346,0.864999984850362,25
"initial.p",0.980599658795107,0.983350893734253,0.987682186014059,0.969162116484361,0.978003572255375,25
"final.p",0.982110628020044,0.983350893734253,0.987596101621392,0.969162116484361,0.980770067250698,25
"box.skpt.initial",0.00662867272110431,0.0244633757515158,0.00209675039990854,0.21762262447334,0.0088947102742862,25
"box.skpt.final",0.0058342524870842,0.0244633757515158,0.00382022858748448,0.21762262447334,0.00901209725096425,25
"box.enth.initial",0.11321786916997,0.291840933119157,0.0520647409519786,0.837769198093994,0.137191097617989,25
"box.enth.final",0.103330302429735,0.291840933119157,0.0849569791975443,0.837769198093994,0.144012112400602,25
"risk.diff.initial",0.37010078387458,0.300492610837438,0.386261261261261,0.17487684729064,0.362745098039216,25
"risk.diff.final",0.371009942438514,0.300492610837438,0.358947368421053,0.17487684729064,0.356837606837607,25
