"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",0,0,0,0,0,17
"eff.mon.final",0,0,0,0,0,17
"fut.mon.initial",0,0,0,0,0,17
"fut.mon.final",0,0,0,0,0,17
"ss.initial",100,100,100,100,100,17
"ss.final",100,100,100,100,100,17
"mle.initial.IP",0.448275862068966,0.586206896551724,0.413793103448276,0.413793103448276,0.517241379310345,17
"mle.final.IP",0.448275862068966,0.586206896551724,0.413793103448276,0.413793103448276,0.517241379310345,17
"mle.initial.PC",0.380952380952381,0.428571428571429,0.404761904761905,0.5,0.404761904761905,17
"mle.final.PC",0.380952380952381,0.428571428571429,0.404761904761905,0.5,0.404761904761905,17
"post.mean.initial.IP",0.387600435775302,0.450213654071676,0.392384570824618,0.444122983246226,0.41864098993241,17
"post.mean.final.IP",0.387600435775302,0.450213654071676,0.392384570824618,0.444122983246226,0.41864098993241,17
"post.mean.initial.PC",0.0598425559990182,0.108960222267508,0.034210856468623,0.00259144189315062,0.0845938650055431,17
"post.mean.final.PC",0.0598425559990182,0.108960222267508,0.034210856468623,0.00259144189315062,0.0845938650055431,17
"cov.initial",1,1,1,1,1,17
"cov.final",1,1,1,1,1,17
"eff.mix.prob",0.940288123565041,0.385189812783463,1,1,0.558230500790779,17
