"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",0,1,0,0,0,3
"eff.mon.final",0,1,0,0,0,3
"fut.mon.initial",0,0,0,0,0,3
"fut.mon.final",0,0,0,0,0,3
"ss.initial",100,90,100,100,100,3
"ss.final",100,93,100,100,100,3
"mle.initial.IP",0.46551724137931,0.615384615384615,0.482758620689655,0.637931034482759,0.413793103448276,3
"mle.final.IP",0.46551724137931,0.592592592592593,0.482758620689655,0.637931034482759,0.413793103448276,3
"mle.initial.PC",0.261904761904762,0.315789473684211,0.30952380952381,0.476190476190476,0.333333333333333,3
"mle.final.PC",0.261904761904762,0.307692307692308,0.30952380952381,0.476190476190476,0.333333333333333,3
"post.mean.initial.IP",0.319078237374712,0.397434467364035,0.353086179056743,0.491599062251955,0.35088587368308,3
"post.mean.final.IP",0.319078237374712,0.385130639849615,0.353086179056743,0.491599062251955,0.35088587368308,3
"post.mean.initial.PC",0.117969404515596,0.155518509591828,0.106360010545299,0.115626044161785,0.0620101377776009,3
"post.mean.final.PC",0.117969404515596,0.151038991711349,0.106360010545299,0.115626044161785,0.0620101377776009,3
"cov.initial",0,1,0,1,0,3
"cov.final",0,1,0,1,0,3
"eff.mix.prob",0.493225925123708,0.649770847688791,0.415075834677944,0.442687908568784,0.898828163599564,3
