"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",0,0,0,0,0,6
"eff.mon.final",0,0,0,0,0,6
"fut.mon.initial",0,0,0,0,0,6
"fut.mon.final",0,0,0,0,0,6
"ss.initial",100,100,100,100,100,6
"ss.final",100,100,100,100,100,6
"mle.initial.IP",0.482758620689655,0.413793103448276,0.413793103448276,0.379310344827586,0.362068965517241,6
"mle.final.IP",0.482758620689655,0.413793103448276,0.413793103448276,0.379310344827586,0.362068965517241,6
"mle.initial.PC",0.357142857142857,0.428571428571429,0.30952380952381,0.428571428571429,0.404761904761905,6
"mle.final.PC",0.357142857142857,0.428571428571429,0.30952380952381,0.428571428571429,0.404761904761905,6
"post.mean.initial.IP",0.381914064413988,0.40561474255661,0.336369015219256,0.395709263723221,0.377841338225152,6
"post.mean.final.IP",0.381914064413988,0.40561474255661,0.336369015219256,0.395709263723221,0.377841338225152,6
"post.mean.initial.PC",0.0867590486864971,0.0257826282770258,0.0720792134783909,0.0109011102250249,0.0113138016608925,6
"post.mean.final.PC",0.0867590486864971,0.0257826282770258,0.0720792134783909,0.0109011102250249,0.0113138016608925,6
"cov.initial",1,1,1,1,1,6
"cov.final",1,1,1,1,1,6
"eff.mix.prob",0.529780412158102,1,0.746530162623682,1,1,6
