"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",0,0,0,0,0,3
"eff.mon.final",0,0,0,0,0,3
"fut.mon.initial",0,0,0,0,0,3
"fut.mon.final",0,0,0,0,0,3
"ss.initial",100,100,100,100,100,3
"ss.final",100,100,100,100,100,3
"mle.initial.IP",0.53448275862069,0.431034482758621,0.637931034482759,0.5,0.620689655172414,3
"mle.final.IP",0.53448275862069,0.431034482758621,0.637931034482759,0.5,0.620689655172414,3
"mle.initial.PC",0.333333333333333,0.404761904761905,0.547619047619048,0.428571428571429,0.428571428571429,3
"mle.final.PC",0.333333333333333,0.404761904761905,0.547619047619048,0.428571428571429,0.428571428571429,3
"post.mean.initial.IP",0.380954456817581,0.396970547139938,0.532696042021953,0.428257246283286,0.459793051134159,3
"post.mean.final.IP",0.380954456817581,0.396970547139938,0.532696042021953,0.428257246283286,0.459793051134159,3
"post.mean.initial.PC",0.121041984873995,0.0422620189406054,0.0877561888672674,0.0665053624690217,0.125064588270074,3
"post.mean.final.PC",0.121041984873995,0.0422620189406054,0.0877561888672674,0.0665053624690217,0.125064588270074,3
"cov.initial",0,0,1,0,1,3
"cov.final",0,0,1,0,1,3
"eff.mix.prob",0.383621781398767,1,0.681374110588699,0.827572455211835,0.407268905678668,3
