"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",0,0,0,0,0,6
"eff.mon.final",0,0,0,0,0,6
"fut.mon.initial",0,0,0,0,0,6
"fut.mon.final",0,0,0,0,0,6
"ss.initial",100,100,100,100,100,6
"ss.final",100,100,100,100,100,6
"mle.initial.IP",0.344827586206897,0.379310344827586,0.396551724137931,0.413793103448276,0.431034482758621,6
"mle.final.IP",0.344827586206897,0.379310344827586,0.396551724137931,0.413793103448276,0.431034482758621,6
"mle.initial.PC",0.452380952380952,0.5,0.261904761904762,0.404761904761905,0.380952380952381,6
"mle.final.PC",0.452380952380952,0.5,0.261904761904762,0.404761904761905,0.380952380952381,6
"post.mean.initial.IP",0.397762886690915,0.433380995333348,0.302230896594584,0.392384570824618,0.383278732951621,6
"post.mean.final.IP",0.397762886690915,0.433380995333348,0.302230896594584,0.392384570824618,0.383278732951621,6
"post.mean.initial.PC",-0.0104710069817714,-0.0109486383307446,0.0843808504547348,0.034210856468623,0.0513741898319394,6
"post.mean.final.PC",-0.0104710069817714,-0.0109486383307446,0.0843808504547348,0.034210856468623,0.0513741898319394,6
"cov.initial",1,1,1,1,1,6
"cov.final",1,1,1,1,1,6
"eff.mix.prob",1,1,0.630027970466063,1,1,6
