"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","idx"
"eff.mon.initial",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22
"eff.mon.final",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"ss.initial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,100,100,100,100,100,22
"ss.final",100,100,100,100,100,100,100,100,100,100,100,100,100,100,88,100,100,100,100,100,22
"mle.initial.IP",0.413793103448276,0.396551724137931,0.482758620689655,0.517241379310345,0.568965517241379,0.431034482758621,0.5,0.413793103448276,0.413793103448276,0.413793103448276,0.46551724137931,0.482758620689655,0.327586206896552,0.396551724137931,0.64,0.396551724137931,0.448275862068966,0.517241379310345,0.482758620689655,0.482758620689655,22
"mle.final.IP",0.413793103448276,0.396551724137931,0.482758620689655,0.517241379310345,0.568965517241379,0.431034482758621,0.5,0.413793103448276,0.413793103448276,0.413793103448276,0.46551724137931,0.482758620689655,0.327586206896552,0.396551724137931,0.627450980392157,0.396551724137931,0.448275862068966,0.517241379310345,0.482758620689655,0.482758620689655,22
"mle.initial.PC",0.428571428571429,0.452380952380952,0.428571428571429,0.238095238095238,0.380952380952381,0.285714285714286,0.333333333333333,0.452380952380952,0.404761904761905,0.285714285714286,0.285714285714286,0.380952380952381,0.333333333333333,0.476190476190476,0.342857142857143,0.476190476190476,0.357142857142857,0.19047619047619,0.285714285714286,0.238095238095238,22
"mle.final.PC",0.428571428571429,0.452380952380952,0.428571428571429,0.238095238095238,0.380952380952381,0.285714285714286,0.333333333333333,0.452380952380952,0.404761904761905,0.285714285714286,0.285714285714286,0.380952380952381,0.333333333333333,0.476190476190476,0.351351351351351,0.476190476190476,0.357142857142857,0.19047619047619,0.285714285714286,0.238095238095238,22
"post.mean.initial.IP",0.40561474255661,0.413575647911819,0.423934782356502,0.318598732184569,0.418130656270414,0.325593827999122,0.371902194875644,0.4186646230986,0.392384570824618,0.321492579443764,0.334037347401294,0.396094867160639,0.328542249612772,0.426244797446327,0.422876390738258,0.426244797446327,0.373529218950517,0.288467483595473,0.33844343142608,0.308617567148689,22
