"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",1,0,0,0,0,23
"eff.mon.final",1,0,0,0,0,23
"fut.mon.initial",0,0,0,0,0,23
"fut.mon.final",0,0,0,0,0,23
"ss.initial",100,100,100,100,100,23
"ss.final",100,100,100,100,100,23
"mle.initial.IP",0.586206896551724,0.46551724137931,0.46551724137931,0.46551724137931,0.448275862068966,23
"mle.final.IP",0.586206896551724,0.46551724137931,0.46551724137931,0.46551724137931,0.448275862068966,23
"mle.initial.PC",0.380952380952381,0.238095238095238,0.380952380952381,0.333333333333333,0.428571428571429,23
"mle.final.PC",0.380952380952381,0.238095238095238,0.380952380952381,0.333333333333333,0.428571428571429,23
"post.mean.initial.IP",0.422938714040756,0.303893941440424,0.391861568391515,0.363346614863465,0.415023691579298,23
"post.mean.final.IP",0.422938714040756,0.303893941440424,0.391861568391515,0.363346614863465,0.415023691579298,23
"post.mean.initial.PC",0.126677017485715,0.127848306999128,0.0684110265464524,0.0880302855060042,0.0415112222021862,23
"post.mean.final.PC",0.126677017485715,0.127848306999128,0.0684110265464524,0.0880302855060042,0.0415112222021862,23
"cov.initial",1,0,0,0,0,23
"cov.final",1,0,0,0,0,23
"eff.mix.prob",0.389117102703182,0.55550445147861,0.794031584810169,0.522657289584509,1,23
"initial.p",0.977625138444836,0.965759522236541,0.737881936875643,0.892596966917824,0.553738250549436,23
"final.p",0.977625138444836,0.965759522236541,0.737881936875643,0.892596966917824,0.553738250549436,23
"box.skpt.initial",0.156693468051248,0.0990374345524933,0.735871408823044,0.489974080258319,0.919253796720824,23
"box.skpt.final",0.156693468051248,0.0990374345524933,0.735871408823044,0.489974080258319,0.919253796720824,23
"box.enth.initial",0.767576365348066,0.543532983073883,0.941839824012874,0.96731679067381,0.665575780182921,23
"box.enth.final",0.767576365348066,0.543532983073883,0.941839824012874,0.96731679067381,0.665575780182921,23
"risk.diff.initial",0.205254515599343,0.227422003284072,0.0845648604269294,0.132183908045977,0.019704433497537,23
"risk.diff.final",0.205254515599343,0.227422003284072,0.0845648604269294,0.132183908045977,0.019704433497537,23
