"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",1,1,0,0,0,15
"eff.mon.final",1,1,0,0,0,15
"fut.mon.initial",0,0,0,0,0,15
"fut.mon.final",0,0,0,0,0,15
"ss.initial",90,80,100,100,100,15
"ss.final",93,83,100,100,100,15
"mle.initial.IP",0.611111111111111,0.693877551020408,0.586206896551724,0.603448275862069,0.5,15
"mle.final.IP",0.589285714285714,0.686274509803922,0.586206896551724,0.603448275862069,0.5,15
"mle.initial.PC",0.333333333333333,0.419354838709677,0.452380952380952,0.452380952380952,0.30952380952381,15
"mle.final.PC",0.324324324324324,0.40625,0.452380952380952,0.452380952380952,0.30952380952381,15
"post.mean.initial.IP",0.408427934193128,0.484080639509412,0.463952851714072,0.468534192445842,0.357514992489864,15
"post.mean.final.IP",0.395946103852029,0.474775364792046,0.463952851714072,0.468534192445842,0.357514992489864,15
"post.mean.initial.PC",0.148174731680181,0.14962998801659,0.0997689905786468,0.108137069101743,0.114494362503281,15
"post.mean.final.PC",0.143963731202516,0.151828983652922,0.0997689905786468,0.108137069101743,0.114494362503281,15
"cov.initial",0,0,0,0,0,15
"cov.final",0,0,0,0,0,15
"eff.mix.prob",0.563098072588216,0.653011175064442,0.44811315368222,0.407389991682721,0.407104368988567,15
