"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",0,0,0,0,0,2
"eff.mon.final",0,0,0,0,0,2
"fut.mon.initial",0,0,0,0,0,2
"fut.mon.final",0,0,0,0,0,2
"ss.initial",100,100,100,100,100,2
"ss.final",100,100,100,100,100,2
"mle.initial.IP",0.431034482758621,0.53448275862069,0.396551724137931,0.448275862068966,0.396551724137931,2
"mle.final.IP",0.431034482758621,0.53448275862069,0.396551724137931,0.448275862068966,0.396551724137931,2
"mle.initial.PC",0.238095238095238,0.357142857142857,0.404761904761905,0.452380952380952,0.428571428571429,2
"mle.final.PC",0.238095238095238,0.357142857142857,0.404761904761905,0.452380952380952,0.428571428571429,2
"post.mean.initial.IP",0.294953408176985,0.395000158639978,0.387650406530478,0.428378258932087,0.400734173897156,2
"post.mean.final.IP",0.294953408176985,0.395000158639978,0.387650406530478,0.428378258932087,0.400734173897156,2
"post.mean.initial.PC",0.112143721745822,0.111879309581816,0.0263712745701945,0.0328756312496234,0.0182420045605251,2
"post.mean.final.PC",0.112143721745822,0.111879309581816,0.0263712745701945,0.0328756312496234,0.0182420045605251,2
"cov.initial",0,1,1,1,1,2
"cov.final",0,1,1,1,1,2
"eff.mix.prob",0.531239070389775,0.369535857812137,1,1,1,2
