"","X1","idx"
"y1.IP.initial",0,6
"y0.IP.initial",58,6
"y1.PC.initial",5,6
"y0.PC.initial",37,6
"eff.prob.initial",0.0100714292512543,6
"fut.prob.initial",0.99984056274277,6
"eff.mix.prob.initial",0.999369015426245,6
"box.skpt.initial",NA,6
"box.enth.initial",0.000630984573754773,6
"box.ni.initial",NA,6
"y1.IP.final",0,6
"y0.IP.final",58,6
"y1.PC.final",5,6
"y0.PC.final",37,6
"eff.prob.final",0.0100714292512543,6
"fut.prob.final",0.99984056274277,6
"eff.mix.prob.final",0.999369015426245,6
"box.skpt.final",NA,6
"box.enth.final",0.000630984573754773,6
"box.ni.final",NA,6
"pm.skpt.f",NA,6
"pm.enth.f",NA,6
"pm.ni.f",NA,6
"pm.rd.f",NA,6
"pm.50.50.f",NA,6
"pm.skpt.enth.f",NA,6
"pm.skpt.enth.ni.f",NA,6
"pm.skpt.enth.ni.tilde.f",NA,6
"box.skpt.f",NA,6
"box.enth.f",NA,6
"box.ni.f",NA,6
"y1.IP.f",NA,6
"y1.PC.f",NA,6
"y0.IP.f",NA,6
"y0.PC.f",NA,6
