"","X1","idx"
"y1.IP.initial",0,3
"y0.IP.initial",58,3
"y1.PC.initial",2,3
"y0.PC.initial",40,3
"eff.prob.initial",0.0689006862051734,3
"fut.prob.initial",0.999512656208532,3
"eff.mix.prob.initial",0.996334984223307,3
"box.skpt.initial",NA,3
"box.enth.initial",0.00366501577669342,3
"box.ni.initial",NA,3
"y1.IP.final",0,3
"y0.IP.final",58,3
"y1.PC.final",2,3
"y0.PC.final",40,3
"eff.prob.final",0.0689006862051734,3
"fut.prob.final",0.999512656208532,3
"eff.mix.prob.final",0.996334984223307,3
"box.skpt.final",NA,3
"box.enth.final",0.00366501577669342,3
"box.ni.final",NA,3
"pm.skpt.f",NA,3
"pm.enth.f",NA,3
"pm.ni.f",NA,3
"pm.rd.f",NA,3
"pm.50.50.f",NA,3
"pm.skpt.enth.f",NA,3
"pm.skpt.enth.ni.f",NA,3
"pm.skpt.enth.ni.tilde.f",NA,3
"box.skpt.f",NA,3
"box.enth.f",NA,3
"box.ni.f",NA,3
"y1.IP.f",NA,3
"y1.PC.f",NA,3
"y0.IP.f",NA,3
"y0.PC.f",NA,3
