"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",0,0,0,0,0,1
"eff.mon.final",0,0,0,0,0,1
"fut.mon.initial",0,0,0,0,0,1
"fut.mon.final",0,0,0,0,0,1
"ss.initial",100,100,100,100,100,1
"ss.final",100,100,100,100,100,1
"mle.initial.IP",0.327586206896552,0.431034482758621,0.327586206896552,0.396551724137931,0.327586206896552,1
"mle.final.IP",0.327586206896552,0.431034482758621,0.327586206896552,0.396551724137931,0.327586206896552,1
"mle.initial.PC",0.380952380952381,0.476190476190476,0.238095238095238,0.261904761904762,0.357142857142857,1
"mle.final.PC",0.380952380952381,0.476190476190476,0.238095238095238,0.261904761904762,0.357142857142857,1
"post.mean.initial.IP",0.354759746073868,0.436557544915453,0.270754481895125,0.302230896594584,0.341811133573322,1
"post.mean.final.IP",0.354759746073868,0.436557544915453,0.270754481895125,0.302230896594584,0.341811133573322,1
"post.mean.initial.PC",0.00437312699402042,0.0172109972259241,0.059569513917732,0.0843808504547348,0.0122036096332512,1
"post.mean.final.PC",0.00437312699402042,0.0172109972259241,0.059569513917732,0.0843808504547348,0.0122036096332512,1
"cov.initial",1,1,1,1,1,1
"cov.final",1,1,1,1,1,1
"eff.mix.prob",1,1,0.950817707410105,0.630027970466063,1,1
