"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",0,0,0,0,0,2
"eff.mon.final",0,0,0,0,0,2
"fut.mon.initial",0,0,0,0,0,2
"fut.mon.final",0,0,0,0,0,2
"ss.initial",100,100,100,100,100,2
"ss.final",100,100,100,100,100,2
"mle.initial.IP",0.431034482758621,0.5,0.448275862068966,0.482758620689655,0.431034482758621,2
"mle.final.IP",0.431034482758621,0.5,0.448275862068966,0.482758620689655,0.431034482758621,2
"mle.initial.PC",0.404761904761905,0.523809523809524,0.428571428571429,0.452380952380952,0.619047619047619,2
"mle.final.PC",0.404761904761905,0.523809523809524,0.428571428571429,0.452380952380952,0.619047619047619,2
"post.mean.initial.IP",0.396970547139938,0.482429526638159,0.415023691579297,0.437568553306424,0.512634971350676,2
"post.mean.final.IP",0.396970547139938,0.482429526638159,0.415023691579297,0.437568553306424,0.512634971350676,2
"post.mean.initial.PC",0.0422620189406054,0.0307120041988751,0.0415112222021874,0.0488835342844063,-0.0266250234622941,2
"post.mean.final.PC",0.0422620189406054,0.0307120041988751,0.0415112222021874,0.0488835342844063,-0.0266250234622941,2
"cov.initial",1,1,1,1,1,2
"cov.final",1,1,1,1,1,2
"eff.mix.prob",1,1,1,1,1,2
