"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",1,1,1,1,0,24
"eff.mon.final",1,1,1,1,0,24
"fut.mon.initial",0,0,0,0,0,24
"fut.mon.final",0,0,0,0,0,24
"ss.initial",85,85,70,100,100,24
"ss.final",88,88,73,100,100,24
"mle.initial.IP",0.62962962962963,0.647058823529412,0.75,0.586206896551724,0.568965517241379,24
"mle.final.IP",0.618181818181818,0.622641509433962,0.733333333333333,0.586206896551724,0.568965517241379,24
"mle.initial.PC",0.258064516129032,0.352941176470588,0.307692307692308,0.357142857142857,0.523809523809524,24
"mle.final.PC",0.242424242424242,0.371428571428571,0.321428571428571,0.357142857142857,0.523809523809524,24
"post.mean.initial.IP",0.384080267348944,0.43208906006194,0.461219074799825,0.409357402008138,0.500969363453604,24
"post.mean.final.IP",0.368237236161801,0.432963869007708,0.456346319395213,0.409357402008138,0.500969363453604,24
"post.mean.initial.PC",0.17155031897525,0.153235919565416,0.186275290701122,0.135168013038242,0.0629108187904607,24
"post.mean.final.PC",0.17460686986614,0.14005572616607,0.181274465209907,0.135168013038242,0.0629108187904607,24
"cov.initial",0,0,1,0,0,24
"cov.final",0,0,1,0,0,24
"eff.mix.prob",0.903926662182825,0.530591669047961,0.940008721348414,0.442038343635243,0.914914286787633,24
"initial.p",0.976762060138112,0.978783751313371,0.9754782935847,0.981077463449525,0.668896855581038,24
"final.p",0.978609536631145,0.977035832520897,0.975747516733986,0.981077463449525,0.668896855581038,24
"box.skpt.initial",0.00785293626223867,0.0365263432917966,0.00167474940454048,0.103102739560285,0.560360531204122,24
"box.skpt.final",0.00595714399685694,0.0783752256102693,0.00341948035988887,0.103102739560285,0.560360531204122,24
"box.enth.initial",0.122069376899302,0.36651157667699,0.0392920632878118,0.661064395925043,0.645446244416489,24
"box.enth.final",0.102030481814032,0.547783556562308,0.0634107590114751,0.661064395925043,0.645446244416489,24
"risk.diff.initial",0.371565113500597,0.294117647058824,0.442307692307692,0.229064039408867,0.0451559934318555,24
"risk.diff.final",0.375757575757576,0.251212938005391,0.411904761904762,0.229064039408867,0.0451559934318555,24
