"","X1","X2","X3","X4","X5","idx"
"eff.mon.initial",0,0,0,1,0,8
"eff.mon.final",0,0,0,1,0,8
"fut.mon.initial",0,0,0,0,0,8
"fut.mon.final",0,0,0,0,0,8
"ss.initial",100,100,100,90,100,8
"ss.final",100,100,100,93,100,8
"mle.initial.IP",0.46551724137931,0.46551724137931,0.551724137931034,0.625,0.413793103448276,8
"mle.final.IP",0.46551724137931,0.46551724137931,0.551724137931034,0.631578947368421,0.413793103448276,8
"mle.initial.PC",0.333333333333333,0.452380952380952,0.428571428571429,0.323529411764706,0.380952380952381,8
"mle.final.PC",0.333333333333333,0.452380952380952,0.428571428571429,0.333333333333333,0.380952380952381,8
"post.mean.initial.IP",0.363346614863464,0.433040658552315,0.441231583239176,0.4111910594086,0.378867202714696,8
"post.mean.final.IP",0.363346614863464,0.433040658552315,0.441231583239176,0.416396642512692,0.378867202714696,8
"post.mean.initial.PC",0.0880302855060066,0.0407744577788022,0.0921826777059605,0.155656035399312,0.0430542001449273,8
"post.mean.final.PC",0.0880302855060066,0.0407744577788022,0.0921826777059605,0.157110997898212,0.0430542001449273,8
"cov.initial",0,0,1,1,0,8
"cov.final",0,0,1,1,0,8
"eff.mix.prob",0.522657289584527,1,0.487886320430485,0.694458788388727,1,8
