"","X1","idx"
"box.enth.90",NA,24
"box.ni.90",NA,24
"y1.IP.92",NA,24
"y0.IP.92",NA,24
"y1.PC.92",NA,24
"y0.PC.92",NA,24
"eff.prob.92",NA,24
"fut.prob.92",NA,24
"eff.mix.prob.92",NA,24
"box.skpt.92",NA,24
"box.enth.92",NA,24
"box.ni.92",NA,24
"y1.IP.initial",25,24
"y0.IP.initial",20,24
"y1.PC.initial",13,24
"y0.PC.initial",22,24
"eff.prob.initial",0.976578449946957,24
"fut.prob.initial",0.388776526270409,24
"eff.mix.prob.initial",0.2,24
"box.skpt.initial",0.287883447524434,24
"box.enth.initial",0.893558898567391,24
"box.ni.initial",NA,24
"y1.IP.final",28,24
"y0.IP.final",25,24
"y1.PC.final",17,24
"y0.PC.final",22,24
"eff.prob.final",0.941173091770616,24
"fut.prob.final",0.543726628278592,24
"eff.mix.prob.final",0.2,24
"box.skpt.final",0.60419949869512,24
"box.enth.final",0.934112954958878,24
"box.ni.final",NA,24
