"","X","X0","X0.01","X0.1","X0.25","X0.5","X0.75","X0.9","X0.99","X1","idx"
"131",1,0.881816796183162,0.896092054580433,0.935355870833271,0.951014588861553,0.965291158260299,0.969421799890577,0.97341522793134,0.974563703947415,0.974687427015617,64
"132",1,0.862565175466395,0.884529095278644,0.92998082293338,0.947703027283695,0.959583064555176,0.968713246122139,0.97138580916003,0.974563703947415,0.974969313640882,65
"133",1,0.851219302515049,0.879674971626394,0.927539523663491,0.945454366636924,0.961808064006293,0.970048438741147,0.972634474710754,0.974563703947415,0.974563703947415,66
"134",1,0.900763480819372,0.900763480819372,0.933042759396218,0.946349179299231,0.961231877401021,0.969954892737182,0.972634474710754,0.974616433207565,0.974969313640882,67
"135",1,0.881816796183162,0.900302812041868,0.932238614342042,0.954279030301493,0.966725364087075,0.969954892737182,0.972230850686958,0.974969313640882,0.974969313640882,68
"136",1,0.892167585358735,0.902378493222227,0.929826179179515,0.95090762248474,0.961687114978755,0.969954892737182,0.973111950594462,0.974969313640882,0.974969313640882,69
"137",1,0.660905086909366,0.857640757628676,0.929914554796511,0.95090762248474,0.963429914079123,0.969397512512974,0.973211888823616,0.974613387440461,0.974969313640882,6
"138",1,0.822569249746344,0.857707289345735,0.930167267363542,0.949096143854374,0.962747235075705,0.970823944413546,0.972949735011504,0.974969313640882,0.974969313640882,70
"139",1,0.88711605249145,0.892215750413724,0.929019373061587,0.951048096685147,0.962747235075705,0.971113628305668,0.973277048485062,0.97456110704791,0.974969313640882,71
"140",1,0.852472923966149,0.881944342559266,0.923476041313165,0.944153976883352,0.961231877401021,0.970909567947538,0.972186003573203,0.974333606221304,0.97456110704791,72
"141",1,0.884140521219164,0.897218236011817,0.915443744012973,0.946710723106687,0.959358577396544,0.971113628305668,0.973277048485062,0.97456110704791,0.97456110704791,73
"142",1,0.738464861000331,0.881284851989068,0.921662206016524,0.946473761927677,0.961761750643557,0.970710299997577,0.973398658110274,0.97456110704791,0.97456110704791,74
"143",1,0.889260967518668,0.906045795361888,0.935910227064729,0.949576995978571,0.960474230495399,0.96840825299634,0.972186003573203,0.974374242198377,0.97456110704791,75
"144",1,0.858933710698475,0.899097838028698,0.93833201629246,0.954717012088759,0.963429914079123,0.970283412716469,0.973277048485062,0.974470710644419,0.97456110704791,76
"145",1,0.916692981517992,0.920735634962773,0.931519012198489,0.951221855118042,0.962077179703065,0.970710299997577,0.97321840478976,0.9743340733015,0.974380314240928,77
"146",1,0.865102726351856,0.874106776497094,0.921361072332966,0.940230163567707,0.960358992319124,0.968542663569778,0.973211888823616,0.974380314240928,0.974380314240928,78
"147",1,0.889260967518668,0.902285368832684,0.939129099301857,0.950577798460669,0.965291158260299,0.969627018974167,0.97153760218882,0.974380314240928,0.974380314240928,79
"148",1,0.677098781029621,0.869085258663398,0.933249520029856,0.952360675373765,0.963801243376869,0.96985652543536,0.973211888823616,0.974581590004911,0.974969313640882,7
"149",1,0.82997685124289,0.86775920876834,0.931351576138978,0.950094810374504,0.962173457952244,0.968542663569778,0.970728656805926,0.974333606221304,0.974333606221304,80
"150",1,0.927929660855628,0.927929660855628,0.950094810374504,0.955253830935551,0.965291158260299,0.968542663569778,0.970728656805926,0.972656547570671,0.974613387440461,81
"151",1,0.894148049401013,0.910131570660222,0.934412113292741,0.955253830935551,0.963801243376869,0.970728656805926,0.971119030530121,0.974613387440461,0.974613387440461,82
"152",1,0.925034777427206,0.930719896267801,0.947814445741354,0.965291158260299,0.965291158260299,0.965291158260299,0.971119030530121,0.973607671689838,0.974613387440461,83
"153",1,0.903267115263369,0.91406392294142,0.934106059577364,0.952983099281473,0.963801243376869,0.971119030530121,0.972331656231582,0.973495925495325,0.973495925495325,84
"154",1,0.863712880470986,0.871667968194134,0.928012857547388,0.94287564614561,0.957213083679096,0.971119030530121,0.972331656231582,0.973495925495325,0.974613387440461,85
"155",1,0.917933793052065,0.920694870195908,0.937103291805706,0.957213083679096,0.963801243376869,0.972331656231582,0.973495925495325,0.974613387440461,0.974613387440461,86
"156",1,0.892042882488721,0.901246753363932,0.926910244600313,0.950118522267775,0.963801243376869,0.971040149799877,0.974389895051434,0.974613387440461,0.974613387440461,87
"157",1,0.794348909305614,0.838274109617885,0.933100138758912,0.95176897812209,0.964792410018866,0.970961269069633,0.973495925495325,0.974613387440461,0.974613387440461,88
"158",1,0.856877472733239,0.862303789836963,0.925034777427206,0.946449401573046,0.962588283299549,0.970961269069633,0.974613387440461,0.974613387440461,0.974613387440461,89
"159",1,0.528043241997455,0.855450814190665,0.930320848066847,0.95090762248474,0.963688847593551,0.969954892737182,0.973277048485062,0.974687427015617,0.974969313640882,8
"160",1,0.896733802184049,0.906097157214375,0.931788164225084,0.950118522267775,0.964224527819099,0.969651255776878,0.972215158415158,0.974613387440461,0.974613387440461,90
"161",1,0.885618043911018,0.889780082655309,0.928345644314427,0.942546075885207,0.9617324545341,0.969651255776878,0.972855541955241,0.974613387440461,0.974613387440461,91
"162",1,0.913516515745763,0.915380774116082,0.936134150713932,0.950668674219214,0.963406405559324,0.969651255776878,0.970961269069633,0.972215158415158,0.972215158415158,92
"163",1,0.905502942807352,0.911192579593624,0.934813763334699,0.949465934841442,0.962588283299549,0.969651255776878,0.972089769480606,0.974613387440461,0.974613387440461,93
"164",1,0.899682749970384,0.9040462561459,0.924058072393048,0.949822868056883,0.96087662576865,0.965788675062914,0.972215158415158,0.974058374500342,0.974563703947415,94
"165",1,0.909599809460193,0.912459005048659,0.935390314660191,0.954421028332126,0.964224527819099,0.970633765746444,0.973055207076486,0.974563703947415,0.974563703947415,95
"166",1,0.937408244299412,0.938866705789424,0.955294310474579,0.959720697827098,0.970961269069633,0.972215158415158,0.972215158415158,0.974117480296286,0.974563703947415,96
"167",1,0.884586573323341,0.904258934170588,0.947508172562444,0.952033523474123,0.965788675062914,0.972215158415158,0.97341522793134,0.974563703947415,0.974563703947415,97
"168",1,0.884586573323341,0.92608707976708,0.935971582873113,0.949822868056883,0.960178726586427,0.970079620742468,0.97341522793134,0.974563703947415,0.974563703947415,98
"169",1,0.894105581580538,0.900532925677747,0.929318141564693,0.950928195765503,0.96360120422683,0.970079620742468,0.97341522793134,0.974563703947415,0.974563703947415,99
