"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"90",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"91",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"92",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"93",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"94",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"95",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"96",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"97",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"98",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"99",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"100",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"101",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"102",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"103",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"104",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"105",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"106",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"107",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"108",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"109",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"110",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"111",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"112",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"113",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"114",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"115",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"116",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"117",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"118",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"119",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"120",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"121",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"122",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"123",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"124",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"125",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"126",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"127",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"128",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"129",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"130",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"131",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"132",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"133",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"134",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"135",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"136",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"137",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"138",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"139",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"140",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"141",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"142",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"143",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"144",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"145",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"146",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"147",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"148",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"149",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"150",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"151",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"152",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"153",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"154",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
"155",0.39,0.39,2,1,4,0,1,0.5,0.05,100,100,15
