"","X","X0","X0.01","X0.1","X0.25","X0.5","X0.75","X0.9","X0.99","X1","p.range"
"1",1,0.953656222691472,0.95372038292446,0.95429782502136,0.955260228516193,0.956864234340914,0.958468240165635,0.959430643660467,0.960008085757367,0.960072245990356,0.49
"2",1,0.96838186436703,0.96838186436703,0.96838186436703,0.96838186436703,0.96838186436703,0.96838186436703,0.96838186436703,0.96838186436703,0.96838186436703,0.5
"3",1,0.94270845651506,0.942890633465773,0.944530226022195,0.947262880282899,0.949447033047385,0.953831950798848,0.960525982036108,0.964542400778465,0.964988669527615,0.51
"4",1,0.961177192822465,0.961239385432229,0.961799118920102,0.962732008066556,0.964286823310647,0.965841638554737,0.966774527701192,0.967334261189065,0.967396453798828,0.52
"5",1,0.944084030779512,0.944084030779512,0.944084030779512,0.944084030779512,0.944084030779512,0.944084030779512,0.944084030779512,0.944084030779512,0.944084030779512,0.53
"6",1,0.84360895183134,0.844913019391094,0.856649627428877,0.876210640825182,0.908812329819024,0.941414018812866,0.960975032209171,0.972711640246954,0.974015707806708,0.54
"7",1,0.963307738568671,0.963430400025576,0.964534353137718,0.966374274991289,0.968826491019709,0.971337044820487,0.973281974664304,0.974448932570593,0.974578594560181,0.55
"8",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56
"9",1,0.962286685803747,0.962286685803747,0.962286685803747,0.962286685803747,0.962286685803747,0.962286685803747,0.962286685803747,0.962286685803747,0.962286685803747,0.57
"10",1,0.9629540725949,0.962998496406939,0.963398310715293,0.964064667895882,0.965175263196864,0.966285858497846,0.966952215678435,0.967352029986789,0.967396453798828,0.58
"11",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
"12",1,0.952550862937173,0.952941090080567,0.956453134371116,0.962306541522029,0.968139085728068,0.971433585319692,0.972718512164662,0.973489468271643,0.973575130061308,0.59
"13",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6
"14",1,0.965558434383648,0.965558434383648,0.965558434383648,0.965558434383648,0.965558434383648,0.965558434383648,0.965558434383648,0.965558434383648,0.965558434383648,0.61
"15",1,0.972715107517853,0.972718723533825,0.972751267677572,0.972805507917151,0.972895908316449,0.972986308715748,0.973040548955326,0.973073093099074,0.973076709115046,0.62
"16",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63
"17",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64
"18",1,0.96199679707073,0.962123610338754,0.963264929750975,0.965167128771344,0.968337460471957,0.971507792172571,0.973409991192939,0.97455131060516,0.974678123873185,0.65
"19",1,0.96199679707073,0.96199679707073,0.96199679707073,0.96199679707073,0.96199679707073,0.96199679707073,0.96199679707073,0.96199679707073,0.96199679707073,0.66
"20",1,0.956149400986099,0.956322933527348,0.957884726398595,0.960487714517339,0.964826028048579,0.969164341579819,0.971767329698562,0.973329122569809,0.973502655111058,0.67
"21",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41
"22",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42
"23",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43
"24",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44
"25",1,0.971971188967431,0.971971188967431,0.971971188967431,0.971971188967431,0.971971188967431,0.971971188967431,0.971971188967431,0.971971188967431,0.971971188967431,0.45
"26",1,0.963823780739288,0.963823780739288,0.963823780739288,0.963823780739288,0.963823780739288,0.963823780739288,0.963823780739288,0.963823780739288,0.963823780739288,0.46
"27",1,0.953037523076994,0.953192971257141,0.954592004878461,0.956923727580661,0.960809932084327,0.964696136587994,0.967027859290194,0.968426892911514,0.968582341091661,0.47
"28",1,0.936654249724997,0.936654249724997,0.936654249724997,0.936654249724997,0.936654249724997,0.936654249724997,0.936654249724997,0.936654249724997,0.936654249724997,0.48
