targOutNum,nFin,nObs0,yObs0,nObs1,yObs1
50,66,19,10,33,20
52,66,19,10,33,20
54,67,21,10,34,21
56,70,21,10,35,21
58,70,23,11,35,21
60,76,24,11,36,21
62,90,26,11,36,21
64,92,28,11,36,21
66,92,28,11,38,22
67,92,28,11,39,22
68,92,29,11,39,22
70,92,30,12,40,22
72,92,31,12,41,23
74,92,32,13,42,24
76,92,33,13,43,24
78,92,35,13,45,25
80,92,35,13,45,25
82,92,36,14,46,25
84,92,38,16,48,26
86,92,38,16,48,26
88,92,38,16,50,27
90,92,38,16,52,27
92,92,39,17,53,28
