"","X","X0.","X1.","X10.","X25.","X50.","X75.","X90.","X99.","X100.","idx"
"1",1,0.958226820681547,0.960389887278359,0.964939722431047,0.969851316565459,0.971936617882017,0.973508936507443,0.974449619127168,0.974741900450233,0.974755203935575,100
"2",1,0.894949537308817,0.908815445764511,0.941939599381034,0.953366351084969,0.963554849867105,0.970400803946227,0.973741696570081,0.974913230751816,0.974948671803159,101
"3",1,0.852229751541122,0.876152831571031,0.938575223311235,0.953913125509592,0.963617433717197,0.970541817702271,0.973669193457037,0.974912586369064,0.974948671803159,102
"4",1,0.852229751541122,0.878288820859416,0.941031592107862,0.957504874548435,0.964877708677997,0.971310194052223,0.974291742490076,0.974909364455305,0.974948671803159,103
"5",1,0.852229751541122,0.880852008005477,0.936599259221329,0.955172155738679,0.964152480416686,0.969969661950914,0.974255107999844,0.974905498158795,0.974948671803159,104
"6",1,0.910687166999587,0.918239094206477,0.93908100289711,0.954847391910116,0.963516407339209,0.969731357233124,0.97331340273524,0.97489969871403,0.974948671803159,105
"7",1,0.890710324326741,0.90769064059866,0.935058975910798,0.954359377037105,0.963666673699807,0.969629766030784,0.972021582656671,0.974904857206424,0.974948671803159,106
"8",1,0.890710324326741,0.918509548881218,0.936044198729872,0.951246620502372,0.963492266017012,0.969655163831369,0.973696657789156,0.974847802152754,0.974948671803159,107
"9",1,0.890710324326741,0.911231095063332,0.931775459730853,0.954125810436974,0.96476843480119,0.969655163831369,0.972868529983704,0.974948671803159,0.974948671803159,108
"10",1,0.904350122571189,0.904350122571189,0.933652407136877,0.954359377037105,0.965479538396415,0.969811239122472,0.973702388887777,0.974948671803159,0.974948671803159,109
"11",1,0.970722780571023,0.970722780571023,0.970722780571023,0.970722780571023,0.970722780571023,0.970722780571023,0.970722780571023,0.970722780571023,0.970722780571023,10
"12",1,0.904350122571189,0.904350122571189,0.932136951681921,0.953289788103761,0.964383223717119,0.969855008281772,0.974251240628546,0.97489583241752,0.974948671803159,110
"13",1,0.892708169682867,0.902720249166824,0.931247914374197,0.954537402530001,0.964168423005014,0.969780116881626,0.972487884957175,0.974751447753964,0.974809500011334,111
