"","model","p.range","skpt_spike","enth_flat","freq.mntr","enr.shape","out.mean"
"146",3,0.67,1,0,2,1,4
"147",3,0.4,1,0,3,1,4
"148",3,0.535,1,0,3,1,4
"149",3,0.67,1,0,3,1,4
"150",3,0.4,1,0,5,1,4
"151",3,0.535,1,0,5,1,4
"152",3,0.67,1,0,5,1,4
"153",3,0.4,1,0,10,1,4
"154",3,0.535,1,0,10,1,4
"155",3,0.67,1,0,10,1,4
"156",3,0.4,1,0,20,1,4
"157",3,0.535,1,0,20,1,4
"158",3,0.67,1,0,20,1,4
"159",3,0.4,1,0,61,1,4
"160",3,0.535,1,0,61,1,4
"161",3,0.67,1,0,61,1,4
"162",3,0.4,1,0,112,1,4
"163",3,0.535,1,0,112,1,4
"164",3,0.67,1,0,112,1,4
"165",3,0.4,1,0,1,0.25,4
"166",3,0.535,1,0,1,0.25,4
"167",3,0.67,1,0,1,0.25,4
"168",3,0.4,1,0,2,0.25,4
"169",3,0.535,1,0,2,0.25,4
"170",3,0.67,1,0,2,0.25,4
"171",3,0.4,1,0,3,0.25,4
"172",3,0.535,1,0,3,0.25,4
"173",3,0.67,1,0,3,0.25,4
"174",3,0.4,1,0,5,0.25,4
"175",3,0.535,1,0,5,0.25,4
"176",3,0.67,1,0,5,0.25,4
"177",3,0.4,1,0,10,0.25,4
"178",3,0.535,1,0,10,0.25,4
"179",3,0.67,1,0,10,0.25,4
"180",3,0.4,1,0,20,0.25,4
"181",3,0.535,1,0,20,0.25,4
"182",3,0.67,1,0,20,0.25,4
"183",3,0.4,1,0,61,0.25,4
"184",3,0.535,1,0,61,0.25,4
"185",3,0.67,1,0,61,0.25,4
"186",3,0.4,1,0,112,0.25,4
"187",3,0.535,1,0,112,0.25,4
"188",3,0.67,1,0,112,0.25,4
"189",4,0.4,0,0,2,1,4
"190",4,0.4675,0,0,2,1,4
"191",4,0.535,0,0,2,1,4
"192",4,0.6025,0,0,2,1,4
"193",4,0.67,0,0,2,1,4
"194",4,0.4,1,0,2,1,4
"195",4,0.4675,1,0,2,1,4
"196",4,0.535,1,0,2,1,4
"197",4,0.6025,1,0,2,1,4
"198",4,0.67,1,0,2,1,4
"199",4,0.4,0,1,2,1,4
"200",4,0.4675,0,1,2,1,4
"201",4,0.535,0,1,2,1,4
"202",4,0.6025,0,1,2,1,4
"203",4,0.67,0,1,2,1,4
"204",4,0.4,1,1,2,1,4
"205",4,0.4675,1,1,2,1,4
"206",4,0.535,1,1,2,1,4
"207",4,0.6025,1,1,2,1,4
"208",4,0.67,1,1,2,1,4
