"","X","p.agree","efficacy","conditional","idx"
"214",1,0.993,0.052,0.88135593220339,8
"215",1,1,0.64,1,90
"216",1,1,0,NA,91
"217",1,1,0.04,1,92
"218",1,1,0.08,1,93
"219",1,1,0.24,1,94
"220",1,1,0.64,1,95
"221",1,1,0,NA,96
"222",1,1,0.04,1,97
"223",1,1,0.08,1,98
"224",1,1,0.24,1,99
"225",1,0.979,0.16,0.883977900552486,9
