"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,167
"eff.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,167
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
"ss.initial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,167
"ss.final",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,167
"mle.initial.IP",0.551724137931034,0.379310344827586,0.431034482758621,0.551724137931034,0.517241379310345,0.517241379310345,0.431034482758621,0.5,0.46551724137931,0.46551724137931,0.362068965517241,0.413793103448276,0.482758620689655,0.482758620689655,0.568965517241379,0.482758620689655,0.431034482758621,0.482758620689655,0.53448275862069,0.413793103448276,0.5,0.379310344827586,0.46551724137931,0.362068965517241,0.396551724137931,167
"mle.final.IP",0.551724137931034,0.379310344827586,0.431034482758621,0.551724137931034,0.517241379310345,0.517241379310345,0.431034482758621,0.5,0.46551724137931,0.46551724137931,0.362068965517241,0.413793103448276,0.482758620689655,0.482758620689655,0.568965517241379,0.482758620689655,0.431034482758621,0.482758620689655,0.53448275862069,0.413793103448276,0.5,0.379310344827586,0.46551724137931,0.362068965517241,0.396551724137931,167
"mle.initial.PC",0.380952380952381,0.357142857142857,0.261904761904762,0.5,0.428571428571429,0.30952380952381,0.333333333333333,0.547619047619048,0.30952380952381,0.30952380952381,0.404761904761905,0.357142857142857,0.30952380952381,0.380952380952381,0.357142857142857,0.428571428571429,0.357142857142857,0.476190476190476,0.380952380952381,0.261904761904762,0.357142857142857,0.261904761904762,0.333333333333333,0.238095238095238,0.357142857142857,167
"mle.final.PC",0.380952380952381,0.357142857142857,0.261904761904762,0.5,0.428571428571429,0.30952380952381,0.333333333333333,0.547619047619048,0.30952380952381,0.30952380952381,0.404761904761905,0.357142857142857,0.30952380952381,0.380952380952381,0.357142857142857,0.428571428571429,0.357142857142857,0.476190476190476,0.380952380952381,0.261904761904762,0.357142857142857,0.261904761904762,0.333333333333333,0.238095238095238,0.357142857142857,167
"post.mean.initial.IP",0.413484748154013,0.356196442831562,0.310406380508726,0.482740063429857,0.432568725029397,0.362097917129716,0.355055700981197,0.495623694614831,0.348790596025463,0.348790596025463,0.377841338225152,0.365059332796972,0.353086179056743,0.396094867160637,0.404391705902814,0.4239347823565,0.369308671558678,0.45106342732591,0.408995383280416,0.30628372259243,0.386177303115259,0.298204663531659,0.363346614863464,0.278656506251763,0.360685559886178,167
"post.mean.final.IP",0.413484748154013,0.356196442831562,0.310406380508726,0.482740063429857,0.432568725029397,0.362097917129716,0.355055700981197,0.495623694614831,0.348790596025463,0.348790596025463,0.377841338225152,0.365059332796972,0.353086179056743,0.396094867160637,0.404391705902814,0.4239347823565,0.369308671558678,0.45106342732591,0.408995383280416,0.30628372259243,0.386177303115259,0.298204663531659,0.363346614863464,0.278656506251763,0.360685559886178,167
"post.mean.initial.PC",0.110805177661273,0.0356980516950738,0.1016233236646,0.063840828524166,0.0750608724596596,0.12238617951205,0.0706865808924788,0.0224529282883874,0.0980097697000579,0.0980097697000579,0.0113138016608925,0.0523180871222666,0.106360010545299,0.0770241174512977,0.127639059906568,0.0580271691946168,0.0608641084914279,0.0400314028044368,0.102561099470074,0.0930955711846858,0.0952869261841891,0.0755178954829582,0.0880302855060065,0.0776520038022753,0.0439233098244317,167
"post.mean.final.PC",0.110805177661273,0.0356980516950738,0.1016233236646,0.063840828524166,0.0750608724596596,0.12238617951205,0.0706865808924788,0.0224529282883874,0.0980097697000579,0.0980097697000579,0.0113138016608925,0.0523180871222666,0.106360010545299,0.0770241174512977,0.127639059906568,0.0580271691946168,0.0608641084914279,0.0400314028044368,0.102561099470074,0.0930955711846858,0.0952869261841891,0.0755178954829582,0.0880302855060065,0.0776520038022753,0.0439233098244317,167
"cov.initial",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,167
"cov.final",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,167
"eff.mix.prob",0.361735147572171,1,0.512578810520451,0.886425663725172,0.695532234436245,0.42488780505579,0.757700928908606,1,0.462575353925858,0.462575353925858,1,1,0.415075834677944,0.65540923649569,0.402821940115602,0.980352937231569,0.917388513500007,1,0.378862596379302,0.557314502810769,0.441051874993467,0.736497812019767,0.522657289584527,0.739329682020721,1,167
