"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"eff.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"ss.initial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,26
"ss.final",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,26
"mle.initial.IP",0.344827586206897,0.396551724137931,0.431034482758621,0.413793103448276,0.46551724137931,0.46551724137931,0.46551724137931,0.448275862068966,0.396551724137931,0.362068965517241,0.362068965517241,0.396551724137931,0.448275862068966,0.46551724137931,0.46551724137931,0.258620689655172,0.344827586206897,0.396551724137931,0.517241379310345,0.362068965517241,0.362068965517241,0.362068965517241,0.431034482758621,0.448275862068966,0.362068965517241,26
"mle.final.IP",0.344827586206897,0.396551724137931,0.431034482758621,0.413793103448276,0.46551724137931,0.46551724137931,0.46551724137931,0.448275862068966,0.396551724137931,0.362068965517241,0.362068965517241,0.396551724137931,0.448275862068966,0.46551724137931,0.46551724137931,0.258620689655172,0.344827586206897,0.396551724137931,0.517241379310345,0.362068965517241,0.362068965517241,0.362068965517241,0.431034482758621,0.448275862068966,0.362068965517241,26
"mle.initial.PC",0.333333333333333,0.404761904761905,0.30952380952381,0.261904761904762,0.476190476190476,0.238095238095238,0.333333333333333,0.5,0.357142857142857,0.214285714285714,0.5,0.380952380952381,0.404761904761905,0.30952380952381,0.285714285714286,0.404761904761905,0.380952380952381,0.476190476190476,0.452380952380952,0.333333333333333,0.380952380952381,0.452380952380952,0.380952380952381,0.452380952380952,0.428571428571429,26
"mle.final.PC",0.333333333333333,0.404761904761905,0.30952380952381,0.261904761904762,0.476190476190476,0.238095238095238,0.333333333333333,0.5,0.357142857142857,0.214285714285714,0.5,0.380952380952381,0.404761904761905,0.30952380952381,0.285714285714286,0.404761904761905,0.380952380952381,0.476190476190476,0.452380952380952,0.333333333333333,0.380952380952381,0.452380952380952,0.380952380952381,0.452380952380952,0.428571428571429,26
"post.mean.initial.IP",0.333286945147212,0.387650406530478,0.340491854151888,0.30628372259243,0.446350258608684,0.303893941440423,0.363346614863464,0.454483793135709,0.360685559886178,0.26259098901872,0.427920996129368,0.374357956993295,0.401457737142749,0.348790596025463,0.334037347401293,0.345788094255793,0.359887042863779,0.426244797446328,0.446405914377477,0.337894395586381,0.364858521087651,0.403113197743709,0.383278732951621,0.428378258932087,0.390573252031521,26
"post.mean.final.IP",0.333286945147212,0.387650406530478,0.340491854151888,0.30628372259243,0.446350258608684,0.303893941440423,0.363346614863464,0.454483793135709,0.360685559886178,0.26259098901872,0.427920996129368,0.374357956993295,0.401457737142749,0.348790596025463,0.334037347401293,0.345788094255793,0.359887042863779,0.426244797446328,0.446405914377477,0.337894395586381,0.364858521087651,0.403113197743709,0.383278732951621,0.428378258932087,0.390573252031521,26
"post.mean.initial.PC",0.0284268762585056,0.0263712745701945,0.0808173264777899,0.0930955711846858,0.032196291297269,0.127848306999131,0.0880302855060065,0.0166336209621383,0.0439233098244317,0.0891237696578491,-0.0176674612401014,0.0349166626236592,0.0505050465004435,0.0980097697000579,0.108009094153764,-0.0318383488485898,0.01173814362863,0.00302212832938113,0.0656191003549987,0.0365700123168886,0.0192684124473933,-0.00357398321646112,0.0513741898319394,0.0328756312496234,0.00372704166893139,26
"post.mean.final.PC",0.0284268762585056,0.0263712745701945,0.0808173264777899,0.0930955711846858,0.032196291297269,0.127848306999131,0.0880302855060065,0.0166336209621383,0.0439233098244317,0.0891237696578491,-0.0176674612401014,0.0349166626236592,0.0505050465004435,0.0980097697000579,0.108009094153764,-0.0318383488485898,0.01173814362863,0.00302212832938113,0.0656191003549987,0.0365700123168886,0.0192684124473933,-0.00357398321646112,0.0513741898319394,0.0328756312496234,0.00372704166893139,26
"cov.initial",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26
"cov.final",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26
"eff.mix.prob",1,1,0.638426482855296,0.557314502810769,1,0.55550445147863,0.522657289584527,1,1,0.671398406783037,1,1,1,0.462575353925858,0.442685914495986,1,1,1,0.854530604267974,1,1,1,1,1,1,26
