"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
"eff.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
"ss.initial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,151
"ss.final",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,151
"mle.initial.IP",0.310344827586207,0.413793103448276,0.53448275862069,0.431034482758621,0.362068965517241,0.482758620689655,0.413793103448276,0.413793103448276,0.46551724137931,0.413793103448276,0.344827586206897,0.448275862068966,0.362068965517241,0.46551724137931,0.413793103448276,0.310344827586207,0.293103448275862,0.46551724137931,0.413793103448276,0.327586206896552,0.431034482758621,0.379310344827586,0.362068965517241,0.362068965517241,0.431034482758621,151
"mle.final.IP",0.310344827586207,0.413793103448276,0.53448275862069,0.431034482758621,0.362068965517241,0.482758620689655,0.413793103448276,0.413793103448276,0.46551724137931,0.413793103448276,0.344827586206897,0.448275862068966,0.362068965517241,0.46551724137931,0.413793103448276,0.310344827586207,0.293103448275862,0.46551724137931,0.413793103448276,0.327586206896552,0.431034482758621,0.379310344827586,0.362068965517241,0.362068965517241,0.431034482758621,151
"mle.initial.PC",0.380952380952381,0.404761904761905,0.357142857142857,0.404761904761905,0.428571428571429,0.285714285714286,0.428571428571429,0.380952380952381,0.30952380952381,0.404761904761905,0.547619047619048,0.357142857142857,0.357142857142857,0.261904761904762,0.261904761904762,0.476190476190476,0.357142857142857,0.380952380952381,0.428571428571429,0.30952380952381,0.380952380952381,0.333333333333333,0.30952380952381,0.523809523809524,0.404761904761905,151
"mle.final.PC",0.380952380952381,0.404761904761905,0.357142857142857,0.404761904761905,0.428571428571429,0.285714285714286,0.428571428571429,0.380952380952381,0.30952380952381,0.404761904761905,0.547619047619048,0.357142857142857,0.357142857142857,0.261904761904762,0.261904761904762,0.476190476190476,0.357142857142857,0.380952380952381,0.428571428571429,0.30952380952381,0.380952380952381,0.333333333333333,0.30952380952381,0.523809523809524,0.404761904761905,151
"post.mean.initial.IP",0.349522657088668,0.392384570824618,0.395000158639978,0.396970547139938,0.390573252031521,0.338443431426079,0.40561474255661,0.378867202714696,0.348790596025463,0.392384570824618,0.447270715736214,0.373529218950516,0.351558798531333,0.319078237374712,0.30628372259243,0.399216781912706,0.331490524131844,0.391861568391514,0.40561474255661,0.314852140341022,0.383278732951621,0.342340201225535,0.323775778850684,0.440302811829512,0.396970547139938,151
"post.mean.final.IP",0.349522657088668,0.392384570824618,0.395000158639978,0.396970547139938,0.390573252031521,0.338443431426079,0.40561474255661,0.378867202714696,0.348790596025463,0.392384570824618,0.447270715736214,0.373529218950516,0.351558798531333,0.319078237374712,0.30628372259243,0.399216781912706,0.331490524131844,0.391861568391514,0.40561474255661,0.314852140341022,0.383278732951621,0.342340201225535,0.323775778850684,0.440302811829512,0.396970547139938,151
"post.mean.initial.PC",-0.00287402384371411,0.034210856468623,0.111879309581816,0.0422620189406054,0.00372704166893139,0.116102364493151,0.0257826282770258,0.0430542001449273,0.0980097697000579,0.034210856468623,-0.0385478401205401,0.0694886181217082,0.0276665449379056,0.117969404515596,0.0930955711846858,-0.0313468231310539,-0.0026348229563885,0.0684110265464543,0.0257826282770258,0.0292904131156444,0.0513741898319394,0.0449044165645714,0.0460214544647747,-0.0246296691458825,0.0422620189406054,151
"post.mean.final.PC",-0.00287402384371411,0.034210856468623,0.111879309581816,0.0422620189406054,0.00372704166893139,0.116102364493151,0.0257826282770258,0.0430542001449273,0.0980097697000579,0.034210856468623,-0.0385478401205401,0.0694886181217082,0.0276665449379056,0.117969404515596,0.0930955711846858,-0.0313468231310539,-0.0026348229563885,0.0684110265464543,0.0257826282770258,0.0292904131156444,0.0513741898319394,0.0449044165645714,0.0460214544647747,-0.0246296691458825,0.0422620189406054,151
"cov.initial",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,151
"cov.final",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,151
"eff.mix.prob",1,1,0.369535857812137,1,1,0.448160301892269,1,1,0.462575353925858,1,1,0.771480718188785,1,0.493225925123708,0.557314502810769,1,1,0.794031584810179,1,1,1,1,1,1,1,151
