"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8
"eff.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"ss.initial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,8
"ss.final",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93,100,100,100,100,8
"mle.initial.IP",0.586206896551724,0.482758620689655,0.517241379310345,0.603448275862069,0.568965517241379,0.431034482758621,0.5,0.517241379310345,0.431034482758621,0.586206896551724,0.482758620689655,0.517241379310345,0.431034482758621,0.517241379310345,0.482758620689655,0.53448275862069,0.482758620689655,0.517241379310345,0.482758620689655,0.310344827586207,0.64,0.482758620689655,0.448275862068966,0.482758620689655,0.517241379310345,8
"mle.final.IP",0.586206896551724,0.482758620689655,0.517241379310345,0.603448275862069,0.568965517241379,0.431034482758621,0.5,0.517241379310345,0.431034482758621,0.586206896551724,0.482758620689655,0.517241379310345,0.431034482758621,0.517241379310345,0.482758620689655,0.53448275862069,0.482758620689655,0.517241379310345,0.482758620689655,0.310344827586207,0.660377358490566,0.482758620689655,0.448275862068966,0.482758620689655,0.517241379310345,8
"mle.initial.PC",0.404761904761905,0.30952380952381,0.428571428571429,0.5,0.404761904761905,0.380952380952381,0.5,0.380952380952381,0.404761904761905,0.452380952380952,0.357142857142857,0.5,0.428571428571429,0.428571428571429,0.357142857142857,0.357142857142857,0.357142857142857,0.380952380952381,0.428571428571429,0.357142857142857,0.375,0.476190476190476,0.428571428571429,0.285714285714286,0.238095238095238,8
"mle.final.PC",0.404761904761905,0.30952380952381,0.428571428571429,0.5,0.404761904761905,0.380952380952381,0.5,0.380952380952381,0.404761904761905,0.452380952380952,0.357142857142857,0.5,0.428571428571429,0.428571428571429,0.357142857142857,0.357142857142857,0.357142857142857,0.380952380952381,0.428571428571429,0.357142857142857,0.375,0.476190476190476,0.428571428571429,0.285714285714286,0.238095238095238,8
"post.mean.initial.IP",0.436554835475501,0.353086179056743,0.432568725029397,0.496007747743771,0.431884813530669,0.383278732951621,0.469099630815135,0.404621702411104,0.396970547139938,0.463952851714072,0.381914064413988,0.473736564412966,0.410394366321837,0.432568725029397,0.381914064413988,0.395000158639978,0.381914064413988,0.404621702411104,0.4239347823565,0.336718526050079,0.435135840204041,0.45106342732591,0.415023691579297,0.338443431426079,0.318598732184568,8
"post.mean.final.IP",0.436554835475501,0.353086179056743,0.432568725029397,0.496007747743771,0.431884813530669,0.383278732951621,0.469099630815135,0.404621702411104,0.396970547139938,0.463952851714072,0.381914064413988,0.473736564412966,0.410394366321837,0.432568725029397,0.381914064413988,0.395000158639978,0.381914064413988,0.404621702411104,0.4239347823565,0.336718526050079,0.442697490585993,0.45106342732591,0.415023691579297,0.338443431426079,0.318598732184568,8
"post.mean.initial.PC",0.117938285156576,0.106360010545299,0.0750608724596596,0.0895387171978838,0.109842627790326,0.0513741898319394,0.0392542833170441,0.0941532408770571,0.0422620189406054,0.0997689905786468,0.0867590486864971,0.0472547163753328,0.0335398929639683,0.0750608724596596,0.0867590486864971,0.111879309581816,0.0867590486864971,0.0941532408770571,0.0580271691946168,0.00472734387330468,0.147111364350916,0.0400314028044368,0.0415112222021874,0.116102364493151,0.149296456588348,8
"post.mean.final.PC",0.117938285156576,0.106360010545299,0.0750608724596596,0.0895387171978838,0.109842627790326,0.0513741898319394,0.0392542833170441,0.0941532408770571,0.0422620189406054,0.0997689905786468,0.0867590486864971,0.0472547163753328,0.0335398929639683,0.0750608724596596,0.0867590486864971,0.111879309581816,0.0867590486864971,0.0941532408770571,0.0580271691946168,0.00472734387330468,0.156403257639565,0.0400314028044368,0.0415112222021874,0.116102364493151,0.149296456588348,8
"cov.initial",1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,8
"cov.final",1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,8
"eff.mix.prob",0.364772849264359,0.415075834677944,0.695532234436245,0.586824569013457,0.369138090271335,1,1,0.447187861730653,1,0.44811315368222,0.529780412158102,1,1,0.695532234436245,0.529780412158102,0.369535857812137,0.529780412158102,0.447187861730653,0.980352937231569,1,0.668191294285374,1,1,0.448160301892269,0.694527902411591,8
