"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
"eff.mon.final",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
"ss.initial",100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,118
"ss.final",100,100,100,100,100,100,100,100,100,100,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,118
"mle.initial.IP",0.568965517241379,0.482758620689655,0.551724137931034,0.431034482758621,0.413793103448276,0.413793103448276,0.5,0.46551724137931,0.431034482758621,0.586206896551724,0.729166666666667,0.482758620689655,0.53448275862069,0.5,0.517241379310345,0.53448275862069,0.448275862068966,0.568965517241379,0.482758620689655,0.517241379310345,0.344827586206897,0.551724137931034,0.46551724137931,0.517241379310345,0.46551724137931,118
"mle.final.IP",0.568965517241379,0.482758620689655,0.551724137931034,0.431034482758621,0.413793103448276,0.413793103448276,0.5,0.46551724137931,0.431034482758621,0.586206896551724,0.73469387755102,0.482758620689655,0.53448275862069,0.5,0.517241379310345,0.53448275862069,0.448275862068966,0.568965517241379,0.482758620689655,0.517241379310345,0.344827586206897,0.551724137931034,0.46551724137931,0.517241379310345,0.46551724137931,118
"mle.initial.PC",0.5,0.357142857142857,0.476190476190476,0.428571428571429,0.380952380952381,0.476190476190476,0.452380952380952,0.547619047619048,0.428571428571429,0.452380952380952,0.4375,0.333333333333333,0.357142857142857,0.357142857142857,0.380952380952381,0.333333333333333,0.357142857142857,0.476190476190476,0.547619047619048,0.476190476190476,0.380952380952381,0.380952380952381,0.452380952380952,0.5,0.404761904761905,118
"mle.final.PC",0.5,0.357142857142857,0.476190476190476,0.428571428571429,0.380952380952381,0.476190476190476,0.452380952380952,0.547619047619048,0.428571428571429,0.452380952380952,0.441176470588235,0.333333333333333,0.357142857142857,0.357142857142857,0.380952380952381,0.333333333333333,0.357142857142857,0.476190476190476,0.547619047619048,0.476190476190476,0.380952380952381,0.380952380952381,0.452380952380952,0.5,0.404761904761905,118
"post.mean.initial.IP",0.487146570400122,0.381914064413988,0.468931188263833,0.410394366321837,0.378867202714696,0.431456839265386,0.442045044488415,0.485339730153478,0.410394366321837,0.463952851714072,0.504440891275326,0.367575374138607,0.395000158639978,0.386177303115259,0.404621702411104,0.380954456817582,0.373529218950516,0.473318019784807,0.490543071308128,0.460131603915542,0.359887042863779,0.413484748154013,0.433040658552315,0.473736564412966,0.405815116459403,118
"post.mean.final.IP",0.487146570400122,0.381914064413988,0.468931188263833,0.410394366321837,0.378867202714696,0.431456839265386,0.442045044488415,0.485339730153478,0.410394366321837,0.463952851714072,0.506818988322446,0.367575374138607,0.395000158639978,0.386177303115259,0.404621702411104,0.380954456817582,0.373529218950516,0.473318019784807,0.490543071308128,0.460131603915542,0.359887042863779,0.413484748154013,0.433040658552315,0.473736564412966,0.405815116459403,118
"post.mean.initial.PC",0.0723472158100876,0.0867590486864971,0.0732539371342808,0.0335398929639683,0.0430542001449273,0.0100321447614331,0.057180147617778,0.00830114480999469,0.0335398929639683,0.0997689905786468,0.158040587832127,0.0965600601989017,0.111879309581816,0.0952869261841891,0.0941532408770571,0.121041984873995,0.0694886181217082,0.0818297843499187,0.0152726267789788,0.0563314161844472,0.01173814362863,0.110805177661273,0.0407744577788022,0.0472547163753328,0.0589071804062033,118
"post.mean.final.PC",0.0723472158100876,0.0867590486864971,0.0732539371342808,0.0335398929639683,0.0430542001449273,0.0100321447614331,0.057180147617778,0.00830114480999469,0.0335398929639683,0.0997689905786468,0.160781795349545,0.0965600601989017,0.111879309581816,0.0952869261841891,0.0941532408770571,0.121041984873995,0.0694886181217082,0.0818297843499187,0.0152726267789788,0.0563314161844472,0.01173814362863,0.110805177661273,0.0407744577788022,0.0472547163753328,0.0589071804062033,118
"cov.initial",1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,118
"cov.final",1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,118
"eff.mix.prob",0.784573020080364,0.529780412158102,0.747482506608356,1,1,1,0.984415496831027,1,1,0.44811315368222,0.748827092147304,0.450248032871332,0.369535857812137,0.441051874993467,0.447187861730653,0.383621781398767,0.771480718188785,0.642315845000389,1,1,1,0.361735147572171,1,1,0.966392859358124,118
