"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,193
"eff.mon.final",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,193
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193
"ss.initial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,193
"ss.final",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,193
"mle.initial.IP",0.551724137931034,0.551724137931034,0.517241379310345,0.5,0.379310344827586,0.5,0.5,0.5,0.53448275862069,0.53448275862069,0.5,0.431034482758621,0.517241379310345,0.448275862068966,0.53448275862069,0.53448275862069,0.584905660377358,0.431034482758621,0.568965517241379,0.551724137931034,0.46551724137931,0.431034482758621,0.551724137931034,0.362068965517241,0.482758620689655,193
"mle.final.IP",0.551724137931034,0.551724137931034,0.517241379310345,0.5,0.379310344827586,0.5,0.5,0.5,0.53448275862069,0.53448275862069,0.5,0.431034482758621,0.517241379310345,0.448275862068966,0.53448275862069,0.53448275862069,0.592592592592593,0.431034482758621,0.568965517241379,0.551724137931034,0.46551724137931,0.431034482758621,0.551724137931034,0.362068965517241,0.482758620689655,193
"mle.initial.PC",0.380952380952381,0.5,0.452380952380952,0.380952380952381,0.333333333333333,0.380952380952381,0.404761904761905,0.214285714285714,0.380952380952381,0.452380952380952,0.428571428571429,0.380952380952381,0.357142857142857,0.452380952380952,0.452380952380952,0.357142857142857,0.297297297297297,0.452380952380952,0.476190476190476,0.476190476190476,0.333333333333333,0.380952380952381,0.452380952380952,0.428571428571429,0.261904761904762,193
"mle.final.PC",0.380952380952381,0.5,0.452380952380952,0.380952380952381,0.333333333333333,0.380952380952381,0.404761904761905,0.214285714285714,0.380952380952381,0.452380952380952,0.428571428571429,0.380952380952381,0.357142857142857,0.452380952380952,0.452380952380952,0.357142857142857,0.282051282051282,0.452380952380952,0.476190476190476,0.476190476190476,0.333333333333333,0.380952380952381,0.452380952380952,0.428571428571429,0.261904761904762,193
"post.mean.initial.IP",0.413484748154013,0.482740063429857,0.446405914377477,0.400333942407283,0.342340201225535,0.400333942407283,0.414369046525657,0.29843993822054,0.408995383280416,0.450747839154303,0.428257246283286,0.383278732951621,0.390529164842951,0.428378258932087,0.450747839154303,0.395000158639978,0.378870394809752,0.423580702426767,0.473318019784807,0.468931188263833,0.363346614863464,0.383278732951621,0.455093754401082,0.390573252031521,0.323630794085511,193
"post.mean.final.IP",0.413484748154013,0.482740063429857,0.446405914377477,0.400333942407283,0.342340201225535,0.400333942407283,0.414369046525657,0.29843993822054,0.408995383280416,0.450747839154303,0.428257246283286,0.383278732951621,0.390529164842951,0.428378258932087,0.450747839154303,0.395000158639978,0.370718507468573,0.423580702426767,0.473318019784807,0.468931188263833,0.363346614863464,0.383278732951621,0.455093754401082,0.390573252031521,0.323630794085511,193
"post.mean.initial.PC",0.110805177661273,0.063840828524166,0.0656191003549987,0.08562379498378,0.0449044165645714,0.08562379498378,0.0760069814952429,0.15146309340412,0.102561099470074,0.0741506108172482,0.0665053624690217,0.0513741898319394,0.103673910839571,0.0328756312496234,0.0741506108172482,0.111879309581816,0.149620737254767,0.0251984643566754,0.0818297843499187,0.0732539371342808,0.0880302855060065,0.0513741898319394,0.0827247305678217,0.00372704166893139,0.125745573239974,193
"post.mean.final.PC",0.110805177661273,0.063840828524166,0.0656191003549987,0.08562379498378,0.0449044165645714,0.08562379498378,0.0760069814952429,0.15146309340412,0.102561099470074,0.0741506108172482,0.0665053624690217,0.0513741898319394,0.103673910839571,0.0328756312496234,0.0741506108172482,0.111879309581816,0.159077428414285,0.0251984643566754,0.0818297843499187,0.0732539371342808,0.0880302855060065,0.0513741898319394,0.0827247305678217,0.00372704166893139,0.125745573239974,193
"cov.initial",1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,193
"cov.final",1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,193
"eff.mix.prob",0.361735147572171,0.886425663725172,0.854530604267974,0.538512673442061,1,0.538512673442061,0.671983732067986,0.7446949721015,0.378862596379302,0.719064944382874,0.827572455211835,1,0.396576718311821,1,0.719064944382874,0.369535857812137,0.752930992858857,1,0.642315845000389,0.747482506608356,0.522657289584527,1,0.615971568025659,1,0.509143767599711,193
