"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,123
"eff.mon.final",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,123
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
"ss.initial",100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,123
"ss.final",100,100,100,100,100,83,100,100,100,100,100,100,100,100,100,100,100,100,83,100,100,100,100,100,100,123
"mle.initial.IP",0.482758620689655,0.568965517241379,0.517241379310345,0.344827586206897,0.517241379310345,0.644444444444444,0.517241379310345,0.5,0.482758620689655,0.517241379310345,0.586206896551724,0.396551724137931,0.46551724137931,0.517241379310345,0.431034482758621,0.53448275862069,0.431034482758621,0.5,0.638297872340426,0.379310344827586,0.517241379310345,0.517241379310345,0.517241379310345,0.5,0.5,123
"mle.final.IP",0.482758620689655,0.568965517241379,0.517241379310345,0.344827586206897,0.517241379310345,0.638297872340426,0.517241379310345,0.5,0.482758620689655,0.517241379310345,0.586206896551724,0.396551724137931,0.46551724137931,0.517241379310345,0.431034482758621,0.53448275862069,0.431034482758621,0.5,0.62,0.379310344827586,0.517241379310345,0.517241379310345,0.517241379310345,0.5,0.5,123
"mle.initial.PC",0.333333333333333,0.357142857142857,0.476190476190476,0.404761904761905,0.380952380952381,0.285714285714286,0.357142857142857,0.428571428571429,0.5,0.357142857142857,0.5,0.380952380952381,0.452380952380952,0.404761904761905,0.428571428571429,0.357142857142857,0.380952380952381,0.261904761904762,0.333333333333333,0.380952380952381,0.380952380952381,0.428571428571429,0.452380952380952,0.285714285714286,0.5,123
"mle.final.PC",0.333333333333333,0.357142857142857,0.476190476190476,0.404761904761905,0.380952380952381,0.277777777777778,0.357142857142857,0.428571428571429,0.5,0.357142857142857,0.5,0.380952380952381,0.452380952380952,0.404761904761905,0.428571428571429,0.357142857142857,0.380952380952381,0.261904761904762,0.333333333333333,0.380952380952381,0.380952380952381,0.428571428571429,0.452380952380952,0.285714285714286,0.5,123
"post.mean.initial.IP",0.367575374138607,0.404391705902814,0.460131603915542,0.372714130590401,0.404621702411104,0.391616150344852,0.390529164842951,0.428257246283286,0.464351578220836,0.390529164842951,0.491560390001567,0.374357956993295,0.433040658552315,0.41864098993241,0.410394366321837,0.395000158639978,0.383278732951621,0.3283554331232,0.418593162889253,0.369677307388167,0.404621702411104,0.432568725029397,0.446405914377477,0.343012122365486,0.469099630815135,123
"post.mean.final.IP",0.367575374138607,0.404391705902814,0.460131603915542,0.372714130590401,0.404621702411104,0.384780449205229,0.390529164842951,0.428257246283286,0.464351578220836,0.390529164842951,0.491560390001567,0.374357956993295,0.433040658552315,0.41864098993241,0.410394366321837,0.395000158639978,0.383278732951621,0.3283554331232,0.413569524507707,0.369677307388167,0.404621702411104,0.432568725029397,0.446405914377477,0.343012122365486,0.469099630815135,123
"post.mean.initial.PC",0.0965600601989017,0.127639059906568,0.0563314161844472,0.00404649899185968,0.0941532408770571,0.167977471649191,0.103673910839571,0.0665053624690217,0.0314820844841399,0.103673910839571,0.0809331132198475,0.0349166626236592,0.0407744577788022,0.0845938650055431,0.0335398929639683,0.111879309581816,0.0513741898319394,0.133246624742771,0.152799988503403,0.0269918120573115,0.0941532408770571,0.0750608724596596,0.0656191003549987,0.123940207017795,0.0392542833170441,123
"post.mean.final.PC",0.0965600601989017,0.127639059906568,0.0563314161844472,0.00404649899185968,0.0941532408770571,0.170134186224572,0.103673910839571,0.0665053624690217,0.0314820844841399,0.103673910839571,0.0809331132198475,0.0349166626236592,0.0407744577788022,0.0845938650055431,0.0335398929639683,0.111879309581816,0.0513741898319394,0.133246624742771,0.147689538097801,0.0269918120573115,0.0941532408770571,0.0750608724596596,0.0656191003549987,0.123940207017795,0.0392542833170441,123
"cov.initial",0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,123
"cov.final",0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,123
"eff.mix.prob",0.450248032871332,0.402821940115602,1,1,0.447187861730653,0.869397617008254,0.396576718311821,0.827572455211835,1,0.396576718311821,0.678556524794806,1,1,0.558230500790779,1,0.369535857812137,1,0.540972372732058,0.626518183083045,1,0.447187861730653,0.695532234436245,0.854530604267974,0.458009415744616,1,123
