"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,100
"eff.mon.final",1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,100
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"ss.initial",90,100,100,100,100,100,100,70,90,70,100,80,100,90,80,100,80,100,90,80,90,100,100,90,90,100
"ss.final",93,100,100,100,100,100,100,73,93,73,100,83,100,93,83,100,83,100,93,83,93,100,100,93,93,100
"mle.initial.IP",0.654545454545455,0.620689655172414,0.586206896551724,0.655172413793103,0.637931034482759,0.586206896551724,0.672413793103448,0.86046511627907,0.653846153846154,0.65,0.53448275862069,0.66,0.655172413793103,0.611111111111111,0.652173913043478,0.517241379310345,0.729166666666667,0.637931034482759,0.636363636363636,0.72,0.636363636363636,0.517241379310345,0.586206896551724,0.625,0.660714285714286,100
"mle.final.IP",0.642857142857143,0.620689655172414,0.586206896551724,0.655172413793103,0.637931034482759,0.586206896551724,0.672413793103448,0.863636363636364,0.654545454545455,0.634146341463415,0.53448275862069,0.66,0.655172413793103,0.607142857142857,0.645833333333333,0.517241379310345,0.72,0.637931034482759,0.636363636363636,0.705882352941177,0.642857142857143,0.517241379310345,0.586206896551724,0.625,0.666666666666667,100
"mle.initial.PC",0.428571428571429,0.428571428571429,0.404761904761905,0.5,0.523809523809524,0.476190476190476,0.5,0.37037037037037,0.263157894736842,0.133333333333333,0.30952380952381,0.333333333333333,0.5,0.388888888888889,0.352941176470588,0.404761904761905,0.25,0.5,0.285714285714286,0.433333333333333,0.314285714285714,0.476190476190476,0.428571428571429,0.323529411764706,0.441176470588235,100
"mle.final.PC",0.432432432432432,0.428571428571429,0.404761904761905,0.5,0.523809523809524,0.476190476190476,0.5,0.379310344827586,0.263157894736842,0.125,0.30952380952381,0.303030303030303,0.5,0.405405405405405,0.342857142857143,0.404761904761905,0.242424242424242,0.5,0.315789473684211,0.46875,0.297297297297297,0.476190476190476,0.428571428571429,0.324324324324324,0.444444444444444,100
"post.mean.initial.IP",0.473496740531491,0.459793051134159,0.436554835475501,0.509947837980893,0.518865745432355,0.477735459223365,0.51490768456879,0.536953287418154,0.38194312750863,0.315871828534334,0.366848754768895,0.432142782951349,0.509947837980893,0.437878933717983,0.431703862102288,0.41864098993241,0.413983427729334,0.505165469878078,0.394058649965285,0.501993910180485,0.408820427112341,0.460131603915542,0.450213654071676,0.4111910594086,0.48285636096588,100
"post.mean.final.IP",0.470704689888256,0.459793051134159,0.436554835475501,0.509947837980893,0.518865745432355,0.477735459223365,0.51490768456879,0.538731216398125,0.383927508465279,0.299028821753674,0.366848754768895,0.41241975857406,0.509947837980893,0.445218086951565,0.424013523762673,0.41864098993241,0.40569673675378,0.505165469878078,0.405674405078553,0.512130160713136,0.399922254329756,0.460131603915542,0.450213654071676,0.40786118676929,0.485515885151839,100
"post.mean.initial.PC",0.136162953587009,0.125064588270073,0.117938285156576,0.114937252824528,0.0972831884488803,0.0904064623474874,0.123122290237425,0.210054228255619,0.183724628058214,0.198658618703367,0.130025101379732,0.159483569197567,0.114937252824528,0.130797356380206,0.152542614588678,0.0845938650055431,0.201916352724622,0.106588394443642,0.170685956341912,0.155529957434619,0.162739805316467,0.0563314161844472,0.108960222267508,0.155656035399312,0.134737442386332,100
"post.mean.final.PC",0.131184003002436,0.125064588270073,0.117938285156576,0.114937252824528,0.0972831884488803,0.0904064623474874,0.123122290237425,0.212587019345883,0.185573075980465,0.200631285021205,0.130025101379732,0.169816893226213,0.114937252824528,0.124754404145554,0.154790291038144,0.0845938650055431,0.203405451439934,0.106588394443642,0.164544062780986,0.142175871680452,0.17181681682729,0.0563314161844472,0.108960222267508,0.157617695189464,0.137383531483397,100
"cov.initial",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"cov.final",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"eff.mix.prob",0.447975385624219,0.407268905678668,0.364772849264359,0.479123269604151,0.569750363609468,0.546133759289533,0.490779125476533,0.994704002613383,0.940646237303473,0.996575430090196,0.456613266382331,0.851095871515728,0.479123269604151,0.392435253376857,0.695866036127072,0.558230500790779,0.990723504195727,0.497608301879397,0.772968157767811,0.592972571834652,0.849287538120037,1,0.385189812783463,0.703359084533278,0.505857758615223,100
