"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,59
"eff.mon.final",1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,59
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"ss.initial",100,100,90,100,100,100,100,100,100,100,100,100,100,100,90,90,100,100,100,100,100,90,90,90,100,59
"ss.final",100,100,93,100,100,100,100,100,100,100,100,100,100,100,93,93,100,100,100,100,100,93,93,93,100,59
"mle.initial.IP",0.551724137931034,0.551724137931034,0.754716981132076,0.5,0.517241379310345,0.603448275862069,0.551724137931034,0.53448275862069,0.637931034482759,0.448275862068966,0.689655172413793,0.53448275862069,0.568965517241379,0.551724137931034,0.722222222222222,0.666666666666667,0.551724137931034,0.568965517241379,0.53448275862069,0.53448275862069,0.586206896551724,0.660377358490566,0.685185185185185,0.574074074074074,0.551724137931034,59
"mle.final.IP",0.551724137931034,0.551724137931034,0.754716981132076,0.5,0.517241379310345,0.603448275862069,0.551724137931034,0.53448275862069,0.637931034482759,0.448275862068966,0.689655172413793,0.53448275862069,0.568965517241379,0.551724137931034,0.714285714285714,0.666666666666667,0.551724137931034,0.568965517241379,0.53448275862069,0.53448275862069,0.586206896551724,0.654545454545455,0.690909090909091,0.581818181818182,0.551724137931034,59
"mle.initial.PC",0.333333333333333,0.5,0.513513513513513,0.357142857142857,0.5,0.404761904761905,0.30952380952381,0.5,0.476190476190476,0.380952380952381,0.404761904761905,0.476190476190476,0.476190476190476,0.404761904761905,0.416666666666667,0.444444444444444,0.357142857142857,0.404761904761905,0.285714285714286,0.380952380952381,0.357142857142857,0.351351351351351,0.444444444444444,0.222222222222222,0.452380952380952,59
"mle.final.PC",0.333333333333333,0.5,0.5,0.357142857142857,0.5,0.404761904761905,0.30952380952381,0.5,0.476190476190476,0.380952380952381,0.404761904761905,0.476190476190476,0.476190476190476,0.404761904761905,0.405405405405405,0.41025641025641,0.357142857142857,0.404761904761905,0.285714285714286,0.380952380952381,0.357142857142857,0.342105263157895,0.473684210526316,0.236842105263158,0.452380952380952,59
"post.mean.initial.IP",0.385718684790811,0.482740063429857,0.54959188013122,0.386177303115259,0.473736564412966,0.441388880188865,0.371775781019341,0.478275550163275,0.491599062251955,0.387600435775302,0.468523077882631,0.464547364045539,0.473318019784807,0.427361903415483,0.490361768744394,0.484793309798327,0.399613273874583,0.431884813530669,0.352657868479842,0.408995383280416,0.409357402008136,0.433221840642522,0.490996741931042,0.334982802145235,0.455093754401082,59
"post.mean.final.IP",0.385718684790811,0.482740063429857,0.541047458854133,0.386177303115259,0.473736564412966,0.441388880188865,0.371775781019341,0.478275550163275,0.491599062251955,0.387600435775302,0.468523077882631,0.464547364045539,0.473318019784807,0.427361903415483,0.481588285288535,0.464816099298167,0.399613273874583,0.431884813530669,0.352657868479842,0.408995383280416,0.409357402008136,0.425975699477753,0.507176171333329,0.343159981408282,0.455093754401082,59
"post.mean.initial.PC",0.128744375517271,0.063840828524166,0.151831944915752,0.0952869261841891,0.0472547163753328,0.125828695206845,0.137409803964857,0.0554606517235765,0.115626044161785,0.0598425559990182,0.162078846289552,0.0647359863009544,0.0818297843499187,0.101562459873634,0.166219583565099,0.136304398846967,0.119873574483687,0.109842627790326,0.138823488866113,0.102561099470074,0.135168013038245,0.161490125001659,0.143920425953392,0.168497020733897,0.0827247305678217,59
"post.mean.final.PC",0.128744375517271,0.063840828524166,0.156860495272139,0.0952869261841891,0.0472547163753328,0.125828695206845,0.137409803964857,0.0554606517235765,0.115626044161785,0.0598425559990182,0.162078846289552,0.0647359863009544,0.0818297843499187,0.101562459873634,0.16780358294851,0.148172900309405,0.119873574483687,0.109842627790326,0.138823488866113,0.102561099470074,0.135168013038245,0.163563836144538,0.138387306052804,0.168908421844476,0.0827247305678217,59
"cov.initial",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,59
"cov.final",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,59
"eff.mix.prob",0.418611944851126,0.886425663725172,0.72370832905554,0.441051874993467,1,0.393023642007853,0.507007011500931,1,0.442687908568784,0.94028812356504,0.708977872734781,0.877852952054193,0.642315845000389,0.400602730511954,0.782599929676668,0.579724583540435,0.375303563515781,0.369138090271335,0.549473064154842,0.378862596379302,0.442038343635262,0.756438694053549,0.539212511211546,0.863860439525221,0.615971568025659,59
