"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,44
"eff.mon.final",0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,44
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"ss.initial",100,100,100,100,90,100,100,90,100,100,90,100,100,100,80,90,90,90,100,100,80,100,100,100,100,44
"ss.final",100,100,100,100,93,100,100,93,100,100,93,100,100,100,83,93,93,93,100,100,83,100,100,100,100,44
"mle.initial.IP",0.551724137931034,0.53448275862069,0.482758620689655,0.620689655172414,0.566037735849057,0.482758620689655,0.5,0.571428571428571,0.53448275862069,0.517241379310345,0.596153846153846,0.551724137931034,0.517241379310345,0.46551724137931,0.73469387755102,0.6,0.568627450980392,0.653846153846154,0.53448275862069,0.5,0.708333333333333,0.5,0.603448275862069,0.482758620689655,0.551724137931034,44
"mle.final.IP",0.551724137931034,0.53448275862069,0.482758620689655,0.620689655172414,0.581818181818182,0.482758620689655,0.5,0.549019607843137,0.53448275862069,0.517241379310345,0.584905660377358,0.551724137931034,0.517241379310345,0.46551724137931,0.72,0.60377358490566,0.547169811320755,0.666666666666667,0.53448275862069,0.5,0.693877551020408,0.5,0.603448275862069,0.482758620689655,0.551724137931034,44
"mle.initial.PC",0.428571428571429,0.357142857142857,0.285714285714286,0.428571428571429,0.243243243243243,0.357142857142857,0.404761904761905,0.268292682926829,0.285714285714286,0.452380952380952,0.342105263157895,0.428571428571429,0.19047619047619,0.357142857142857,0.387096774193548,0.375,0.205128205128205,0.368421052631579,0.30952380952381,0.380952380952381,0.40625,0.476190476190476,0.428571428571429,0.357142857142857,0.380952380952381,44
"mle.final.PC",0.428571428571429,0.357142857142857,0.285714285714286,0.428571428571429,0.236842105263158,0.357142857142857,0.404761904761905,0.261904761904762,0.285714285714286,0.452380952380952,0.325,0.428571428571429,0.19047619047619,0.357142857142857,0.393939393939394,0.375,0.225,0.358974358974359,0.30952380952381,0.380952380952381,0.382352941176471,0.476190476190476,0.428571428571429,0.357142857142857,0.380952380952381,44
"post.mean.initial.IP",0.441231583239176,0.395000158639978,0.338443431426079,0.459793051134159,0.342247341788914,0.381914064413988,0.414369046525657,0.351779632018019,0.352657868479842,0.446405914377477,0.405792528746234,0.441231583239176,0.288467483595471,0.377705683174484,0.484605280585892,0.423208303894695,0.316415007386354,0.438529994196894,0.366848754768895,0.400333942407283,0.481590074210793,0.455633807622205,0.454923701362005,0.381914064413988,0.413484748154013,44
"post.mean.final.IP",0.441231583239176,0.395000158639978,0.338443431426079,0.459793051134159,0.343159981408282,0.381914064413988,0.414369046525657,0.340787737914259,0.352657868479842,0.446405914377477,0.39120510553135,0.441231583239176,0.288467483595471,0.377705683174484,0.479897318276132,0.424992563528081,0.320889953691663,0.437606102192951,0.366848754768895,0.400333942407283,0.462706379449716,0.455633807622205,0.454923701362005,0.381914064413988,0.413484748154013,44
"post.mean.initial.PC",0.0921826777059605,0.111879309581816,0.116102364493151,0.125064588270073,0.1596844712815,0.0867590486864971,0.0760069814952429,0.154738515279452,0.138823488866113,0.0656191003549987,0.140017405435237,0.0921826777059605,0.166678882303268,0.0781405247864925,0.172220686547556,0.131001173020601,0.173323619024445,0.154293972403649,0.130025101379732,0.08562379498378,0.158427301460842,0.0480821879849696,0.117112621381152,0.0867590486864971,0.110805177661273,44
"post.mean.final.PC",0.0921826777059605,0.111879309581816,0.116102364493151,0.125064588270073,0.168908421844476,0.0867590486864971,0.0760069814952429,0.15020786712591,0.138823488866113,0.0656191003549987,0.142651370752787,0.0921826777059605,0.166678882303268,0.0781405247864925,0.167424909493547,0.133773987736643,0.161440647969496,0.163357350243181,0.130025101379732,0.08562379498378,0.161227160323657,0.0480821879849696,0.117112621381152,0.0867590486864971,0.110805177661273,44
"cov.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,44
"cov.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,44
"eff.mix.prob",0.487886320430485,0.369535857812137,0.448160301892269,0.407268905678668,0.863860439525221,0.529780412158102,0.671983732067986,0.691067922164577,0.549473064154842,0.854530604267974,0.551233743989014,0.487886320430485,0.869548669639918,0.63852332502724,0.810513749430248,0.446597266967545,0.820760746015369,0.74681809554676,0.456613266382331,0.538512673442061,0.747790850121595,1,0.379853426379368,0.529780412158102,0.361735147572171,44
