"","x"
"eff.mon.initial",NA
"eff.mon.final",NA
"fut.mon.initial",NA
"fut.mon.final",NA
"ss.initial",NA
"ss.final",NA
"post.mean.initial.IP",NA
"post.mean.final.IP",NA
"post.mean.initial.PC",NA
"post.mean.final.PC",NA
"cov.initial",NA
"cov.final",NA
