"","p.range",""
"0",0.2,NA
"0.01",0.2,NA
"0.1",0.2,NA
"0.25",0.2,NA
"0.5",0.2,NA
"0.75",0.2,NA
"0.9",0.2,NA
"0.99",0.2,NA
"1",0.2,NA
