"","x"
"eff.mon.initial",1
"eff.mon.final",1
"fut.mon.initial",0
"fut.mon.final",0
"ss.initial",56.9
"ss.final",73.2
"post.mean.initial.IP",0.182645128256036
"post.mean.final.IP",0.179374649575319
"post.mean.initial.PC",0.0492568180841542
"post.mean.final.PC",0.0368393839204014
"cov.initial",1
"cov.final",1
