"","X1","idx"
"fut.prob.92",0.543726628278592,7
"eff.mix.prob.92",0.7,7
"box.skpt.92",NA,7
"box.enth.92",NA,7
"box.ni.92",NA,7
"y1.IP.initial",28,7
"y0.IP.initial",25,7
"y1.PC.initial",17,7
"y0.PC.initial",22,7
"eff.prob.initial",0.813908141630503,7
"fut.prob.initial",0.543726628278592,7
"eff.mix.prob.initial",0.7,7
"box.skpt.initial",NA,7
"box.enth.initial",NA,7
"box.ni.initial",NA,7
"y1.IP.final",28,7
"y0.IP.final",25,7
"y1.PC.final",17,7
"y0.PC.final",22,7
"eff.prob.final",0.813908141630503,7
"fut.prob.final",0.543726628278592,7
"eff.mix.prob.final",0.7,7
"box.skpt.final",NA,7
"box.enth.final",NA,7
"box.ni.final",NA,7
