"","X1","idx"
"y1.IP.50",20,21
"y0.IP.50",13,21
"y1.PC.50",10,21
"y0.PC.50",9,21
"eff.prob.50",0.986000144337064,21
"fut.prob.50",0.494759977586214,21
"eff.mix.prob.50",0,21
"box.skpt.50",NA,21
"box.enth.50",NA,21
"box.ni.50",NA,21
"y1.IP.52",NA,21
"y0.IP.52",NA,21
"y1.PC.52",NA,21
"y0.PC.52",NA,21
"eff.prob.52",NA,21
"fut.prob.52",NA,21
"eff.mix.prob.52",NA,21
"box.skpt.52",NA,21
"box.enth.52",NA,21
"box.ni.52",NA,21
"y1.IP.54",NA,21
"y0.IP.54",NA,21
"y1.PC.54",NA,21
"y0.PC.54",NA,21
"eff.prob.54",NA,21
"fut.prob.54",NA,21
"eff.mix.prob.54",NA,21
"box.skpt.54",NA,21
"box.enth.54",NA,21
"box.ni.54",NA,21
"y1.IP.56",NA,21
"y0.IP.56",NA,21
"y1.PC.56",NA,21
"y0.PC.56",NA,21
"eff.prob.56",NA,21
"fut.prob.56",NA,21
"eff.mix.prob.56",NA,21
"box.skpt.56",NA,21
"box.enth.56",NA,21
"box.ni.56",NA,21
"y1.IP.58",NA,21
"y0.IP.58",NA,21
"y1.PC.58",NA,21
"y0.PC.58",NA,21
"eff.prob.58",NA,21
"fut.prob.58",NA,21
"eff.mix.prob.58",NA,21
"box.skpt.58",NA,21
"box.enth.58",NA,21
"box.ni.58",NA,21
"y1.IP.60",NA,21
"y0.IP.60",NA,21
"y1.PC.60",NA,21
"y0.PC.60",NA,21
"eff.prob.60",NA,21
"fut.prob.60",NA,21
"eff.mix.prob.60",NA,21
"box.skpt.60",NA,21
"box.enth.60",NA,21
"box.ni.60",NA,21
"y1.IP.62",NA,21
"y0.IP.62",NA,21
"y1.PC.62",NA,21
"y0.PC.62",NA,21
"eff.prob.62",NA,21
"fut.prob.62",NA,21
"eff.mix.prob.62",NA,21
"box.skpt.62",NA,21
"box.enth.62",NA,21
"box.ni.62",NA,21
"y1.IP.64",NA,21
"y0.IP.64",NA,21
"y1.PC.64",NA,21
"y0.PC.64",NA,21
"eff.prob.64",NA,21
"fut.prob.64",NA,21
"eff.mix.prob.64",NA,21
"box.skpt.64",NA,21
"box.enth.64",NA,21
"box.ni.64",NA,21
"y1.IP.66",NA,21
"y0.IP.66",NA,21
"y1.PC.66",NA,21
