"","X1","idx"
"y1.IP.50",20,1
"y0.IP.50",13,1
"y1.PC.50",10,1
"y0.PC.50",9,1
"eff.prob.50",0.670036970861432,1
"fut.prob.50",0.494759977586214,1
"eff.mix.prob.50",1,1
"box.skpt.50",NA,1
"box.enth.50",NA,1
"box.ni.50",NA,1
"y1.IP.52",20,1
"y0.IP.52",13,1
"y1.PC.52",10,1
"y0.PC.52",9,1
"eff.prob.52",0.670036970861432,1
"fut.prob.52",0.494759977586214,1
"eff.mix.prob.52",1,1
"box.skpt.52",NA,1
"box.enth.52",NA,1
"box.ni.52",NA,1
"y1.IP.54",21,1
"y0.IP.54",13,1
"y1.PC.54",10,1
"y0.PC.54",10,1
"eff.prob.54",0.70953718999811,1
"fut.prob.54",0.454730118267318,1
"eff.mix.prob.54",1,1
"box.skpt.54",NA,1
"box.enth.54",NA,1
"box.ni.54",NA,1
"y1.IP.56",21,1
"y0.IP.56",14,1
"y1.PC.56",10,1
"y0.PC.56",11,1
"eff.prob.56",0.711235049564488,1
"fut.prob.56",0.457375334614647,1
"eff.mix.prob.56",1,1
"box.skpt.56",NA,1
"box.enth.56",NA,1
"box.ni.56",NA,1
"y1.IP.58",21,1
"y0.IP.58",14,1
"y1.PC.58",11,1
"y0.PC.58",12,1
"eff.prob.58",0.712760293802256,1
"fut.prob.58",0.46079344197324,1
"eff.mix.prob.58",1,1
"box.skpt.58",NA,1
"box.enth.58",NA,1
"box.ni.58",NA,1
"y1.IP.60",21,1
"y0.IP.60",15,1
"y1.PC.60",11,1
"y0.PC.60",13,1
"eff.prob.60",0.713184944902714,1
"fut.prob.60",0.465005971311497,1
"eff.mix.prob.60",1,1
"box.skpt.60",NA,1
"box.enth.60",NA,1
"box.ni.60",NA,1
"y1.IP.62",21,1
"y0.IP.62",15,1
"y1.PC.62",11,1
"y0.PC.62",15,1
"eff.prob.62",0.749796749415349,1
"fut.prob.62",0.425502162910808,1
"eff.mix.prob.62",1,1
"box.skpt.62",NA,1
"box.enth.62",NA,1
"box.ni.62",NA,1
"y1.IP.64",21,1
"y0.IP.64",15,1
"y1.PC.64",11,1
"y0.PC.64",17,1
"eff.prob.64",0.781941720507862,1
"fut.prob.64",0.388929661060896,1
"eff.mix.prob.64",1,1
"box.skpt.64",NA,1
"box.enth.64",NA,1
"box.ni.64",NA,1
"y1.IP.66",22,1
"y0.IP.66",16,1
"y1.PC.66",11,1
"y0.PC.66",17,1
"eff.prob.66",0.782196311030789,1
"fut.prob.66",0.393258750560276,1
"eff.mix.prob.66",1,1
"box.skpt.66",NA,1
"box.enth.66",NA,1
"box.ni.66",NA,1
"y1.IP.68",22,1
"y0.IP.68",17,1
"y1.PC.68",11,1
"y0.PC.68",18,1
"eff.prob.68",0.781802583374651,1
"fut.prob.68",0.398602891551395,1
"eff.mix.prob.68",1,1
"box.skpt.68",NA,1
"box.enth.68",NA,1
"box.ni.68",NA,1
"y1.IP.70",22,1
"y0.IP.70",18,1
"y1.PC.70",12,1
"y0.PC.70",18,1
"eff.prob.70",0.747530338541347,1
"fut.prob.70",0.447364602543066,1
"eff.mix.prob.70",1,1
"box.skpt.70",NA,1
"box.enth.70",NA,1
"box.ni.70",NA,1
"y1.IP.72",23,1
"y0.IP.72",18,1
"y1.PC.72",12,1
"y0.PC.72",19,1
"eff.prob.72",0.780319415201357,1
"fut.prob.72",0.409570150037658,1
