"","X","eff.mon.initial","eff.mon.final","eff.inf.initial","eff.inf.final","fut.mon.initial","fut.mon.final","fut.inf.initial","fut.inf.final","phat.initial","phat.final","ss.initial","ss.final","post.mean.initial","post.mean.final","cov.initial","cov.final","idx"
"109",1,0.0266,0.0178,0.03168,0.02972,0.73172,0.6686,NA,NA,0.382180571428571,0.386633277165972,83.11424,88.28272,0.401131110816692,0.402960018086122,0.96548,0.96404,44
"110",1,0.02528,0.01764,0.03048,0.02936,0.73752,0.66,NA,NA,0.382568421568627,0.38730472191277,83.28756,88.795,0.401440160075745,0.403501672853058,0.96476,0.96368,45
"111",1,0.02512,0.01764,0.03132,0.03008,0.73452,0.654,NA,NA,0.382404182539683,0.387120211693907,83.156,88.44812,0.40259303091152,0.403366410723564,0.96492,0.962,46
"112",1,0.0244,0.0162,0.02972,0.02788,0.72932,0.67552,NA,NA,0.383328611528822,0.387520093299354,84.79864,89.64964,0.401959052873802,0.403233034446727,0.96644,0.96516,47
"113",1,0.02208,0.01604,0.02732,0.02624,0.73564,0.67276,NA,NA,0.382141971428571,0.387279707766988,85.2016,90.53332,0.401083374936267,0.40307117970807,0.96872,0.9682,48
"114",1,0.02628,0.01656,0.03104,0.0292,0.73036,0.66692,NA,NA,0.384158857142857,0.388433615081772,84.53732,89.79472,0.402146127772227,0.404060062892547,0.96432,0.96412,49
"115",1,0.11152,0.06468,0.12316,0.11564,0.54104,0.39312,NA,NA,0.417005843402998,0.420245115690298,83.27216,88.1702,0.431447866310088,0.432176394773196,0.93728,0.94004,4
"116",1,0.0258,0.0184,0.03088,0.02968,0.73184,0.66772,NA,NA,0.38306103030303,0.387893712047746,85.55184,90.45084,0.401536149027278,0.403742492789069,0.96468,0.96368,50
"117",1,0.02468,0.01544,0.02916,0.02724,0.7332,0.67116,NA,NA,0.383941180124224,0.388095336163868,84.5796,89.51852,0.401923479809532,0.403764510189378,0.96572,0.96612,51
"118",1,0.02676,0.01756,0.03228,0.03016,0.7296,0.6696,NA,NA,0.382558253968254,0.387388892541652,84.85216,89.96904,0.402389256680065,0.403407582492791,0.9634,0.96352,52
"119",1,0.02436,0.016,0.03056,0.02924,0.73744,0.66744,NA,NA,0.383846085714286,0.388201432615175,84.3998,89.75976,0.402277765635953,0.403665346592245,0.96484,0.96464,53
"120",1,0.0256,0.01884,0.0314,0.03,0.7338,0.65924,NA,NA,0.381903626373626,0.386967693709746,84.78952,90.13152,0.400986294050378,0.40312241240877,0.964,0.96288,54
"121",1,0.02244,0.01352,0.028,0.02632,0.7362,0.65,NA,NA,0.383759316578483,0.388016149044495,84.8548,89.93876,0.401757237604215,0.403589206567969,0.96532,0.96624,55
"122",1,0.01908,0.0152,0.02604,0.02568,0.7276,0.65444,NA,NA,0.381716071428571,0.386592189978675,85.64752,89.9702,0.400588242983282,0.402803589423332,0.96968,0.96848,56
"123",1,0.02404,0.0168,0.02956,0.02808,0.72056,0.66088,NA,NA,0.385011674876847,0.389023988532328,87.07792,91.30616,0.402530654765658,0.404317462654127,0.96608,0.96616,57
"124",1,0.021,0.01656,0.027,0.02644,0.7246,0.68632,NA,NA,0.385911380952381,0.389767616096874,89.7132,94.34816,0.403077237241145,0.404072919928576,0.97028,0.96704,58
"125",1,0.0218,0.016,0.02692,0.02616,0.72188,0.68508,NA,NA,0.384492987711214,0.388804481662272,89.33904,93.899,0.401682730298571,0.403701891691163,0.96648,0.96692,59
