"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","idx"
"eff.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
"eff.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
"fut.mon.initial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
"fut.mon.final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
"ss.initial",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,196
"ss.final",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,196
"mle.initial.IP",0.310344827586207,0.5,0.448275862068966,0.362068965517241,0.344827586206897,0.448275862068966,0.362068965517241,0.448275862068966,0.413793103448276,0.413793103448276,0.310344827586207,0.431034482758621,0.379310344827586,0.46551724137931,0.413793103448276,0.431034482758621,0.413793103448276,0.431034482758621,0.379310344827586,0.431034482758621,0.379310344827586,0.275862068965517,0.396551724137931,0.448275862068966,0.396551724137931,196
"mle.final.IP",0.310344827586207,0.5,0.448275862068966,0.362068965517241,0.344827586206897,0.448275862068966,0.362068965517241,0.448275862068966,0.413793103448276,0.413793103448276,0.310344827586207,0.431034482758621,0.379310344827586,0.46551724137931,0.413793103448276,0.431034482758621,0.413793103448276,0.431034482758621,0.379310344827586,0.431034482758621,0.379310344827586,0.275862068965517,0.396551724137931,0.448275862068966,0.396551724137931,196
"mle.initial.PC",0.285714285714286,0.357142857142857,0.452380952380952,0.357142857142857,0.357142857142857,0.428571428571429,0.428571428571429,0.333333333333333,0.428571428571429,0.547619047619048,0.452380952380952,0.452380952380952,0.404761904761905,0.333333333333333,0.476190476190476,0.357142857142857,0.380952380952381,0.333333333333333,0.5,0.285714285714286,0.428571428571429,0.357142857142857,0.380952380952381,0.428571428571429,0.333333333333333,196
"mle.final.PC",0.285714285714286,0.357142857142857,0.452380952380952,0.357142857142857,0.357142857142857,0.428571428571429,0.428571428571429,0.333333333333333,0.428571428571429,0.547619047619048,0.452380952380952,0.452380952380952,0.404761904761905,0.333333333333333,0.476190476190476,0.357142857142857,0.380952380952381,0.333333333333333,0.5,0.285714285714286,0.428571428571429,0.357142857142857,0.380952380952381,0.428571428571429,0.333333333333333,196
"post.mean.initial.IP",0.296210428339678,0.386177303115259,0.428378258932087,0.351558798531333,0.346762810149703,0.415023691579297,0.390573252031521,0.359182550124811,0.40561474255661,0.469215792138993,0.386900666110326,0.423580702426767,0.382871676351364,0.363346614863464,0.431456839265386,0.369308671558678,0.378867202714696,0.355055700981197,0.433380995333348,0.325593827999121,0.395709263723221,0.326152612379195,0.374357956993295,0.415023691579297,0.346662537745053,196
"post.mean.final.IP",0.296210428339678,0.386177303115259,0.428378258932087,0.351558798531333,0.346762810149703,0.415023691579297,0.390573252031521,0.359182550124811,0.40561474255661,0.469215792138993,0.386900666110326,0.423580702426767,0.382871676351364,0.363346614863464,0.431456839265386,0.369308671558678,0.378867202714696,0.355055700981197,0.433380995333348,0.325593827999121,0.395709263723221,0.326152612379195,0.374357956993295,0.415023691579297,0.346662537745053,196
"post.mean.initial.PC",0.0302892188951947,0.0952869261841891,0.0328756312496234,0.0276665449379056,0.0198347153187169,0.0415112222021874,0.00372704166893139,0.0793903834306557,0.0257826282770258,-0.0117508563599605,-0.0243290823414976,0.0251984643566754,0.0187450554918655,0.0880302855060065,0.0100321447614331,0.0608641084914279,0.0430542001449273,0.0706865808924788,-0.0109486383307446,0.0911539494364927,0.0109011102250249,-0.00994532609156214,0.0349166626236592,0.0415112222021874,0.0533972028065151,196
"post.mean.final.PC",0.0302892188951947,0.0952869261841891,0.0328756312496234,0.0276665449379056,0.0198347153187169,0.0415112222021874,0.00372704166893139,0.0793903834306557,0.0257826282770258,-0.0117508563599605,-0.0243290823414976,0.0251984643566754,0.0187450554918655,0.0880302855060065,0.0100321447614331,0.0608641084914279,0.0430542001449273,0.0706865808924788,-0.0109486383307446,0.0911539494364927,0.0109011102250249,-0.00994532609156214,0.0349166626236592,0.0415112222021874,0.0533972028065151,196
"cov.initial",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,196
"cov.final",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,196
"eff.mix.prob",1,0.441051874993467,1,1,1,1,1,0.631821364515819,1,1,1,1,1,0.522657289584527,1,0.917388513500007,1,0.757700928908606,1,0.545835335735791,1,1,1,1,1,196
