"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"90",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"91",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"92",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"93",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"94",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"95",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"96",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"97",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"98",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"99",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"100",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"101",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"102",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"103",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"104",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"105",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"106",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"107",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"108",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"109",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"110",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"111",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"112",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"113",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"114",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"115",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"116",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"117",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"118",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"119",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"120",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"121",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"122",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"123",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"124",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"125",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"126",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"127",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
"128",0.51,0.39,2,1,4,0,101,0.5,0.05,322,322,13
