"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"V1","","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final","eff.mix.prob"
"V8","X7","0","0","0","0","100","100","0.310344827586207","0.310344827586207","0.476190476190476","0.476190476190476","0.399216781912706","0.399216781912706","-0.0313468231310539","-0.0313468231310539","0","0","1"
"V9","X8","0","0","0","0","100","100","0.413793103448276","0.413793103448276","0.238095238095238","0.238095238095238","0.290715801261803","0.290715801261803","0.103866281641733","0.103866281641733","0","0","0.545976262369611"
"V10","X9","0","0","0","0","100","100","0.448275862068966","0.448275862068966","0.428571428571429","0.428571428571429","0.415023691579297","0.415023691579297","0.0415112222021874","0.0415112222021874","1","1","1"
"V11","X10","0","0","0","0","100","100","0.362068965517241","0.362068965517241","0.404761904761905","0.404761904761905","0.377841338225152","0.377841338225152","0.0113138016608925","0.0113138016608925","1","1","1"
"V12","X11","0","0","0","0","100","100","0.46551724137931","0.46551724137931","0.452380952380952","0.452380952380952","0.433040658552315","0.433040658552315","0.0407744577788022","0.0407744577788022","1","1","1"
"V13","X12","0","0","0","0","100","100","0.275862068965517","0.275862068965517","0.428571428571429","0.428571428571429","0.363648051671605","0.363648051671605","-0.0316129434002603","-0.0316129434002603","0","0","1"
"V14","X13","0","0","0","0","100","100","0.362068965517241","0.362068965517241","0.428571428571429","0.428571428571429","0.390573252031521","0.390573252031521","0.00372704166893139","0.00372704166893139","1","1","1"
"V15","X14","0","0","0","0","100","100","0.586206896551724","0.586206896551724","0.428571428571429","0.428571428571429","0.450213654071676","0.450213654071676","0.108960222267508","0.108960222267508","1","1","0.385189812783463"
"V16","X15","0","0","0","0","100","100","0.413793103448276","0.413793103448276","0.30952380952381","0.30952380952381","0.336369015219256","0.336369015219256","0.0720792134783909","0.0720792134783909","0","0","0.746530162623682"
"V17","X16","0","0","0","0","100","100","0.46551724137931","0.46551724137931","0.30952380952381","0.30952380952381","0.348790596025463","0.348790596025463","0.0980097697000579","0.0980097697000579","1","1","0.462575353925858"
"V18","X17","0","0","0","0","100","100","0.431034482758621","0.431034482758621","0.357142857142857","0.357142857142857","0.369308671558678","0.369308671558678","0.0608641084914279","0.0608641084914279","1","1","0.917388513500007"
"V19","X18","0","0","0","0","100","100","0.448275862068966","0.448275862068966","0.452380952380952","0.452380952380952","0.428378258932087","0.428378258932087","0.0328756312496234","0.0328756312496234","1","1","1"
"V20","X19","0","0","0","0","100","100","0.5","0.5","0.357142857142857","0.357142857142857","0.386177303115259","0.386177303115259","0.0952869261841891","0.0952869261841891","1","1","0.441051874993467"
"V21","X20","0","0","0","0","100","100","0.344827586206897","0.344827586206897","0.333333333333333","0.333333333333333","0.333286945147212","0.333286945147212","0.0284268762585056","0.0284268762585056","0","0","1"
"V22","X21","0","0","0","0","100","100","0.327586206896552","0.327586206896552","0.357142857142857","0.357142857142857","0.341811133573322","0.341811133573322","0.0122036096332512","0.0122036096332512","0","0","1"
"V23","X22","0","0","0","0","100","100","0.396551724137931","0.396551724137931","0.261904761904762","0.261904761904762","0.302230896594584","0.302230896594584","0.0843808504547348","0.0843808504547348","0","0","0.630027970466063"
"V24","X23","0","0","0","0","100","100","0.46551724137931","0.46551724137931","0.380952380952381","0.380952380952381","0.391861568391514","0.391861568391514","0.0684110265464543","0.0684110265464543","1","1","0.794031584810179"
"V25","X24","0","0","0","0","100","100","0.431034482758621","0.431034482758621","0.238095238095238","0.238095238095238","0.294953408176985","0.294953408176985","0.112143721745822","0.112143721745822","0","0","0.531239070389775"
"V26","X25","0","0","0","0","100","100","0.46551724137931","0.46551724137931","0.380952380952381","0.380952380952381","0.391861568391514","0.391861568391514","0.0684110265464543","0.0684110265464543","1","1","0.794031584810179"
"V27","idx","102","102","102","102","102","102","102","102","102","102","102","102","102","102","102","102","102"
"V1","","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final","eff.mix.prob"
"V2","X1","0","0","0","0","100","100","0.431034482758621","0.431034482758621","0.452380952380952","0.452380952380952","0.423580702426767","0.423580702426767","0.0251984643566754","0.0251984643566754","0","0","1"
"V3","X2","0","0","0","0","100","100","0.568965517241379","0.568965517241379","0.380952380952381","0.380952380952381","0.418130656270412","0.418130656270412","0.118851627522114","0.118851627522114","1","1","0.365401036648643"
"V4","X3","0","0","0","0","100","100","0.551724137931034","0.551724137931034","0.404761904761905","0.404761904761905","0.427361903415483","0.427361903415483","0.101562459873634","0.101562459873634","1","1","0.400602730511954"
"V5","X4","0","0","0","0","100","100","0.517241379310345","0.517241379310345","0.380952380952381","0.380952380952381","0.404621702411104","0.404621702411104","0.0941532408770571","0.0941532408770571","0","0","0.447187861730653"
"V6","X5","0","0","0","0","100","100","0.413793103448276","0.413793103448276","0.380952380952381","0.380952380952381","0.378867202714696","0.378867202714696","0.0430542001449273","0.0430542001449273","0","0","1"
"V7","X6","0","0","0","0","100","100","0.517241379310345","0.517241379310345","0.404761904761905","0.404761904761905","0.41864098993241","0.41864098993241","0.0845938650055431","0.0845938650055431","0","0","0.558230500790779"
"V8","X7","0","0","0","0","100","100","0.431034482758621","0.431034482758621","0.404761904761905","0.404761904761905","0.396970547139938","0.396970547139938","0.0422620189406054","0.0422620189406054","0","0","1"
"V9","X8","0","0","0","0","100","100","0.431034482758621","0.431034482758621","0.333333333333333","0.333333333333333","0.355055700981197","0.355055700981197","0.0706865808924788","0.0706865808924788","0","0","0.757700928908606"
"V10","X9","0","0","0","0","100","100","0.362068965517241","0.362068965517241","0.333333333333333","0.333333333333333","0.337894395586381","0.337894395586381","0.0365700123168886","0.0365700123168886","0","0","1"
"V11","X10","0","0","0","0","100","100","0.482758620689655","0.482758620689655","0.404761904761905","0.404761904761905","0.410104931692044","0.410104931692044","0.0674254635642452","0.0674254635642452","0","0","0.811671150193263"
"V12","X11","1","1","0","0","80","83","0.652173913043478","0.638297872340426","0.352941176470588","0.333333333333333","0.431703862102288","0.414797558181136","0.152542614588678","0.154873810225919","1","1","0.69941800989614"
"V13","X12","0","0","0","0","100","100","0.448275862068966","0.448275862068966","0.428571428571429","0.428571428571429","0.415023691579297","0.415023691579297","0.0415112222021874","0.0415112222021874","0","0","1"
"V14","X13","1","0","0","0","90","93","0.62962962962963","0.618181818181818","0.416666666666667","0.447368421052632","0.458377930473607","0.470621477181227","0.129592867657706","0.115217962788218","1","1","0.405732491620327"
"V15","X14","0","0","0","0","100","100","0.517241379310345","0.517241379310345","0.30952380952381","0.30952380952381","0.362097917129716","0.362097917129716","0.12238617951205","0.12238617951205","0","0","0.42488780505579"
"V16","X15","0","0","0","0","100","100","0.53448275862069","0.53448275862069","0.404761904761905","0.404761904761905","0.422958300506939","0.422958300506939","0.0931315699622099","0.0931315699622099","1","1","0.463632954926324"
"V17","X16","0","0","0","0","100","100","0.5","0.5","0.380952380952381","0.380952380952381","0.400333942407283","0.400333942407283","0.08562379498378","0.08562379498378","0","0","0.538512673442061"
"V18","X17","0","0","0","0","100","100","0.551724137931034","0.551724137931034","0.380952380952381","0.380952380952381","0.413484748154013","0.413484748154013","0.110805177661273","0.110805177661273","1","1","0.361735147572171"
"V19","X18","0","0","0","0","100","100","0.46551724137931","0.46551724137931","0.357142857142857","0.357142857142857","0.377705683174484","0.377705683174484","0.0781405247864925","0.0781405247864925","0","0","0.63852332502724"
"V20","X19","0","0","0","0","100","100","0.482758620689655","0.482758620689655","0.380952380952381","0.380952380952381","0.396094867160637","0.396094867160637","0.0770241174512977","0.0770241174512977","0","0","0.65540923649569"
"V21","X20","0","0","0","0","100","100","0.551724137931034","0.551724137931034","0.452380952380952","0.452380952380952","0.455093754401082","0.455093754401082","0.0827247305678217","0.0827247305678217","1","1","0.615971568025659"
"V22","X21","0","0","0","0","100","100","0.431034482758621","0.431034482758621","0.404761904761905","0.404761904761905","0.396970547139938","0.396970547139938","0.0422620189406054","0.0422620189406054","0","0","1"
"V23","X22","0","0","0","0","100","100","0.5","0.5","0.547619047619048","0.547619047619048","0.495623694614831","0.495623694614831","0.0224529282883874","0.0224529282883874","1","1","1"
"V24","X23","0","0","0","0","100","100","0.46551724137931","0.46551724137931","0.357142857142857","0.357142857142857","0.377705683174484","0.377705683174484","0.0781405247864925","0.0781405247864925","0","0","0.63852332502724"
"V25","X24","0","0","0","0","100","100","0.396551724137931","0.396551724137931","0.357142857142857","0.357142857142857","0.360685559886178","0.360685559886178","0.0439233098244317","0.0439233098244317","0","0","1"
"V26","X25","0","0","0","0","100","100","0.413793103448276","0.413793103448276","0.380952380952381","0.380952380952381","0.378867202714696","0.378867202714696","0.0430542001449273","0.0430542001449273","0","0","1"
"V27","idx","103","103","103","103","103","103","103","103","103","103","103","103","103","103","103","103","103"
"V1","","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final","eff.mix.prob"
"V2","X1","1","1","0","0","100","100","0.568965517241379","0.568965517241379","0.30952380952381","0.30952380952381","0.376883005979887","0.376883005979887","0.144548859356119","0.144548859356119","0","0","0.562744172082357"
"V3","X2","1","1","0","0","90","93","0.622641509433962","0.62962962962963","0.27027027027027","0.282051282051282","0.376798004703964","0.383234854088526","0.171099054141578","0.17219491035347","0","0","0.852831250352191"
"V4","X3","0","0","0","0","100","100","0.551724137931034","0.551724137931034","0.595238095238095","0.595238095238095","0.537184297003332","0.537184297003332","0.0279097641856453","0.0279097641856453","0","0","1"
"V5","X4","0","0","0","0","100","100","0.53448275862069","0.53448275862069","0.452380952380952","0.452380952380952","0.450747839154303","0.450747839154303","0.0741506108172482","0.0741506108172482","0","0","0.719064944382874"
"V6","X5","0","0","0","0","100","100","0.53448275862069","0.53448275862069","0.452380952380952","0.452380952380952","0.450747839154303","0.450747839154303","0.0741506108172482","0.0741506108172482","0","0","0.719064944382874"
"V7","X6","0","0","0","0","100","100","0.568965517241379","0.568965517241379","0.5","0.5","0.487146570400122","0.487146570400122","0.0723472158100876","0.0723472158100876","0","0","0.784573020080364"
"V8","X7","1","1","0","0","80","83","0.729166666666667","0.73469387755102","0.40625","0.411764705882353","0.489505166481733","0.492444006039792","0.165855101284071","0.16830952068953","1","1","0.812254934673506"
"V9","X8","0","0","0","0","100","100","0.603448275862069","0.603448275862069","0.452380952380952","0.452380952380952","0.468534192445842","0.468534192445842","0.108137069101743","0.108137069101743","0","0","0.407389991682721"
"V10","X9","0","0","0","0","100","100","0.620689655172414","0.620689655172414","0.428571428571429","0.428571428571429","0.459793051134159","0.459793051134159","0.125064588270073","0.125064588270073","0","0","0.407268905678668"
"V11","X10","1","1","0","0","100","100","0.620689655172414","0.620689655172414","0.380952380952381","0.380952380952381","0.43311229425894","0.43311229425894","0.14164068968161","0.14164068968161","0","0","0.499688767872998"
"V12","X11","0","0","0","0","100","100","0.344827586206897","0.344827586206897","0.452380952380952","0.452380952380952","0.397762886690914","0.397762886690914","-0.0104710069817714","-0.0104710069817714","0","0","1"
"V13","X12","0","0","0","0","100","100","0.586206896551724","0.586206896551724","0.5","0.5","0.491560390001567","0.491560390001567","0.0809331132198475","0.0809331132198475","0","0","0.678556524794806"
"V14","X13","1","1","0","0","100","100","0.620689655172414","0.620689655172414","0.404761904761905","0.404761904761905","0.446416778515625","0.446416778515625","0.133491247127375","0.133491247127375","0","0","0.439808995914174"
"V15","X14","1","1","0","0","90","93","0.614035087719298","0.614035087719298","0.333333333333333","0.305555555555556","0.413827588674088","0.395728468517607","0.148344168277638","0.158823131290115","0","0","0.729629947388239"
"V16","X15","0","0","0","0","100","100","0.53448275862069","0.53448275862069","0.380952380952381","0.380952380952381","0.408995383280416","0.408995383280416","0.102561099470074","0.102561099470074","0","0","0.378862596379302"
"V17","X16","0","0","0","0","100","100","0.568965517241379","0.568965517241379","0.380952380952381","0.380952380952381","0.418130656270412","0.418130656270412","0.118851627522114","0.118851627522114","0","0","0.365401036648643"
"V18","X17","1","0","0","0","80","83","0.7","0.692307692307692","0.433333333333333","0.451612903225806","0.494368061439804","0.500035279437854","0.148105382473088","0.141581750610775","1","1","0.576595116618239"
"V19","X18","1","1","0","0","100","100","0.603448275862069","0.603448275862069","0.404761904761905","0.404761904761905","0.441388880188865","0.441388880188865","0.125828695206845","0.125828695206845","0","0","0.393023642007853"
"V20","X19","0","0","0","0","100","100","0.620689655172414","0.620689655172414","0.452380952380952","0.452380952380952","0.473264075081753","0.473264075081753","0.116346071247802","0.116346071247802","0","0","0.399750405074585"
"V21","X20","0","0","0","0","100","100","0.620689655172414","0.620689655172414","0.5","0.5","0.500529101480121","0.500529101480121","0.0981072917819819","0.0981072917819819","0","0","0.532588662646238"
"V22","X21","0","0","0","0","100","100","0.551724137931034","0.551724137931034","0.357142857142857","0.357142857142857","0.399613273874583","0.399613273874583","0.119873574483687","0.119873574483687","0","0","0.375303563515781"
"V23","X22","1","1","0","0","100","100","0.551724137931034","0.551724137931034","0.30952380952381","0.30952380952381","0.371775781019341","0.371775781019341","0.137409803964857","0.137409803964857","0","0","0.507007011500931"
"V24","X23","0","0","0","0","100","100","0.46551724137931","0.46551724137931","0.30952380952381","0.30952380952381","0.348790596025463","0.348790596025463","0.0980097697000579","0.0980097697000579","0","0","0.462575353925858"
"V25","X24","0","0","0","0","100","100","0.5","0.5","0.404761904761905","0.404761904761905","0.414369046525657","0.414369046525657","0.0760069814952429","0.0760069814952429","0","0","0.671983732067986"
"V26","X25","0","0","0","0","100","100","0.551724137931034","0.551724137931034","0.404761904761905","0.404761904761905","0.427361903415483","0.427361903415483","0.101562459873634","0.101562459873634","0","0","0.400602730511954"
"V27","idx","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104","104"
"V1","","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final","eff.mix.prob"
"V2","X1","0","0","0","0","100","100","0.5","0.5","0.428571428571429","0.428571428571429","0.428257246283286","0.428257246283286","0.0665053624690217","0.0665053624690217","0","0","0.827572455211835"
"V3","X2","1","1","0","0","90","93","0.584905660377358","0.581818181818182","0.27027027027027","0.263157894736842","0.363847931681413","0.358159842110981","0.157980548444104","0.160750422223153","0","0","0.779155769667321"
"V4","X3","1","1","0","0","90","93","0.648148148148148","0.654545454545455","0.416666666666667","0.421052631578947","0.464308944492102","0.467580890920929","0.13730053318749","0.13982461725139","0","0","0.509595087219657"
"V5","X4","0","0","0","0","100","100","0.53448275862069","0.53448275862069","0.476190476190476","0.476190476190476","0.464547364045539","0.464547364045539","0.0647359863009544","0.0647359863009544","0","0","0.877852952054193"
"V6","X5","1","1","0","0","90","93","0.611111111111111","0.618181818181818","0.305555555555556","0.315789473684211","0.393657468356301","0.399440616056736","0.156492492058218","0.157907211201264","0","0","0.705702044564046"
"V7","X6","1","1","0","0","80","83","0.673469387755102","0.692307692307692","0.290322580645161","0.290322580645161","0.414234508925062","0.423747491954439","0.174975862218037","0.182629120758769","0","0","0.934880955654091"
"V8","X7","1","1","0","0","100","100","0.603448275862069","0.603448275862069","0.404761904761905","0.404761904761905","0.441388880188865","0.441388880188865","0.125828695206845","0.125828695206845","0","0","0.393023642007853"
"V9","X8","0","0","0","0","100","100","0.5","0.5","0.357142857142857","0.357142857142857","0.386177303115259","0.386177303115259","0.0952869261841891","0.0952869261841891","0","0","0.441051874993467"
"V10","X9","0","0","0","0","100","100","0.620689655172414","0.620689655172414","0.428571428571429","0.428571428571429","0.459793051134159","0.459793051134159","0.125064588270073","0.125064588270073","0","0","0.407268905678668"
