"","y1.PC","y0.PC","y1.IP","y0.IP","box.ni","box.skpt","box.enth","pm_rd","pm_pi0","lower_rd","upper_rd","lower_pi0","upper_pi0"
"3099",16,23,32,17,0.839954621940593,0.0769545947669705,0.546498262580578,0.173278683252995,0.444299844383972,0.0263167031937349,0.324519274889239,0.336147436579999,0.564400962356684
"3100",16,23,32,18,0.853999303523099,0.101592903805207,0.62200530006273,0.162352369832417,0.441183623551765,0.0234015889673533,0.326461798015317,0.300123391075748,0.559440213251894
"3101",16,23,32,19,0.864547526896533,0.124874678357656,0.684650209997484,0.156325172093988,0.440822578052609,0.0242738164718292,0.326204383768538,0.277919947850722,0.553454144641112
"3102",16,23,32,20,0.884167710232071,0.15586539110327,0.736317499176288,0.144866222042352,0.43768142315827,0.0166327038637275,0.321069896594618,0.261701247293372,0.544246213240406
"3103",16,23,32,22,0.920128738674536,0.227279013536822,0.845086634999188,0.132447416117682,0.435209315821573,0.0118554754383218,0.327154532147064,0.247051946059651,0.54640517132628
"3104",16,23,33,17,0.833515985489905,0.0655207862810232,0.514545820635444,0.176906455302718,0.443279968932995,0.0462556570435987,0.328672256583358,0.34632385047644,0.566270103514952
"3105",16,23,33,18,0.844205796266762,0.0845741363641516,0.580603440112825,0.164877763678247,0.44534517655469,0.0290625345921886,0.328503636966916,0.322906108528038,0.565799110589089
"3106",16,23,33,19,0.857718402245617,0.105696650951751,0.641512185520355,0.156244984731206,0.440856627003369,0.0239961854117123,0.325299583906902,0.282009605224138,0.558261690042869
"3107",16,23,33,20,0.873954622266949,0.133818738488218,0.706369408612716,0.146426784401771,0.442301219945609,0.0186567681160917,0.336359607818386,0.271515137153551,0.560282386766359
"3108",16,23,33,21,0.898835431823126,0.165198495993671,0.769008601959068,0.143234780830421,0.439559894661939,0.0156925003678709,0.326342516344347,0.257721081366039,0.549507201093055
"3109",16,23,33,23,0.921367104248362,0.230318830387222,0.855534156628001,0.131303035565297,0.431507430297202,0.0135658982431822,0.326433527869675,0.243148027997829,0.544635736010829
