"","X","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps","y1.IP.initial","y0.IP.initial","y1.PC.initial","y0.PC.initial","eff.prob.initial","fut.prob.initial","eff.mix.prob.initial","box.skpt.initial","box.enth.initial","box.ni.initial","y1.IP.final","y0.IP.final","y1.PC.final","y0.PC.final","eff.prob.final","fut.prob.final","eff.mix.prob.final","box.skpt.final","box.enth.final","box.ni.final","pm.skpt.f","pm.enth.f","pm.ni.f","pm.rd.f","pm.50.50.f","pm.skpt.enth.f","pm.skpt.enth.ni.f","pm.skpt.enth.ni.tilde.f","box.skpt.f","box.enth.f","box.ni.f","y1.IP.f","y1.PC.f","y0.IP.f","y0.PC.f"
"16",2,0.39,0.39,2,1,4,0,101,0.5,0.05,322,322,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,94,61,100,0.953664444874174,0.881879137676111,0.421341227655496,NA,0.578658772344504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2,0.39,0.39,2,1,4,0,101,0.5,0.05,322,322,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,100,70,91,0.249571143315526,0.992467889435938,0.913479493266372,NA,0.0865205067336279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2,0.39,0.39,2,1,4,0,101,0.5,0.05,322,322,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,101,61,100,0.765307234927146,0.965338700331696,0.721043681382639,NA,0.278956318617361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2,0.39,0.39,2,1,4,0,101,0.5,0.05,322,322,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,89,71,90,0.859795145912838,0.937919779355339,0.63782797022007,NA,0.36217202977993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2,0.39,0.39,2,1,4,0,101,0.5,0.05,322,322,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,92,61,100,0.971207996259207,0.843043691316351,0.327234837317744,NA,0.672765162682256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2,0.39,0.39,2,1,4,0,101,0.5,0.05,322,322,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,105,67,94,0.146197903856207,0.996040190957856,0.943291840496864,NA,0.0567081595031358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2,0.39,0.39,2,1,4,0,101,0.5,0.05,322,322,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,100,58,103,0.901391171793431,0.931200903243793,0.573346325416983,NA,0.426653674583017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2,0.39,0.39,2,1,4,0,101,0.5,0.05,322,322,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,99,69,92,0.380569344848946,0.988185030471983,0.876801156785566,NA,0.123198843214434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2,0.39,0.39,2,1,4,0,101,0.5,0.05,322,322,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,106,66,95,0.144218460989939,0.996220172452419,0.9439866393363,NA,0.0560133606637002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2,0.39,0.39,2,1,4,0,101,0.5,0.05,322,322,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,97,61,100,0.90589100511112,0.926884041224636,0.559514981688998,NA,0.440485018311002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
