"","X","eff.mon.initial","eff.mon.final","fut.mon.initial","fut.mon.final","ss.initial","ss.final","mle.initial.IP","mle.final.IP","mle.initial.PC","mle.final.PC","post.mean.initial.IP","post.mean.final.IP","post.mean.initial.PC","post.mean.final.PC","cov.initial","cov.final","idx"
"1",1,0.889333333333333,0.824333333333333,0,0,75.5906666666667,78.2296666666667,0.634816609366211,0.634423866915523,0.385088329865081,0.386389868469219,0.447061993474086,0.446632698632419,0.13547809285479,0.13641556941185,0.004,0.003,100
"2",1,0.210666666666667,0.159,0,0,94.5926666666667,95.209,0.393004119371663,0.392623282003267,0.385196067324877,0.386393909450724,0.371909511962194,0.372188236029184,0.0392952077552044,0.0389893196013563,0.981,0.98,101
"3",1,0.247666666666667,0.189333333333333,0,0,93.6466666666667,94.3716666666667,0.403367945702328,0.402810952431934,0.384323506885215,0.385682315890023,0.374460058884517,0.374734831137789,0.0441477117295351,0.0437592828417874,0.98,0.979,102
"4",1,0.281666666666667,0.218,0,0,92.74,93.5643333333333,0.414059522634036,0.413427861502931,0.383668791842722,0.385188245193616,0.377196732581836,0.377503529854964,0.0490594189373459,0.0486309422532032,0.971666666666667,0.969333333333333,103
"5",1,0.32,0.244666666666667,0,0,91.7206666666667,92.6653333333333,0.424177087998839,0.423422264511548,0.383181541371139,0.384725285994608,0.379884446396791,0.380131672233377,0.0536058203697438,0.0531627377278365,0.960666666666667,0.959333333333333,104
"6",1,0.353333333333333,0.274333333333333,0,0,90.8533333333333,91.8963333333333,0.434483877866322,0.433623882430073,0.382801304572302,0.384524858761941,0.382686605940662,0.382962388847361,0.0581889377730918,0.057685681058956,0.936,0.933666666666667,105
"7",1,0.385333333333333,0.308666666666667,0,0,89.978,91.115,0.444442852054136,0.443563970056488,0.382523666939927,0.384241625643988,0.385457382299949,0.385686277307958,0.0625307608217047,0.0620754634339092,0.921666666666667,0.918333333333333,106
"8",1,0.426,0.347,0,0,88.9606666666667,90.2136666666667,0.454973607928773,0.454067844186039,0.381804803572221,0.38343019512797,0.388149145848797,0.388283145722566,0.0672768890342039,0.0668933665502617,0.859666666666667,0.856333333333333,107
"9",1,0.462333333333333,0.373666666666667,0,0,88.0413333333333,89.4063333333333,0.464820210204854,0.463915837484649,0.381415251294432,0.383148968533856,0.390846186710256,0.390999679428672,0.0715604669403535,0.0711917776764708,0.831,0.830666666666667,108
"10",1,0.499,0.411666666666667,0,0,87.0026666666667,88.479,0.47503578987227,0.474022965091404,0.381476432259166,0.383310743712818,0.39392111736084,0.394064925248208,0.0757855420462717,0.0753957836097085,0.757,0.749666666666667,109
"11",1,0.003,0.00233333333333333,0,0,99.9646666666667,99.971,0.479563342021554,0.479560013247345,0.39169084988895,0.391707581370398,0.397343389818451,0.397341455316576,0.0786085523962896,0.0786089222104258,0.682,0.682,10
"12",1,0.534,0.440666666666667,0,0,85.918,87.501,0.484961431297275,0.483749524753527,0.381589548166432,0.383272395121216,0.39695773302988,0.396929821136889,0.0798417157693266,0.0794708008394487,0.732,0.724,110
