"","p.IP","p.PC","freq.mntr","enr.shape","out.mean","fut.mix.prob","eff.mix.prob","inf.mix.prob","cred.tail","max.ss","min.ss","reps"
"90",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"91",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"92",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"93",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"94",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"95",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"96",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"97",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"98",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"99",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"100",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"101",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"102",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"103",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"104",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"105",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"106",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"107",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"108",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"109",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"110",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"111",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"112",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"113",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"114",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"115",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"116",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"117",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"118",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"119",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"120",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"121",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"122",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"123",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"124",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"125",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"126",0.39,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"127",0.45,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"128",0.51,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"129",0.57,0.39,10,1,4,0,10,0.5,0.05,100,70,25
"130",0.63,0.39,10,1,4,0,10,0.5,0.05,100,70,25
