"","x"
"1",-0.00690018195422549
"2",0.369478534139579
"3",-0.112796788673242
"4",0.271255520966592
"5",0.090243562491703
"6",0.46909354769518
"7",-0.00620323337404834
"8",0.404050504254759
"9",-0.11538128229505
"10",0.305327333536304
"11",0.0941942056819502
"12",0.504171869751236
"13",0.0439416213375489
"14",0.361792249324723
"15",-0.069369394422357
"16",0.246155605644379
"17",0.17428765425705
"18",0.469840420143569
"19",0.0873625804121775
"20",0.354925566647489
"21",-0.0362159040160006
"22",0.249709619434808
"23",0.209719787546453
"24",0.470779920112084
"25",0.0407288409076056
"26",0.38214737906556
"27",-0.0602355243241888
"28",0.275029456833907
"29",0.166341314792167
"30",0.487592714644353
"31",0.0217292338488464
"32",0.362657622212793
"33",-0.0843053808913365
"34",0.250172466817619
"35",0.143641321844127
"36",0.463441373080336
"37",-0.0613474255510803
"38",0.475997979722948
"39",-0.239534920382014
"40",0.355776847321426
"41",0.0626655488284514
"42",0.595892178513619
"43",0.0642264818699876
"44",0.384136253027074
"45",-0.0530505790448611
"46",0.26943949842646
"47",0.195024964227376
"48",0.492904529640716
"49",-0.00914116251221968
"50",0.440440528108028
"51",-0.123072043607365
"52",0.336224521079255
"53",0.0789180698893013
"54",0.542521505919671
"55",0.0514067037743679
"56",0.401861749537148
"57",-0.060621222510199
"58",0.295285332878683
"59",0.181083360882654
"60",0.513742021654379
"61",0.0643137531101676
"62",0.368738780706013
"63",-0.0493755044262526
"64",0.260407254911945
"65",0.189684241836463
"66",0.47651513793521
"67",0.0233645206269766
"68",0.432893807191442
"69",-0.0915620160772481
"70",0.323492877323732
"71",0.165330342462503
"72",0.538668826352831
"73",-0.00711831795688059
"74",0.360877676549355
"75",-0.109292955921413
"76",0.259237655268881
"77",0.0999164495563945
"78",0.464841998250739
"79",0.0840248028611168
"80",0.391831846833708
"81",-0.0373499788139891
"82",0.282062772211764
"83",0.204859586714932
"84",0.507423705547584
"85",-0.0180695444535734
"86",0.420033730658998
"87",-0.136582116117971
"88",0.315664424756163
"89",0.0915022556752147
"90",0.526388602172951
"91",0.00297899000573442
"92",0.347477558920504
"93",-0.105474556417947
"94",0.243723803312905
"95",0.128643991293214
"96",0.453442000930426
"97",-0.0182143196165422
"98",0.41025173989767
"99",-0.130257285932144
"100",0.305791280111199
"101",0.0814936838483016
"102",0.520663288181862
"103",0.038776900944552
"104",0.327720139677045
"105",-0.0686409541887516
"106",0.223397783327565
"107",0.153563172340346
"108",0.432152596702896
"109",0.0197156156899634
"110",0.382181080407512
"111",-0.0836356479581955
"112",0.27322631700896
"113",0.161347333243422
"114",0.488593139074877
"115",0.0274558974300165
"116",0.340565390282038
"117",-0.0795912022553663
"118",0.234550308921072
"119",0.144789851930084
"120",0.440720494730343
"121",-0.0505194209763497
"122",0.461992434160405
"123",-0.210855434542072
"124",0.349085136023263
"125",0.0709095982746286
"126",0.582010196470305
"127",-0.0362862079291333
"128",0.376365442214528
