"","X","X0.","X1.","X10.","X25.","X50.","X75.","X90.","X99.","X100.","idx"
"1",1,0.972565734937428,0.972565734937428,0.972565734937428,0.972565734937428,0.972565734937428,0.972565734937428,0.972565734937428,0.972565734937428,0.972565734937428,10
"2",1,0.969591827857074,0.969651305998681,0.970186609273145,0.971078781397251,0.972565734937428,0.973281147604818,0.973710395205253,0.973967943765513,0.973996560272209,11
"3",1,0.972565734937428,0.972565734937428,0.972565734937428,0.972565734937428,0.972565734937428,0.972565734937428,0.972565734937428,0.972565734937428,0.972565734937428,12
"4",1,0.967099718903552,0.967100337027979,0.967105900147821,0.967115172014223,0.967130625124895,0.967146078235566,0.967155350101969,0.967160913221811,0.967161531346238,13
"5",1,0.966153863702024,0.966238894078625,0.967004167468031,0.968279623117041,0.968445931383778,0.971533062366459,0.972586198333459,0.973218079913659,0.973288288978126,14
"6",1,0.964051903713692,0.964227664820495,0.965809514781726,0.968445931383778,0.969841158837586,0.971533062366459,0.972586198333459,0.973218079913659,0.973288288978126,15
"7",1,0.957152959158076,0.957484086032301,0.960464227900323,0.968380421019927,0.971878708455953,0.97334727620291,0.973898228278965,0.97468360812254,0.974770872549604,16
"8",1,0.961883343075572,0.962220400076996,0.965253913089814,0.969023536717011,0.972224354545447,0.972920002920238,0.97338266853778,0.973510080943313,0.973524237877262,17
"9",1,0.961883343075572,0.962351956168674,0.966569474006599,0.967711404957075,0.969801255136726,0.971871551583482,0.972551716862351,0.973426985775771,0.973524237877262,18
"10",1,0.953696493890462,0.954026674320876,0.958300800826326,0.964469523729083,0.96886155264245,0.971992354931561,0.972489114809634,0.972546959244702,0.972551716862351,19
"11",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"12",1,0.953696493890462,0.95407747131017,0.959012977199461,0.962814117093902,0.968612414350334,0.971809103813996,0.972471778147048,0.972546227303525,0.972551716862351,20
"13",1,0.938156374698994,0.942196805688776,0.961857562576682,0.965710138063238,0.969941784703532,0.972091536537925,0.972560664110444,0.973994222127394,0.974414319372257,21
"14",1,0.938156374698994,0.943129212840264,0.959257585096034,0.965763419960168,0.969941784703532,0.971903426287878,0.973505921072687,0.97423343166711,0.974325997454741,22
